Date,IWF,IWM,MTUM,SPY,TKR,VLUE,VXX
2018-09-24,-0.3715206563140932,-0.881519191327278,-0.06973337239964841,-0.6557647231174919,1.0,-0.6839290946381482,0.0
2018-09-25,-0.3711343983584934,-0.8824563974791148,-0.06877473252235086,-0.6566026674483365,1.0,-0.6851091895060824,0.0
2018-09-26,-0.3706460365182958,-0.8824154872772604,-0.06658355943389309,-0.6579526288773191,1.0,-0.6889345163892353,0.0
2018-09-27,-0.37057680319753583,-0.8827325730629606,-0.06666422206739761,-0.6579516702724506,1.0,-0.6889736349968831,0.0
2018-09-28,-0.3687337269426822,-0.884337526128571,-0.06732920165755987,-0.6577798965858668,1.0,-0.6889508232791816,0.0
2018-10-01,-0.3698147808545755,-0.8832569227947918,-0.06733907940583166,-0.658426554190354,1.0,-0.6889418668622777,0.0
2018-10-02,-0.3707737440410708,-0.8744774477447744,-0.07066373303997066,-0.6601760176017601,1.0,-0.6909424275760909,0.0
2018-10-03,-0.37040023456971116,-0.8677979768362409,-0.0699310951473391,-0.6622562674094706,1.0,-0.6948028148365342,0.0
2018-10-04,-0.3716661781946073,-0.8648153575615475,-0.07055978898007034,-0.6635770808909731,1.0,-0.6929220398593201,0.0
2018-10-05,-0.35744292237442926,-0.8586666666666667,-0.055525114155251146,-0.6745936073059361,1.0,-0.7067397260273973,0.0
2018-10-08,-0.35795246800731256,-0.8604753199268738,-0.05553930530164534,-0.6747714808043875,1.0,-0.7076051188299817,0.0
2018-10-09,-0.35740402193784276,-0.8607678244972576,-0.05418647166361974,-0.6754296160877513,1.0,-0.7084826325411334,0.0
2018-10-10,-0.35719801434087145,-0.8708953851810993,-0.04905313476742047,-0.6797573083287368,1.0,-0.720242691671263,0.0
2018-10-11,-0.32252025202520257,-0.8691629162916292,-0.0036363636363636364,-0.6722592259225922,1.0,-0.7328172817281728,0.0
2018-10-12,-0.3235975892443208,-0.8644841482115474,-0.0,-0.6591063086195215,1.0,-0.7190185799365215,0.0
2018-10-15,-0.2819183177169015,-0.9133109219655247,-0.0,-0.6555682712252343,1.0,-0.7254845862241615,0.0
2018-10-16,-0.2799113208896517,-0.9163269684617034,-0.0,-0.6547951083458485,1.0,-0.7247371808624758,0.0
2018-10-17,-0.25842736248236947,-0.8793018335684062,-0.0,-0.6522214386459801,1.0,-0.7361777150916784,0.0
2018-10-18,-0.2590593133622667,-0.8815496983169261,-0.0,-0.6512825941215906,1.0,-0.7365653999506016,0.0
2018-10-19,-0.2508801577242642,-0.881389945078158,-0.0,-0.6512110970285875,1.0,-0.7371496972257429,0.0
2018-10-22,-0.2520786358511838,-0.8846533258173619,-0.0,-0.6502254791431793,1.0,-0.7361541713641488,0.0
2018-10-23,-0.2556894243641232,-0.8848728246318608,-0.0,-0.6475375184950327,1.0,-0.7347636158669767,0.0
2018-10-24,-0.25416975210691495,-0.8885010049719666,-0.0,-0.6483303360485208,1.0,-0.7352163334391199,0.0
2018-10-25,-0.23147860325354883,-0.8598418125928229,-0.0,-0.6472904362242254,1.0,-0.7152972058163231,0.0
2018-10-26,-0.20760806124901296,-0.8503107082775433,-0.0,-0.6651903731932572,1.0,-0.7101314931163526,0.0
2018-10-29,-0.17729377465271826,-0.8712742239753045,-0.0,-0.6559423769507804,1.0,-0.7254673297890586,0.0
2018-10-30,-0.17437075646389136,-0.8711679583018997,-0.0,-0.6559220903916055,1.0,-0.7276592826280777,0.0
2018-10-31,-0.17666325486182188,-0.8581371545547595,-0.0,-0.6533265097236437,1.0,-0.7236438075742068,0.0
2018-11-01,-0.1953991416309013,-0.8503347639484978,-0.0,-0.6595708154506438,1.0,-0.7281716738197425,0.0
2018-11-02,-0.19924144057951207,-0.8294266384200096,-0.0,-0.6644912184787809,1.0,-0.723809198387207,0.0
2018-11-05,-0.19345462006702688,-0.8479242185896997,-0.0,-0.6672936187675261,1.0,-0.711100471923945,0.0
2018-11-06,-0.19617764709904612,-0.8495675065814214,-0.0,-0.665185134534514,1.0,-0.7080242059557591,0.0
2018-11-07,-0.19581040904896968,-0.8494344393944572,-0.0,-0.6643884769162424,1.0,-0.7076513002768,0.0
2018-11-08,-0.18758940126694365,-0.8489884885225802,-0.0,-0.6610244533751107,1.0,-0.7081602070703631,0.0
2018-11-09,-0.18805136414728021,-0.8489389965598283,-0.0,-0.6608876324125481,1.0,-0.7082325692291972,0.0
2018-11-12,-0.18722752043596727,-0.8492847411444141,-0.0,-0.6610694822888283,1.0,-0.7083787465940053,0.0
2018-11-13,-0.16740535236999696,-0.8474134722739115,-0.0,-0.6619413336942179,1.0,-0.7065331393578509,0.0
2018-11-14,-0.16987331481606938,-0.8470632070997901,-0.0,-0.6636406747510332,1.0,-0.7067271865049793,0.0
2018-11-15,-0.1688544556465255,-0.8476554570674606,-0.0,-0.6653021178699505,1.0,-0.7013329724609243,0.0
2018-11-16,-0.17177372832468016,-0.8533713393735789,-0.0,-0.6677525535308291,1.0,-0.7005327632427296,0.0
2018-11-19,-0.17519685039370078,-0.8525319033396688,-0.0,-0.6662028237849579,1.0,-0.7000746673907141,0.0
2018-11-20,-0.14929558431028075,-0.8480354066015745,-0.0,-0.6685360991925403,1.0,-0.7126254265346803,0.0
2018-11-21,-0.15280619946995871,-0.8437049213324834,-0.0,-0.6663423798181757,1.0,-0.6918380354926363,0.0
2018-11-23,-0.15373014277096322,-0.836282592667069,-0.0,-0.6690796970306322,1.0,-0.6923386285944099,0.0
2018-11-26,-0.1531709605011893,-0.8389225769707529,-0.0,-0.6674595463834635,1.0,-0.6906429026098028,0.0
