Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WNC
2018-09-24,-0.3749902822047734,-0.9992614475627771,-0.049210915027598535,-0.7289123843582368,-0.7347041903133018,0.0,1.0
2018-09-25,-0.37424704685910976,-1.01044355785027,-0.04216537588985371,-0.7384807948056011,-0.7460689978878198,0.0,1.0
2018-09-26,-0.3749016831838918,-1.0146295422369043,-0.03504011326097215,-0.746342614440774,-0.761758691206544,0.0,1.0
2018-09-27,-0.378611012852258,-1.0056204063986165,-0.037731399599103876,-0.7467279801910152,-0.7617026294069096,0.0,1.0
2018-09-28,-0.3797766944488128,-1.0049142947004248,-0.03809561251769147,-0.7468548513917284,-0.761794307281019,0.0,1.0
2018-10-01,-0.381583605396688,-1.003697439326594,-0.03799708924989183,-0.7481807811823938,-0.7620658458875821,0.0,1.0
2018-10-02,-0.3816878102592388,-1.0161531794184855,-0.03514301473485147,-0.7466708691198487,-0.7601843826333623,0.0,1.0
2018-10-03,-0.3826141881489085,-1.0019343886936956,-0.03245035726974853,-0.7563065019146501,-0.7744265919229404,0.0,1.0
2018-10-04,-0.38565340909090906,-0.9960148358585859,-0.03330176767676767,-0.7599431818181818,-0.7707544191919192,0.0,1.0
2018-10-05,-0.3688747195654741,-0.9896485220608493,-0.015113944975794071,-0.774235446924076,-0.7880505372535128,0.0,1.0
2018-10-08,-0.37004179481113475,-0.9929027679205109,-0.015495623373550982,-0.7748205977446573,-0.789685356044476,0.0,1.0
2018-10-09,-0.3695540748334187,-0.9932184678468635,-0.014312187044119386,-0.7753420336710956,-0.7903639159405432,0.0,1.0
2018-10-10,-0.36980685849428463,-0.9926290894757588,-0.014544737879385101,-0.775601103665747,-0.7890421757981869,0.0,1.0
2018-10-11,-0.29075920245398773,-0.9853527607361964,-0.0,-0.7533742331288343,-0.8049079754601227,0.0,1.0
2018-10-12,-0.2971846462809291,-0.9795005873214354,-0.0,-0.7317267250198932,-0.7807964836497291,0.0,1.0
2018-10-15,-0.308288610614192,-1.554760484993043,-0.0,-1.0158020274299344,-1.0903398926654742,0.0,1.0
2018-10-16,-0.3075928416261508,-1.6731147201820626,-0.0,-1.0599462087514222,-1.1315299472431983,0.0,1.0
2018-10-17,-0.26742416556761694,-1.608755199350715,-0.0,-1.051232626559805,-1.145176017043725,0.0,1.0
2018-10-18,-0.2757191114750742,-1.6299007063158972,-0.0,-1.056658818712253,-1.155952502815027,0.0,1.0
