Date,IWF,IWM,MESO,MTUM,SPY,VLUE,VXX
2018-09-24,-1.4921675028156036,-2.838640319443022,1.0,-0.2419371352513566,-2.3867103511825536,-2.2791031022831985,0.0
2018-09-25,-1.5096668037844512,-2.846051007815714,1.0,-0.2580213903743316,-2.3920197449609217,-2.2779720279720284,0.0
2018-09-26,-1.522327889187513,-2.8674798428778163,1.0,-0.2686582592516022,-2.4027289642340293,-2.275790779408724,0.0
2018-09-27,-1.660041726144724,-3.005051059624465,1.0,-0.31173822334467993,-2.5732952673767433,-2.4304381245196005,0.0
2018-09-28,-1.6650404701186383,-3.0496729127397715,1.0,-0.3181062202017962,-2.5991795099234944,-2.4558155006098232,0.0
2018-10-01,-1.6860229574611751,-3.1100607697501688,1.0,-0.32444294395678597,-2.6375196939005177,-2.49561107359892,0.0
2018-10-02,-1.7144482366325369,-3.0820250284414104,1.0,-0.3508532423208191,-2.686120591581342,-2.543117178612059,0.0
2018-10-03,-1.877365446055542,-3.3992381420496436,1.0,-0.44925043008110105,-2.865200294912755,-2.696854263946916,0.0
2018-10-04,-1.886605595444417,-3.4367417677642975,1.0,-0.45085417182470905,-2.8810349096310968,-2.723941569695469,0.0
2018-10-05,-1.8419817148505067,-3.4205584383493948,1.0,-0.3939955522609341,-2.923894242648876,-2.7744007907091675,0.0
2018-10-08,-1.8295440580066364,-3.401130637827209,1.0,-0.3841710704190734,-2.913850313383311,-2.760722625046086,0.0
2018-10-09,-1.8259532595325954,-3.4062730627306275,1.0,-0.3709717097170972,-2.9236162361623617,-2.773308733087331,0.0
2018-10-10,-1.8302583025830257,-3.4029520295202955,1.0,-0.3751537515375154,-2.9264452644526444,-2.7653136531365314,0.0
2018-10-11,-1.6165014164305946,-3.391406987724268,1.0,-0.07306421152030217,-2.8825542965061377,-2.840061378659112,0.0
2018-10-12,-1.603385178408051,-3.3048947849954255,1.0,-0.04265782250686184,-2.769441903019213,-2.7160338517840805,0.0
2018-10-15,-1.5503744043567051,-3.339233038348083,1.0,-0.0,-2.7498298162014976,-2.7062627637848875,0.0
2018-10-16,-1.5407214156079856,-3.353675136116152,1.0,-0.0,-2.7459165154264973,-2.7026996370235934,0.0
2018-10-17,-1.4359171988548778,-3.1714380092490644,1.0,-0.0,-2.6984144461572344,-2.705020920502092,0.0
2018-10-18,-1.4350985357260817,-3.1708686557304855,1.0,-0.0,-2.6987779368050204,-2.704833204888253,0.0
2018-10-19,-1.3636068413076423,-3.1018618748646896,1.0,-0.0,-2.679692574150249,-2.6798008226888936,0.0
2018-10-22,-1.3645213628988644,-3.0949702541914546,1.0,-0.0,-2.678528934559221,-2.678745267712277,0.0
2018-10-23,-1.3676359312506756,-3.0930710193492597,1.0,-0.0,-2.6736569019565453,-2.6751702518646634,0.0
2018-10-24,-1.3582363087537732,-3.0782664941785254,1.0,-0.0,-2.669793014230272,-2.674213022854679,0.0
2018-10-25,-1.186527974146637,-2.8232680266612804,1.0,-0.0,-2.6011916784487985,-2.487982225812967,0.0
2018-10-26,-1.1149379652605458,-2.762779156327543,1.0,-0.0,-2.603672456575682,-2.4441687344913148,0.0
2018-10-29,-1.0432725480532283,-2.787087235091178,1.0,-0.0,-2.5699359290290786,-2.4567767373090192,0.0
2018-10-30,-1.01910765291047,-2.78597458879149,1.0,-0.0,-2.5693883581207526,-2.474736531074559,0.0
2018-10-31,-1.0115020297699595,-2.6986274888845934,1.0,-0.0,-2.5274502223081385,-2.427991494297313,0.0
2018-11-01,-0.9898882896764253,-2.7026194144838214,1.0,-0.0,-2.5177195685670264,-2.419973035439137,0.0
2018-11-02,-0.9962917181705809,-2.6022630027574403,1.0,-0.0,-2.521156223257583,-2.388799087192165,0.0
2018-11-05,-0.9888888888888888,-2.6169990503323834,1.0,-0.0,-2.5187084520417855,-2.372079772079772,0.0
2018-11-06,-0.9881223869251236,-2.616875712656784,1.0,-0.0,-2.521569745343976,-2.3756176358798937,0.0
2018-11-07,-0.9843498055581903,-2.6138670207720764,1.0,-0.0,-2.5152233709570333,-2.3715261310822346,0.0
2018-11-08,-0.9065602672357799,-2.573443444372274,1.0,-0.0,-2.4544864062355014,-2.344530017630138,0.0
2018-11-09,-0.9281606486282643,-2.6197793909682288,1.0,-0.0,-2.493164891109645,-2.386631469784105,0.0
2018-11-12,-0.9338756976634188,-2.579793775423328,1.0,-0.0,-2.5456437423138776,-2.400624349635796,0.0
2018-11-13,-1.2219205630970338,-2.691804927099045,1.0,-0.0,-2.625641025641026,-2.5159376571141276,0.0
2018-11-14,-1.2239108409321175,-2.719250253292807,1.0,-0.0,-2.6492401215805472,-2.539311043566363,0.0
2018-11-15,-1.216781098546042,-2.713348142164782,1.0,-0.0,-2.6461025848142166,-2.5206987075928917,0.0
2018-11-16,-1.2027691381559147,-2.6810474566068025,1.0,-0.0,-2.6307815792113978,-2.5185110865857334,0.0
2018-11-19,-1.2062600321027286,-2.679674959871589,1.0,-0.0,-2.6287118780096304,-2.517556179775281,0.0
2018-11-20,-1.1052319256255563,-2.636039956483038,1.0,-0.0,-2.6125012362773217,-2.5364454554445652,0.0
2018-11-21,-1.1026190244377374,-2.5974101840132415,1.0,-0.0,-2.5832927660403078,-2.4528283516697496,0.0
2018-11-23,-1.1040411890421604,-2.5675150573149406,1.0,-0.0,-2.590343889644453,-2.452593743928502,0.0
2018-11-26,-1.1030255861465121,-2.586730226675747,1.0,-0.0,-2.58867594123942,-2.4500437785776827,0.0
2018-11-27,-1.071373531111539,-2.577056443845117,1.0,-0.0,-2.560874590637642,-2.4227509150452704,0.0
2018-11-28,-1.0702567071993823,-2.597085504728817,1.0,-0.0,-2.5596409959467286,-2.4236633854468246,0.0
2018-11-29,-0.9734859322842155,-2.5645207439198856,1.0,-0.0,-2.5556509298998566,-2.4438721983786365,0.0
2018-11-30,-0.9742440141180959,-2.5663455117809786,1.0,-0.0,-2.559000286177621,-2.4397596107984354,0.0
2018-12-03,-0.968440122044241,-2.5683638443935926,1.0,-0.0,-2.5588291380625474,-2.438977879481312,0.0
2018-12-04,-0.9442798432571919,-2.5998279652107423,1.0,-0.0,-2.563891809232534,-2.4495842492592943,0.0
2018-12-06,-0.9031212373807539,-2.4129850884504953,1.0,-0.0,-2.5707140872464573,-2.3749189589700843,0.0
2018-12-07,-0.8980348535409713,-2.4164812754912863,1.0,-0.0,-2.574619948090471,-2.380422691879866,0.0
2018-12-10,-0.8156956004756243,-2.424128784414159,1.0,-0.0,-2.571663770236898,-2.3351321686636792,0.0
2018-12-11,-0.800752569750367,-2.439977973568282,1.0,-0.0,-2.5768171806167404,-2.3601321585903086,0.0
2018-12-12,-0.7985842985842986,-2.4454863026291593,1.0,-0.0,-2.580805295091009,-2.3679904394190108,0.0
