Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WRI
2018-09-24,-0.3140861466821886,-0.6797729918509895,-0.0,-0.4983701979045401,-0.4181606519208382,0.0,1.0
2018-09-25,-0.3109754307687792,-0.6900226025185664,-0.0,-0.5062964158863417,-0.42812692635101424,0.0,1.0
2018-09-26,-0.3147260374694862,-0.6944795741301727,-0.0,-0.5076615393664893,-0.4242522278756507,0.0,1.0
2018-09-27,-0.3152726738203734,-0.6929295898868146,-0.0,-0.507540790827576,-0.4241364104071733,0.0,1.0
2018-09-28,-0.3145284571966133,-0.69358537158984,-0.0,-0.507467074317968,-0.4242121354656632,0.0,1.0
2018-10-01,-0.3148679423856141,-0.7029369140220637,-0.0,-0.5107805152169411,-0.42903197184348285,0.0,1.0
2018-10-02,-0.3148022130832273,-0.705080031953608,-0.0,-0.5102221959229563,-0.42859256191011563,0.0,1.0
2018-10-03,-0.3151803948264125,-0.7062183680113653,-0.0,-0.5100778405895758,-0.4282416313966911,0.0,1.0
2018-10-04,-0.3265792610250298,-0.7006555423122764,-0.0,-0.5267282479141836,-0.4257747318235995,0.0,1.0
2018-10-05,-0.3154179272705701,-0.6947855490300765,-0.0,-0.5283265112416207,-0.427626505309367,0.0,1.0
2018-10-08,-0.3124185715977733,-0.6912531090844486,-0.0,-0.5309131825180622,-0.4264775553713135,0.0,1.0
2018-10-09,-0.3039063433281567,-0.6981543423724764,-0.0,-0.5424979094492892,-0.44194242026042285,0.0,1.0
2018-10-10,-0.3033190930003286,-0.6989215188360768,-0.0,-0.542556687479461,-0.44271502404923363,0.0,1.0
2018-10-11,-0.24406003708854893,-0.687326147426982,-0.0,-0.520717431617988,-0.4454102920723227,0.0,1.0
2018-10-12,-0.24126527677929546,-0.6843421998562186,-0.0,-0.5138749101365924,-0.43611790079079793,0.0,1.0
2018-10-15,-0.21629770006029803,-0.7085881643552415,-0.0,-0.5095471903982542,-0.436844976598616,0.0,1.0
2018-10-16,-0.21284783045688196,-0.7143267380754099,-0.0,-0.508571920856905,-0.4358900726531316,0.0,1.0
2018-10-17,-0.19639476732687253,-0.6836662616901646,-0.0,-0.5040262198739863,-0.44133020653801597,0.0,1.0
2018-10-18,-0.1962479516302198,-0.6837034525625812,-0.0,-0.504068486184099,-0.44131773746962766,0.0,1.0
2018-10-19,-0.18143590031117712,-0.6738246755067141,-0.0,-0.5071626811695774,-0.44097446104678867,0.0,1.0
2018-10-22,-0.18149646107178966,-0.6631558251881811,-0.0,-0.5153915290416806,-0.4486012807549713,0.0,1.0
