Date,EVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.1302475972703562,-0.2906498981742828,-0.0,-0.20307978134267032,-0.1624566794097681,0.0
2018-09-25,1.0,-0.12831041222140538,-0.29368309695002776,-0.0,-0.20539348406878125,-0.16567750264474365,0.0
2018-09-26,1.0,-0.12963760315751705,-0.2950663796196627,-0.0,-0.20559741657696445,-0.16372443487621097,0.0
2018-09-27,1.0,-0.13313232470073044,-0.29002674132701595,-0.0,-0.20693120838493154,-0.16462965954162856,0.0
2018-09-28,1.0,-0.1336385671963372,-0.28988239518807796,-0.0,-0.20712810844779606,-0.1648262860220846,0.0
2018-10-01,1.0,-0.13492862536406458,-0.2893459422530653,-0.0,-0.20831685304375966,-0.16524037251447268,0.0
2018-10-02,1.0,-0.13579070394677695,-0.28627168929245705,-0.0,-0.20949384158949924,-0.16651982378854624,0.0
2018-10-03,1.0,-0.13561271998418092,-0.28458178288302866,-0.0,-0.20996242966797896,-0.16746660914271336,0.0
2018-10-04,1.0,-0.14322449792651346,-0.28072653519494395,-0.0,-0.22145560565726807,-0.16551674181923542,0.0
2018-10-05,1.0,-0.14202380307381118,-0.2800202271947409,-0.0,-0.22031388271839047,-0.16364161745317946,0.0
2018-10-08,1.0,-0.14299934843987547,-0.2819626438861942,-0.0,-0.22042640990371387,-0.164500832549048,0.0
2018-10-09,1.0,-0.1454812238465301,-0.2828650616814304,-0.0,-0.22004238900059778,-0.16310707751390321,0.0
2018-10-10,1.0,-0.14713022682803104,-0.28214001014566276,-0.00036234509747083124,-0.22113921298644829,-0.1609355750416697,0.0
2018-10-11,1.0,-0.12101272058694158,-0.272058694160494,-0.0,-0.20771680419445077,-0.1586290620546475,0.0
2018-10-12,1.0,-0.12120157332312297,-0.2675345469734415,-0.0,-0.20106860663441123,-0.15061436179470222,0.0
2018-10-15,1.0,-0.11611032998316237,-0.2708257390338315,-0.0,-0.1992917773264594,-0.1496120397854502,0.0
2018-10-16,1.0,-0.11689529432193091,-0.26987324188227124,-0.0,-0.19965271748567462,-0.14997395381142561,0.0
2018-10-17,1.0,-0.11059623107815879,-0.2570624377853294,-0.0,-0.1971818899529743,-0.151443380359043,0.0
2018-10-18,1.0,-0.10999879801500764,-0.2559197760873671,-0.0,-0.19925476930473754,-0.15196524546250664,0.0
2018-10-19,1.0,-0.1036536596157446,-0.2490682912717186,-0.0,-0.19901979136531492,-0.15000935963106038,0.0
2018-10-22,1.0,-0.10363311494937463,-0.24722198587594654,-0.0,-0.19993193227261125,-0.15092316855270996,0.0
2018-10-23,1.0,-0.10376395317179418,-0.24719234957800165,-0.0,-0.19980261366730193,-0.1508473999455486,0.0
2018-10-24,1.0,-0.10330290512859741,-0.24682543729919937,-0.0,-0.19948323048940114,-0.15027113400309383,0.0
2018-10-25,1.0,-0.08635235732009926,-0.2242183622828784,-0.0,-0.20817204301075268,-0.13550041356492967,0.0
2018-10-26,1.0,-0.07978985388277787,-0.21932359218519126,-0.0,-0.21039238220325068,-0.13229354785749467,0.0
2018-10-29,1.0,-0.07250375497942925,-0.22120094037745708,-0.0,-0.2059851106902632,-0.13292627179520672,0.0
2018-10-30,1.0,-0.06925424780061044,-0.2212447157523626,-0.0,-0.20611422135896976,-0.1355868575252583,0.0
2018-10-31,1.0,-0.0704431336225808,-0.21568436276182582,-0.0,-0.20500820617819593,-0.1338500788118104,0.0
2018-11-01,1.0,-0.06828848433668415,-0.21717524400344282,-0.0,-0.20475177420140636,-0.13376747811682932,0.0
2018-11-02,1.0,-0.06937586011495182,-0.211365660163523,-0.0,-0.20584473407269488,-0.13242127418440863,0.0
2018-11-05,1.0,-0.0720830490301199,-0.20612795269194528,-0.0,-0.20685901809793028,-0.1395197712577574,0.0
2018-11-06,1.0,-0.07444475133633366,-0.2081431054931843,-0.0,-0.20518611187834085,-0.13694779768964566,0.0
2018-11-07,1.0,-0.07435680873180874,-0.20809511434511435,-0.0,-0.2049278846153846,-0.13684056652806653,0.0
2018-11-08,1.0,-0.0690897342702528,-0.2072207414586867,-0.0,-0.20216460705920364,-0.13691947338664082,0.0
2018-11-09,1.0,-0.06770757332555084,-0.20936491723008574,-0.0,-0.20594386886521715,-0.1383335765358237,0.0
2018-11-12,1.0,-0.06760904684975767,-0.2031502423263328,-0.0,-0.20788368336025848,-0.1368497576736672,0.0
2018-11-13,1.0,-0.057545554897851445,-0.1999136096757163,-0.0,-0.2084886492712816,-0.1338570080151023,0.0
