Date,DQ,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.7993534980374046,-3.3142461325329022,-0.46594320018471486,-2.531863311013623,-2.4332717617178483,0.0
2018-09-25,1.0,-1.8131219625086785,-3.3156676695209444,-0.4812543392733164,-2.532747049294145,-2.428604489701458,0.0
2018-09-26,1.0,-1.848721590909091,-3.3941761363636362,-0.4656723484848485,-2.6078361742424243,-2.5208333333333335,0.0
2018-09-27,1.0,-1.848062381852552,-3.3813799621928164,-0.4659735349716446,-2.603379017013232,-2.5161862003780717,0.0
2018-09-28,1.0,-1.8471677947987175,-3.409808811305071,-0.46954043462771644,-2.617860111625698,-2.530697066856668,0.0
2018-10-01,1.0,-1.8478364241559675,-3.4151212553495003,-0.47123157394198767,-2.619828815977175,-2.5336424155967663,0.0
2018-10-02,1.0,-1.8547964770292789,-3.383480123780052,-0.4854796477029279,-2.6318733634848845,-2.5462985003570577,0.0
2018-10-03,1.0,-1.8731971153846154,-3.3751201923076923,-0.4823317307692308,-2.6818509615384616,-2.606730769230769,0.0
2018-10-04,1.0,-1.8748650269946012,-3.3599280143971213,-0.4837432513497301,-2.6824235152969407,-2.596760647870426,0.0
2018-10-05,1.0,-1.8285101822079315,-3.3295224484935093,-0.4328926997737287,-2.698225556746457,-2.619864237227581,0.0
2018-10-08,1.0,-1.8155650319829424,-3.3088130774697944,-0.4188580904998816,-2.694266761430941,-2.607912816868041,0.0
2018-10-09,1.0,-1.8122260395687715,-3.310626702997275,-0.4096671010543774,-2.6993247245587018,-2.615092998459898,0.0
2018-10-10,1.0,-1.8150165798199906,-3.306726669824728,-0.4128375177640929,-2.700497394599716,-2.607531975367124,0.0
2018-10-11,1.0,-1.6126768534238822,-3.27402376910017,-0.1414827391058291,-2.6365591397849464,-2.6538766270515,0.0
2018-10-12,1.0,-1.659885354613915,-3.2795324266606722,-0.12015286051478027,-2.5889625716533664,-2.591210520400135,0.0
2018-10-15,1.0,-1.6109745194456861,-3.3381761287438536,-0.052637460885113986,-2.580129637907912,-2.5938757264193115,0.0
2018-10-16,1.0,-1.616566843711154,-3.429653068143293,-0.013899875692168606,-2.6147587297999775,-2.6257204203864846,0.0
2018-10-17,1.0,-1.5199692780337941,-3.2561992538951063,-0.0,-2.5691244239631335,-2.6268378319069563,0.0
2018-10-18,1.0,-1.5527081468218444,-3.3407564905998215,-0.0,-2.6149283795881826,-2.6822963294538944,0.0
2018-10-19,1.0,-1.4904614019520852,-3.2965838509316767,-0.0,-2.6216725820763087,-2.682564330079858,0.0
2018-10-22,1.0,-1.4943345923128193,-3.3065985336591863,-0.0,-2.6233059320151075,-2.6842923794712283,0.0
2018-10-23,1.0,-1.4996668887408395,-3.3054630246502335,-0.0,-2.6178103486564512,-2.68065733955141,0.0
2018-10-24,1.0,-1.4906956136464333,-3.292091271599468,-0.0,-2.613867966326983,-2.6799955693398316,0.0
2018-10-25,1.0,-1.3206130747575853,-3.0498383901574395,-0.0,-2.5541653633614847,-2.5017203628401625,0.0
2018-10-26,1.0,-1.2470971684660825,-2.969342024852312,-0.0,-2.5295375840293337,-2.4394988796088817,0.0
2018-10-29,1.0,-1.1803245640560427,-2.976212075395625,-0.0,-2.4868460840641062,-2.436246346134462,0.0
2018-10-30,1.0,-1.1534508816120905,-2.976523929471033,-0.0,-2.4877581863979845,-2.4579345088161206,0.0
2018-10-31,1.0,-1.1619655138044453,-2.898534835044354,-0.0,-2.473337984650653,-2.433270208312569,0.0
2018-11-01,1.0,-1.1163553259141497,-2.926569952305247,-0.0,-2.4647257551669317,-2.428656597774245,0.0
2018-11-02,1.0,-1.1186843669506639,-2.910540915395284,-0.0,-2.4575985734099466,-2.420051515751932,0.0
2018-11-05,1.0,-1.111524537409493,-3.0265486725663715,-0.0,-2.5077433628318584,-2.410498793242156,0.0
2018-11-06,1.0,-1.114081817268067,-3.0267363554126043,-0.0,-2.504271786109157,-2.406171474520052,0.0
2018-11-07,1.0,-1.1102860010035123,-3.0235825388861013,-0.0,-2.4990466633216255,-2.4022077270446562,0.0
2018-11-08,1.0,-1.0194146053020596,-3.0002956538878482,-0.0,-2.444860549916231,-2.3905587858480337,0.0
2018-11-09,1.0,-1.0335724247858138,-3.034469017732616,-0.0,-2.4728033472803346,-2.4213986849970115,0.0
2018-11-12,1.0,-1.0330849478390463,-2.9817188276204667,-0.0,-2.5023348236462986,-2.4183805265772476,0.0
2018-11-13,1.0,-0.9472031403336604,-2.9640824337585863,-0.0,-2.5006869479882234,-2.4014720314033364,0.0
2018-11-14,1.0,-0.9701219512195122,-3.080792682926829,-0.0,-2.607520325203252,-2.5041666666666664,0.0
2018-11-15,1.0,-0.9705014749262537,-3.093072932560269,-0.0,-2.6257756077713355,-2.4825551825856986,0.0
