Date,IWF,IWM,MTUM,SPY,TAC,VLUE,VXX
2018-09-24,-0.3740907639357059,-0.819146293865096,-0.0,-0.7311854664159244,1.0,-0.6237802930844836,0.0
2018-09-25,-0.37214456797626283,-0.829764415686555,-0.0,-0.7392843098702321,1.0,-0.6336824795338363,0.0
2018-09-26,-0.37934255433806363,-0.8397341476558291,-0.0,-0.743739895814622,1.0,-0.6297467217531885,0.0
2018-09-27,-0.3788629052662016,-0.853327068348574,-0.0,-0.7480753243936819,1.0,-0.6341489861567932,0.0
2018-09-28,-0.389993071003975,-0.8585755442908719,-0.0,-0.7566463659239269,1.0,-0.6415885635097188,0.0
2018-10-01,-0.38998322025242577,-0.8592689866491573,-0.0,-0.7566207047493981,1.0,-0.6418983001386153,0.0
2018-10-02,-0.39099197665937274,-0.8557986870897155,-0.0,-0.7572939460247994,1.0,-0.6428519328956966,0.0
2018-10-03,-0.39035247755965846,-0.8443406553309494,-0.0,-0.762533751733197,1.0,-0.6516091366853972,0.0
2018-10-04,-0.3970480783282186,-0.8373155048955137,-0.0,-0.7713722051731696,1.0,-0.6475960835890691,0.0
2018-10-05,-0.3799803871717575,-0.8267533505248247,-0.0,-0.7741255947408564,1.0,-0.6511458976500926,0.0
2018-10-08,-0.3772101449275362,-0.8228260869565217,-0.0,-0.7740942028985507,1.0,-0.6490579710144927,0.0
2018-10-09,-0.37033534589364947,-0.826434858514585,-0.0,-0.7812613661162434,1.0,-0.6591256274096166,0.0
2018-10-10,-0.3700564971751413,-0.8389830508474577,-0.0,-0.7873284907183212,1.0,-0.6722796977034265,0.0
2018-10-11,-0.280232023485304,-0.8190499770098681,-0.0,-0.7575071623103314,1.0,-0.6801895801648217,0.0
2018-10-12,-0.29097760100481473,-0.8111436745516712,-0.0,-0.7349801130416579,1.0,-0.6518386714116252,0.0
2018-10-15,-0.2847488329965861,-0.8140806799972132,-0.0,-0.7338535497805336,1.0,-0.6508743816623703,0.0
2018-10-16,-0.2804028155272144,-0.8216600459962367,-0.0,-0.7327339884312495,1.0,-0.649766534253258,0.0
2018-10-17,-0.25673188356397847,-0.775308473651919,-0.0,-0.7229190810552867,1.0,-0.6535892017179086,0.0
2018-10-18,-0.26038059317675294,-0.7862163552202983,-0.0,-0.7239499399965712,1.0,-0.658220469741128,0.0
2018-10-19,-0.24217742482861607,-0.7708545442204575,-0.0,-0.7250390280323085,1.0,-0.655670942781511,0.0
2018-10-22,-0.24287125677102853,-0.7586277382209654,-0.0,-0.7377780806050489,1.0,-0.6675297243893299,0.0
2018-10-23,-0.24680590099144836,-0.7590542059895744,-0.0,-0.7350345814452659,1.0,-0.6661783244182482,0.0
2018-10-24,-0.24452914950821905,-0.7540414525405847,-0.0,-0.7362080114351837,1.0,-0.6685498417452269,0.0
2018-10-25,-0.20265976612401324,-0.6964853090504111,-0.0,-0.7456189197156802,1.0,-0.630810049461168,0.0
2018-10-26,-0.17703006416729097,-0.6878603302824012,-0.0,-0.7658056740822775,1.0,-0.6264942510015961,0.0
2018-10-29,-0.162667961793751,-0.6893637688198154,-0.0,-0.7589444714262586,1.0,-0.6268415088230532,0.0
