Date,IWF,IWM,MTUM,PSEC,SPY,VLUE,VXX
2018-09-24,-0.2091456014872576,-0.5558367115081722,-0.0,1.0,-0.4249270572439257,-0.392135092566294,0.0
2018-09-25,-0.2112530649116015,-0.5548586914440573,-0.0,1.0,-0.4242353852109949,-0.39060523938572717,0.0
2018-09-26,-0.21166055850926546,-0.5552573168843234,-0.0,1.0,-0.4241986269550405,-0.3897950756207092,0.0
2018-09-27,-0.21363929354131755,-0.5507025912079413,-0.0,1.0,-0.424287740105711,-0.3896867345623308,0.0
2018-09-28,-0.21398179427009462,-0.5506072874493927,-0.0,1.0,-0.4243533871425256,-0.38977281518347556,0.0
2018-10-01,-0.2155192441725393,-0.5499625700198766,-0.0,1.0,-0.42566922223082676,-0.3902269031208859,0.0
2018-10-02,-0.21503903220803391,-0.556196039911079,-0.0,1.0,-0.42459804580468385,-0.38908132140826135,0.0
2018-10-03,-0.21451821234823043,-0.5513562386980109,-0.0,1.0,-0.4258072849392922,-0.3916300697494188,0.0
2018-10-04,-0.21684009398641843,-0.5474192465594258,-0.0,1.0,-0.42854191949185366,-0.3892432027679516,0.0
2018-10-05,-0.21003779600442238,-0.5439025017355308,-0.0,1.0,-0.42814902424600826,-0.38906744144190475,0.0
2018-10-08,-0.210920798454604,-0.5460141661300709,-0.0,1.0,-0.4285898261429491,-0.3901352221506761,0.0
2018-10-09,-0.21082723807561554,-0.5460749974245389,-0.0,1.0,-0.42855671165138554,-0.390002060368806,0.0
2018-10-10,-0.2164503283859958,-0.5476547551326473,-0.0,1.0,-0.43411594352795163,-0.38746961783110107,0.0
2018-10-11,-0.16835193368786358,-0.531495768107258,-0.0,1.0,-0.4117294584675305,-0.3851396899108681,0.0
2018-10-12,-0.17021485815428486,-0.5232312306406411,-0.0,1.0,-0.39672550272874774,-0.36813510988740844,0.0
2018-10-15,-0.15118303297781047,-0.5400760083363981,-0.0,1.0,-0.3926198357239181,-0.36800294225818314,0.0
2018-10-16,-0.14935033096347144,-0.542878156410885,-0.0,1.0,-0.39198332924736456,-0.36736945329737686,0.0
2018-10-17,-0.135806335059617,-0.5164398410213176,-0.0,1.0,-0.3865108996748163,-0.3700108394556184,0.0
2018-10-18,-0.13635815713975746,-0.518189927433159,-0.0,1.0,-0.3859302297548157,-0.3703801923865088,0.0
2018-10-19,-0.12480596088171377,-0.5087287751056767,-0.0,1.0,-0.3860244071358632,-0.36861462039978027,0.0
2018-10-22,-0.1250149225222644,-0.5065062197072798,-0.0,1.0,-0.3867440250220854,-0.3693383950528854,0.0
