Date,CVET,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-10-07,1.0,-2.740734746722771,-2.244861628095161,-3.871500242757728,-3.422560284835734,-2.904353455251659,0.0
2019-10-08,1.0,-2.7528035104826913,-2.261660978384528,-3.8841215667154234,-3.4358849341784494,-2.9179262148545426,0.0
2019-10-09,1.0,-2.6976076555023925,-2.2146730462519937,-3.7982456140350873,-3.3837320574162675,-2.854704944178628,0.0
2019-10-10,1.0,-2.6623458741700916,-2.2083465064811887,-3.75735061650332,-3.352355358836548,-2.8273790705026873,0.0
2019-10-11,1.0,-2.6525917756420356,-2.203718292106507,-3.7515361588151883,-3.3400031510950057,-2.807783204663621,0.0
2019-10-14,1.0,-2.6440306681270536,-2.1594429666718824,-3.7496479424190268,-3.3295258957909564,-2.764356125801909,0.0
2019-10-15,1.0,-2.6459345135516217,-2.160269465768448,-3.757794140686198,-3.3354222152592827,-2.7671941093529693,0.0
2019-10-16,1.0,-2.616208663251048,-2.1344511721782333,-3.7408787455364076,-3.305542617605962,-2.728458313926409,0.0
2019-10-17,1.0,-2.610758022012091,-2.136257944504728,-3.7304293907921253,-3.3016586575724696,-2.722523639745776,0.0
2019-10-18,1.0,-2.6182637055443387,-2.1223792514365583,-3.7417300823109176,-3.3115390588600713,-2.736449759279391,0.0
2019-10-21,1.0,-2.602476780185758,-2.1119195046439625,-3.730650154798761,-3.3021671826625387,-2.7325077399380806,0.0
2019-10-22,1.0,-2.6008961681087763,-2.0999690976514214,-3.7297589616810876,-3.2968170580964156,-2.723887515451174,0.0
2019-10-23,1.0,-2.5940685820203893,-2.0937596540006176,-3.7329317269076303,-3.2999691071980224,-2.7256719184430027,0.0
2019-10-24,1.0,-2.605340785592299,-2.1012265176214875,-3.7613724576929055,-3.3168762614500857,-2.7407234901412827,0.0
2019-10-25,1.0,-2.5986320534742737,-2.112389242965957,-3.749261619773045,-3.3275299238302503,-2.757034043214674,0.0
2019-10-28,1.0,-2.5982004343779086,-2.1099906919019547,-3.7486813527769156,-3.3265591064225877,-2.730065156686317,0.0
2019-10-29,1.0,-2.585369625734612,-2.100680482523972,-3.7434271574389113,-3.321682647695639,-2.7143519950510364,0.0
2019-10-30,1.0,-2.5833591091865142,-2.1031549644293226,-3.743581812557996,-3.3213733374574703,-2.714197339931952,0.0
2019-10-31,1.0,-2.599657960199005,-2.1054104477611943,-3.775497512437811,-3.343905472636816,-2.722792288557214,0.0
2019-11-01,1.0,-2.6743075453677174,-2.145813435211716,-3.879496975485514,-3.441738299904489,-2.777300222858962,0.0
2019-11-04,1.0,-2.6612954186413904,-2.102211690363349,-3.8777251184834127,-3.422590837282781,-2.733965244865719,0.0
2019-11-05,1.0,-2.6630297280202404,-2.1034155597722957,-3.880139152435167,-3.4269449715370017,-2.739405439595193,0.0
2019-11-06,1.0,-2.6604996837444657,-2.1061037318153066,-3.874130297280202,-3.4272612270714733,-2.74493991144845,0.0
2019-11-07,1.0,-2.6615506329113923,-2.1082278481012655,-3.8764240506329113,-3.4299050632911388,-2.746518987341772,0.0
2019-11-08,1.0,-2.6617088607594934,-2.1090189873417717,-3.8791139240506323,-3.429430379746835,-2.7433544303797466,0.0
2019-11-11,1.0,-2.6570300157977886,-2.1058451816745656,-3.869352290679305,-3.4259083728278044,-2.7398104265402847,0.0
2019-11-12,1.0,-2.656926235981677,-2.10535460432791,-3.869688832727847,-3.424577475912178,-2.7387458537355864,0.0
2019-11-13,1.0,-2.964348130024467,-2.304613771408598,-4.359664452988465,-3.8311779098217404,-3.0166025865082142,0.0
2019-11-14,1.0,-3.0648365540906624,-2.3505508398049484,-4.575221238938052,-3.9808560592378543,-3.088856781650713,0.0
2019-11-15,1.0,-3.0646676300578037,-2.3509754335260116,-4.576950867052023,-3.9815751445086707,-3.089414739884393,0.0
2019-11-18,1.0,-3.069872958257713,-2.3410163339382937,-4.623230490018149,-4.01470054446461,-3.1001814882032668,0.0
2019-11-19,1.0,-3.071207992733878,-2.3438692098092644,-4.628337874659401,-4.019255222524977,-3.1028156221616707,0.0
2019-11-20,1.0,-3.0734278444202108,-2.347328244274809,-4.633406034169393,-4.02071973827699,-3.100508905852417,0.0
2019-11-21,1.0,-3.0634747914399707,-2.3365977511788176,-4.6311207834602826,-4.01614073268045,-3.0883206383750452,0.0
2019-11-22,1.0,-3.0694166818099218,-2.335089950935853,-4.629293112847537,-4.030347083409049,-3.1077594039614755,0.0
2019-11-25,1.0,-3.0686773255813953,-2.333575581395349,-4.629723837209302,-4.0301598837209305,-3.1064680232558137,0.0
2019-11-26,1.0,-3.0575253256150505,-2.260492040520984,-4.631150506512301,-4.035094066570188,-3.105463096960926,0.0
