Date,ALLT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3788747731397459,-0.9186206896551724,-0.0,-0.65513611615245,-0.677168784029038,0.0
2018-09-25,1.0,-0.3827841486427638,-0.9172593990419508,-0.0,-0.6542313833647844,-0.6746987951807228,0.0
2018-09-26,1.0,-0.3845930443621579,-0.9191534161039717,-0.0,-0.6545051913163437,-0.672039497567705,0.0
2018-09-27,1.0,-0.38568682215531935,-0.9158475098842903,-0.0,-0.6541767927744931,-0.6715876527984331,0.0
2018-09-28,1.0,-0.38282556533120043,-0.92256235003272,-0.0,-0.6563295281029593,-0.6738529775321747,0.0
2018-10-01,1.0,-0.38350785340314136,-0.9217931937172774,-0.0,-0.6566681210005817,-0.6738292611983712,0.0
2018-10-02,1.0,-0.3854458216713314,-0.9142524808258515,-0.0,-0.6590091236232779,-0.6762022463741776,0.0
2018-10-03,1.0,-0.3846405466308061,-0.9039034673257251,-0.0,-0.6628988878389184,-0.6830704368685033,0.0
2018-10-04,1.0,-0.385386767430876,-0.902336227882135,-0.0,-0.6634087853795009,-0.6821930748828253,0.0
2018-10-05,1.0,-0.37236466206198243,-0.8958160054966912,-0.0,-0.6636169674176401,-0.6844465338299642,0.0
2018-10-08,1.0,-0.3686185373597431,-0.8911498358408196,-0.0,-0.6654399826821084,-0.6826496374066456,0.0
2018-10-09,1.0,-0.3681951008333634,-0.8912659186839352,-0.0,-0.6654641220823263,-0.6827446877592988,0.0
2018-10-10,1.0,-0.3680337625798074,-0.8912094650651086,-0.0,-0.6654763193016628,-0.6824297514698987,0.0
2018-10-11,1.0,-0.2890722941913915,-0.8730324557737845,-0.0,-0.632922412592283,-0.6873171750940241,0.0
2018-10-12,1.0,-0.300687994496044,-0.8681458548331612,-0.0,-0.6097007223942208,-0.661437908496732,0.0
2018-10-15,1.0,-0.3222979552093476,-0.8622896091250523,-0.0,-0.6232438447628321,-0.6697037140075115,0.0
2018-10-16,1.0,-0.32152294853963836,-0.8633866481223922,-0.0,-0.6228442280945757,-0.6692976356050069,0.0
2018-10-17,1.0,-0.3027873494592474,-0.8258674217870425,-0.0,-0.6128415953055167,-0.6701920780594317,0.0
2018-10-18,1.0,-0.3032051063248797,-0.8272860702461002,-0.0,-0.6123493873092808,-0.6704782059596546,0.0
2018-10-19,1.0,-0.2866709507220888,-0.8141509114891602,-0.0,-0.6122027936550885,-0.6691243616193729,0.0
2018-10-22,1.0,-0.2868813559322034,-0.8020338983050848,-0.0,-0.6224745762711864,-0.6784406779661017,0.0
2018-10-23,1.0,-0.2904986271651808,-0.8023117860411512,-0.0,-0.6198094979831192,-0.6770617945154401,0.0
2018-10-24,1.0,-0.2887104425018635,-0.7974181744256963,-0.0,-0.6212983668767365,-0.6807955546520295,0.0
2018-10-25,1.0,-0.24648165197948177,-0.747796922267526,-0.0,-0.6431342890964094,-0.6507299750098645,0.0
2018-10-26,1.0,-0.22221134390705566,-0.7371255140003915,-0.0,-0.6596175184387442,-0.64454017361791,0.0
2018-10-29,1.0,-0.20773699412585594,-0.7399798786226592,-0.0,-0.6517054489987991,-0.6459286664719437,0.0
2018-10-30,1.0,-0.1963781520786681,-0.74062895531107,-0.0,-0.6526790640314153,-0.6557297244669458,0.0
2018-10-31,1.0,-0.20259648218542622,-0.716577540106952,-0.0,-0.6515044133754269,-0.6507634817344243,0.0
2018-11-01,1.0,-0.18247376215311312,-0.7332753847144421,-0.0,-0.6516644131092653,-0.6519541562037215,0.0
2018-11-02,1.0,-0.18593720023022317,-0.7112297755323911,-0.0,-0.6543134872417983,-0.6460318475410884,0.0
2018-11-05,1.0,-0.17882473763599602,-0.7378285567572772,-0.0,-0.6606758881863988,-0.6319843383934016,0.0
2018-11-06,1.0,-0.17823085567506822,-0.7372290897415316,-0.0,-0.6617755659014287,-0.6335527371969818,0.0
2018-11-07,1.0,-0.18496882179192647,-0.7575319986872333,-0.0,-0.6869051526091237,-0.6525434853954709,0.0
