Date,FSLR,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5978359701763958,-1.1646663029641755,-0.1342062193126023,-0.879387161302055,-0.7701854882705947,0.0
2018-09-25,1.0,-0.6019916333212078,-1.1621498726809747,-0.14018734085121862,-0.8770007275372863,-0.765778464896326,0.0
2018-09-26,1.0,-0.6016289757473723,-1.1623515493470447,-0.138053419484006,-0.8785093506848068,-0.7696682895754653,0.0
2018-09-27,1.0,-0.601465768390386,-1.1637836853605246,-0.13797341587764023,-0.8787782228696286,-0.770029133284778,0.0
2018-09-28,1.0,-0.6000637203586546,-1.1644440398707387,-0.13868280915752584,-0.878339629511629,-0.7699239907150335,0.0
2018-10-01,1.0,-0.6005370471509194,-1.163571818678318,-0.1389040597123612,-0.8784817039868924,-0.7697979246313491,0.0
2018-10-02,1.0,-0.6044942795934181,-1.1406627467067778,-0.1478645334791923,-0.8865490678700032,-0.7785222662837868,0.0
2018-10-03,1.0,-0.6044782925939438,-1.127280189711784,-0.1457497263772346,-0.8933783290769791,-0.7894472820138636,0.0
2018-10-04,1.0,-0.6147795866105725,-1.1184836290470093,-0.14706420340223156,-0.9077190415218584,-0.7848454362538869,0.0
2018-10-05,1.0,-0.6002094813060704,-1.1108429345598616,-0.13015164624982922,-0.9174825811740062,-0.7953003324377248,0.0
2018-10-08,1.0,-0.5977826245001818,-1.1066884769174845,-0.12640857869865504,-0.9192566339512904,-0.793665939658306,0.0
2018-10-09,1.0,-0.595224016374801,-1.1091198544462133,-0.11803502387991814,-0.9250397998635433,-0.8011371389583808,0.0
2018-10-10,1.0,-0.5963715727731551,-1.1076251534579185,-0.11926522075205748,-0.9256126949483927,-0.7980266448415405,0.0
2018-10-11,1.0,-0.5307559452637173,-1.118639564235419,-0.01789114742482618,-0.9244497586466498,-0.8367654222576503,0.0
2018-10-12,1.0,-0.5396506550218341,-1.1087336244541486,-0.010480349344978164,-0.9008296943231441,-0.8071179039301309,0.0
2018-10-15,1.0,-0.5142035552457302,-1.1368072499128616,-0.0,-0.8972638550017428,-0.8086005576856048,0.0
2018-10-16,1.0,-0.5053275109170305,-1.1564628820960698,-0.0,-0.8968558951965065,-0.8081659388646288,0.0
2018-10-17,1.0,-0.4805623419484806,-1.1094252282371095,-0.0,-0.8857314302858857,-0.8103810381038103,0.0
2018-10-18,1.0,-0.48028458769072524,-1.109291959540545,-0.0,-0.8859506257500429,-0.8103891650951482,0.0
2018-10-19,1.0,-0.458214604686769,-1.094033088078935,-0.0,-0.89048611406456,-0.810232637264492,0.0
