Date,IWF,IWM,MTUM,OPRX,SPY,VLUE,VXX
2018-09-24,-2.227739485159657,-4.221409480939654,-0.3480095653397102,1.0,-3.2785201856801236,-2.9909973273315518,0.0
2018-09-25,-2.280977561812205,-4.281549235386594,-0.3775903958839502,1.0,-3.3262826925825353,-3.0254394740603114,0.0
2018-09-26,-2.282916368834882,-4.284345961401001,-0.38084345961401,1.0,-3.3262330235882773,-3.0214438884917802,0.0
2018-09-27,-2.2894436519258203,-4.250641940085592,-0.38844507845934384,1.0,-3.3212553495007135,-3.015549215406562,0.0
2018-09-28,-2.2841249465126228,-4.253458850377977,-0.3909570674654115,1.0,-3.319783197831978,-3.0149764655541293,0.0
2018-10-01,-2.2886509635974304,-4.253104925053533,-0.3922912205567452,1.0,-3.323911491791577,-3.0174161313347607,0.0
2018-10-02,-2.28912050256996,-4.25399771559109,-0.395631067961165,1.0,-3.322101656196459,-3.0165619645916615,0.0
2018-10-03,-2.287569573283859,-4.222634508348794,-0.3921792493221065,1.0,-3.3329527615241905,-3.035964035964036,0.0
2018-10-04,-2.3043726779079736,-4.205773078022292,-0.39697056301800515,1.0,-3.354672763646756,-3.0278651043155187,0.0
2018-10-05,-2.231017997750281,-4.134842519685039,-0.3311304836895388,1.0,-3.341676040494938,-3.0220753655793025,0.0
2018-10-08,-2.2171052631578947,-4.110862262038074,-0.31229003359462487,1.0,-3.345884658454647,-3.0116181410974243,0.0
2018-10-09,-2.2202297562342395,-4.115158307649201,-0.3142336789016531,1.0,-3.347856542448865,-3.011908097506304,0.0
2018-10-10,-2.225444864789127,-4.11237214515903,-0.31890149922936806,1.0,-3.3516883844752696,-3.0030825276726913,0.0
2018-10-11,-1.8689367956883878,-3.615384615384615,-0.17577168054875061,1.0,-2.909603135717785,-2.679078882900539,0.0
2018-10-12,-1.8233431085043987,-3.483049853372434,-0.14005865102639295,1.0,-2.7626979472140762,-2.5210557184750733,0.0
2018-10-15,-1.7822346238809441,-3.5057551447506103,-0.08754795953958842,1.0,-2.74421578886176,-2.5069178002557844,0.0
2018-10-16,-1.7786063854579353,-3.5422978326730368,-0.06653460731764158,1.0,-2.751456536937777,-2.5134001398275463,0.0
2018-10-17,-1.6868891135827435,-3.351533535557802,-0.0,1.0,-2.6959892146949778,-2.5002808673182786,0.0
2018-10-18,-1.7305909617612978,-3.4447276940903824,-0.00440324449594438,1.0,-2.810428736964079,-2.5974507531865583,0.0
2018-10-19,-1.6804219311464006,-3.4309725281094234,-0.0,1.0,-2.8526718442100383,-2.6274487075460766,0.0
2018-10-22,-1.680055561986341,-3.418798472045376,-0.0,1.0,-2.850561407570321,-2.6258826253038547,0.0
2018-10-23,-1.6795913628976087,-3.429185047596935,-0.0,1.0,-2.8633619688878573,-2.6368702112839566,0.0
2018-10-24,-1.6702558758828296,-3.4131064026861178,-0.0,1.0,-2.8594419358573577,-2.6351742503183977,0.0
2018-10-25,-1.5322106690777575,-3.2750904159132004,-0.0,1.0,-2.9402124773960217,-2.5543625678119346,0.0
2018-10-26,-1.4460638180412941,-3.187589709616871,-0.0,1.0,-2.919620183283648,-2.4880203157778515,0.0
2018-10-29,-1.3777826039743728,-3.164187208165924,-0.0,1.0,-2.860136822673472,-2.4569442936258006,0.0
2018-10-30,-1.3461162411732754,-3.16762629005975,-0.0,1.0,-2.863986963606735,-2.4858229223248234,0.0
2018-10-31,-1.3730727470141149,-3.108903365906623,-0.0,1.0,-2.8849077090119435,-2.4909880564603695,0.0
