Date,CERN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.34621157540826125,-0.648655139289145,-0.018822046109510087,-0.5097562439961575,-0.47847622478386165,0.0
2018-09-25,1.0,-0.3475873244508463,-0.6472212219421438,-0.021185932060977075,-0.5084323610610971,-0.47641339575081026,0.0
2018-09-26,1.0,-0.3482188409711593,-0.6480297710152757,-0.022628372497824192,-0.5080879925572462,-0.47414543381050983,0.0
2018-09-27,1.0,-0.3515540621624865,-0.640585623424937,-0.024900996039841593,-0.5086703468138726,-0.4743789751590064,0.0
2018-09-28,1.0,-0.3506435064350643,-0.6411664116641166,-0.025380253802538024,-0.5085050850508506,-0.4743347433474335,0.0
2018-10-01,1.0,-0.3504950495049505,-0.6414341434143415,-0.025652565256525654,-0.5083408340834084,-0.4744074407440745,0.0
2018-10-02,1.0,-0.35050711156454417,-0.6419312248694713,-0.025955710256256377,-0.508071775790674,-0.47422432935245756,0.0
2018-10-03,1.0,-0.35020552671847344,-0.6338023943112605,-0.024753217918329386,-0.511566503645474,-0.48006240811305473,0.0
2018-10-04,1.0,-0.3504935049350493,-0.6330063300633005,-0.025170251702517025,-0.5117751177511775,-0.4796147961479615,0.0
2018-10-05,1.0,-0.3408588003109862,-0.6276837509718318,-0.013904670773279108,-0.5193170264936308,-0.48848753065008077,0.0
2018-10-08,1.0,-0.3394648829431438,-0.6251791686574295,-0.010361920688007644,-0.5227842809364548,-0.4883540372670807,0.0
2018-10-09,1.0,-0.3420321047439691,-0.6260126147131797,-0.015125698741517951,-0.5209996113950917,-0.48509849639793146,0.0
2018-10-10,1.0,-0.34252756776140814,-0.6253175148671667,-0.01559931865044975,-0.5212622896930938,-0.48366852942055405,0.0
2018-10-11,1.0,-0.28993719877318536,-0.6228129107638382,-0.0,-0.5088944063093326,-0.4993427778589163,0.0
2018-10-12,1.0,-0.29114437078423994,-0.6181281301566163,-0.0,-0.4983354080421503,-0.4873056769823119,0.0
2018-10-15,1.0,-0.2793748013752058,-0.6275387860052581,-0.0,-0.4954207956548118,-0.486753531909976,0.0
2018-10-16,1.0,-0.2747557662292618,-0.6356147754205445,-0.0,-0.49433493265506673,-0.48563500780391927,0.0
2018-10-17,1.0,-0.26689595872742905,-0.6208942390369734,-0.0,-0.49125824018343367,-0.48707366007451997,0.0
2018-10-18,1.0,-0.2666074396744426,-0.6203931908064424,-0.0,-0.49174643205135554,-0.48710380008024307,0.0
2018-10-19,1.0,-0.2599486154724522,-0.6170710819297744,-0.0,-0.4916357407936055,-0.4860690836425921,0.0
2018-10-22,1.0,-0.2597350690875871,-0.609141258421834,-0.0,-0.4959746488523467,-0.49003654219481557,0.0
2018-10-23,1.0,-0.2617171890163841,-0.6091511103499457,-0.0,-0.4943483473197466,-0.4891533938459782,0.0
2018-10-24,1.0,-0.26072183199131976,-0.6044771857689453,-0.0,-0.4966592427616927,-0.49351835988807036,0.0
2018-10-25,1.0,-0.2391170889608215,-0.5757618037727426,-0.0,-0.5013673401049223,-0.47421587230717716,0.0
2018-10-26,1.0,-0.22556266090856242,-0.5669518035600587,-0.0,-0.5073498878830661,-0.4684550009689118,0.0
2018-10-29,1.0,-0.2899664236667776,-0.6169273117759158,-0.0,-0.6058259475483228,-0.5122054508605827,0.0
