Date,GDEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.83650812909488,-1.8111502062606164,-0.0914826498422713,-1.2390803203106042,-1.0882067459354527,0.0
2018-09-25,1.0,-0.837334788407906,-1.808839578028374,-0.09373105371650296,-1.2371771553292106,-1.0857281435673578,0.0
2018-09-26,1.0,-0.8415649110017617,-1.815199562602515,-0.09956867748010448,-1.2386246279083895,-1.0800072899580826,0.0
2018-09-27,1.0,-0.8421020693003217,-1.8095758237757147,-0.1009163177377268,-1.2370896292250744,-1.0786455488803932,0.0
2018-09-28,1.0,-0.8547963607498321,-1.814984429382671,-0.10172803321731698,-1.2470537949563412,-1.0875007632655553,0.0
2018-10-01,1.0,-0.8544976778293816,-1.817404057687607,-0.10284771449523344,-1.2474333903691028,-1.088792471278416,0.0
2018-10-02,1.0,-0.8685150955021566,-1.7834257547751078,-0.12101047443006778,-1.2734442390634628,-1.1150955021565003,0.0
2018-10-03,1.0,-0.86760268489439,-1.7687049695178272,-0.1192191637416097,-1.2784038426011455,-1.1240839953199089,0.0
2018-10-04,1.0,-0.8676007653848528,-1.77606320597494,-0.12067156348373559,-1.2782544287389668,-1.1298685266341584,0.0
2018-10-05,1.0,-0.8430973941970061,-1.7686810817470584,-0.08963223064128627,-1.3022854678740836,-1.1565945912647078,0.0
2018-10-08,1.0,-0.8501457002914006,-1.7826275652551307,-0.09269018538037077,-1.3089466178932359,-1.1656643313286628,0.0
2018-10-09,1.0,-0.8625530321936611,-1.7942974794110307,-0.1071874220114799,-1.3117669079111554,-1.1632767656600949,0.0
2018-10-10,1.0,-0.8659427073581727,-1.7926730325157585,-0.11034138426012607,-1.3142357860575422,-1.1578356113087436,0.0
2018-10-11,1.0,-0.7604640038268357,-1.7739177230327672,-0.0,-1.2752929921071514,-1.1697560392250657,0.0
2018-10-12,1.0,-0.7793657355459753,-1.7678497608220634,-0.0,-1.2366975727868659,-1.1217149943896532,0.0
2018-10-15,1.0,-0.7299481009672093,-1.8173507902807267,-0.0,-1.2274711016749236,-1.1229063458362822,0.0
2018-10-16,1.0,-0.7428148148148147,-1.812148148148148,-0.0,-1.2379259259259259,-1.1329777777777776,0.0
2018-10-17,1.0,-0.6955590295871692,-1.727462219906201,-0.0,-1.2226854264373805,-1.1443460135487233,0.0
2018-10-18,1.0,-0.6956066945606694,-1.7282078103207807,-0.0,-1.2359948860994885,-1.15149930264993,0.0
2018-10-19,1.0,-0.6638708565519619,-1.7039122192221519,-0.0,-1.2334692939621992,-1.1436203826046991,0.0
2018-10-22,1.0,-0.666379012771833,-1.7101599355655277,-0.0,-1.2329421240363594,-1.143596824301001,0.0
2018-10-23,1.0,-0.67266381852097,-1.7914435284914856,-0.0,-1.3266141163728262,-1.2264877549792406,0.0
