Date,FCN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.42240350944703126,-0.9318505406549429,-0.11994458767845462,-0.7039288875206835,-0.6699888405741332,0.0
2018-09-25,1.0,-0.4222538680625048,-0.9322223077515204,-0.11962127626818567,-0.7042567931644985,-0.6705026556847048,0.0
2018-09-26,1.0,-0.4222153798783774,-0.9322607959356477,-0.11954429989993072,-0.7042952813486261,-0.6705026556847048,0.0
2018-09-27,1.0,-0.42636195752539247,-0.9229378270236996,-0.12238381040320098,-0.7049861495844876,-0.6707063711911359,0.0
2018-09-28,1.0,-0.42289305266404503,-0.9296013570822731,-0.12333256226385997,-0.7067622792813633,-0.6727195620325391,0.0
2018-10-01,1.0,-0.4225324950823466,-0.9308057237628726,-0.12377058664712462,-0.7066764376904385,-0.6731592548308712,0.0
2018-10-02,1.0,-0.4225960796419201,-0.9345192159283839,-0.12320574162679426,-0.7058959716005556,-0.6724031486340485,0.0
2018-10-03,1.0,-0.42218108900200524,-0.9295079438531544,-0.12278266234767855,-0.7070029307419405,-0.6747647693968841,0.0
2018-10-04,1.0,-0.427403178521833,-0.9221185002314457,-0.12366918685388055,-0.7138558864372782,-0.6704212312914674,0.0
2018-10-05,1.0,-0.41238659080424417,-0.9152314316469321,-0.10798862063662924,-0.7250884207288943,-0.6836460095340611,0.0
2018-10-08,1.0,-0.41030461137113483,-0.9118391774725696,-0.10484922888053402,-0.7269239622496739,-0.6824982736131359,0.0
2018-10-09,1.0,-0.4112206915077325,-0.9122376146436931,-0.10656586975708969,-0.7262366169077862,-0.6811466288038681,0.0
2018-10-10,1.0,-0.4118685028194407,-0.9111972074111014,-0.10740726533430513,-0.7265334305113355,-0.6789673558632859,0.0
2018-10-11,1.0,-0.36725564750615075,-0.9047938567061805,-0.05218817565048833,-0.7140833519719675,-0.6894058003429508,0.0
2018-10-12,1.0,-0.3705230610667353,-0.8970810174108292,-0.04737365185703242,-0.6968748849707365,-0.6691206242868185,0.0
2018-10-15,1.0,-0.3565262113809191,-0.9194739355644539,-0.02736857573197164,-0.6975129495610007,-0.6727526542008008,0.0
2018-10-16,1.0,-0.3566364204107123,-0.9192167811616031,-0.027625730134822377,-0.6974394768744718,-0.6727159178575365,0.0
2018-10-17,1.0,-0.3400332586219363,-0.8809919745499242,-0.011495914973610008,-0.6971296363241993,-0.6854168172944834,0.0
2018-10-18,1.0,-0.34114752912235,-0.8833658924824542,-0.010310397221619276,-0.6967657911873236,-0.6860936256421388,0.0
2018-10-19,1.0,-0.3286653021652483,-0.87356817120902,-0.0,-0.701246005242558,-0.6873137276024274,0.0
2018-10-22,1.0,-0.32894217308589685,-0.8702753149790013,-0.0,-0.7021070390179116,-0.688179762374816,0.0
2018-10-23,1.0,-0.336453308373533,-0.8734250125998991,-0.00669594643242854,-0.6969184246526028,-0.6864785081719346,0.0
