Date,EFSC,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.132647961733419,-0.5741415006782323,-0.06532448061683443,-0.29663739558792035,-0.31101116108612364,0.0
2018-09-25,1.0,-0.13134356913952264,-0.5802841153680585,-0.06021906538479935,-0.30202802888984553,-0.31764480795905675,0.0
2018-09-26,1.0,-0.13185525340221474,-0.5809475975221832,-0.06139532658869675,-0.3017148597259095,-0.3157781445074263,0.0
2018-09-27,1.0,-0.13074204946996468,-0.5913079012523738,-0.05913319391360785,-0.30431960770173794,-0.3183336939015889,0.0
2018-09-28,1.0,-0.12988605221404875,-0.5919755757488341,-0.059449973556420975,-0.3042694360305784,-0.31838069137939323,0.0
2018-10-01,1.0,-0.1298086170417388,-0.5922052317753413,-0.05962685131756106,-0.30421715714560493,-0.31847470667436045,0.0
2018-10-02,1.0,-0.12990710580287126,-0.6085414404632645,-0.05498853902762698,-0.30288333936542405,-0.3165158643986005,0.0
2018-10-03,1.0,-0.13186839810059114,-0.6193429595891073,-0.05618276964822172,-0.30213683496462834,-0.3131844170946797,0.0
2018-10-04,1.0,-0.1307568985619899,-0.6246599300427517,-0.05599008938981734,-0.30074329576369996,-0.31694520015546057,0.0
2018-10-05,1.0,-0.12127958186129796,-0.6215941538014809,-0.048274693897304356,-0.30537676039297296,-0.3232589653002952,0.0
2018-10-08,1.0,-0.12005605354079586,-0.6198990069825316,-0.0462441711565875,-0.30708642392906327,-0.322839401773418,0.0
2018-10-09,1.0,-0.11776664488491978,-0.6219898835886638,-0.03889251918003824,-0.312156634962124,-0.32941261889203516,0.0
2018-10-10,1.0,-0.11995931119668676,-0.6210855191455351,-0.04107631572573809,-0.3138608346048585,-0.325970597495701,0.0
2018-10-11,1.0,-0.09060339111490008,-0.6252960121246567,-0.0070095671118689026,-0.3077815667329734,-0.3374064601686085,0.0
2018-10-12,1.0,-0.08835161730778286,-0.6265596308677434,-0.00426102923866472,-0.3027920335232356,-0.3322190310278262,0.0
2018-10-15,1.0,-0.0456439484649648,-0.6932324345035682,-0.0,-0.30810862589204463,-0.3477896450979453,0.0
2018-10-16,1.0,-0.04360736607677387,-0.6964726166814339,-0.0,-0.3074786273617663,-0.34713474939533995,0.0
2018-10-17,1.0,-0.02960160775505379,-0.6728927769239863,-0.0,-0.30637191157347204,-0.35547937108405253,0.0
2018-10-18,1.0,-0.02953067738503369,-0.67312921149072,-0.0,-0.30625369429010524,-0.35545572762737915,0.0
2018-10-19,1.0,-0.02343455299886835,-0.6745331950207468,-0.0,-0.30509713315729914,-0.3545124481327801,0.0
2018-10-22,1.0,-0.026944754928773573,-0.6935004399629005,-0.0,-0.3040024733049538,-0.35373017194225786,0.0
2018-10-23,1.0,-0.019279492314745555,-0.7042202543252177,-0.0,-0.322177448543783,-0.36727553507226796,0.0
2018-10-24,1.0,-0.023482641118079902,-0.7339374783939947,-0.0,-0.335769667637908,-0.37609264655044694,0.0
2018-10-25,1.0,-0.02853417581866506,-0.7520936763452184,-0.0,-0.3394263076074419,-0.387342660849506,0.0
2018-10-26,1.0,-0.02619083320837707,-0.7480631778877392,-0.0,-0.3397810766231819,-0.3850902184235518,0.0
2018-10-29,1.0,-0.003293577523828534,-0.7643594989769948,-0.0,-0.3319027895603573,-0.3955786216877089,0.0
2018-10-30,1.0,-0.0,-0.7644757629711363,-0.0,-0.3297891014870727,-0.4134463475186197,0.0
2018-10-31,1.0,-0.0,-0.7520883724409645,-0.0,-0.33012492830960277,-0.41136573323691494,0.0
2018-11-01,1.0,-0.0,-0.7563958847121541,-0.0,-0.3258600503201056,-0.4088384027103106,0.0
2018-11-02,1.0,-0.0,-0.731495965238982,-0.0,-0.3423711980136562,-0.40903786468032277,0.0
2018-11-05,1.0,-0.0,-0.7463573524292605,-0.0,-0.3431548063056343,-0.39696155950072104,0.0
2018-11-06,1.0,-0.0,-0.7434382711433486,-0.0,-0.34671851242553403,-0.40242777736234703,0.0
2018-11-07,1.0,-0.0,-0.749874194847021,-0.0,-0.3569092190016103,-0.4092944847020934,0.0
2018-11-08,1.0,-0.0,-0.7496309270611786,-0.0,-0.34102339547103716,-0.41153509320655574,0.0
2018-11-09,1.0,-0.0,-0.7522668475121191,-0.0,-0.3462436892472308,-0.4132569763645041,0.0
2018-11-12,1.0,-0.0,-0.7448289677968648,-0.0,-0.3480242399959934,-0.41127860970601493,0.0
2018-11-13,1.0,-0.0,-0.7409285217218411,-0.0,-0.34049110249527786,-0.403916890346953,0.0
2018-11-14,1.0,-0.0,-0.7410734280524521,-0.0,-0.3425813033417104,-0.4045634377566001,0.0
2018-11-15,1.0,-0.0,-0.7420946400538238,-0.0,-0.3421295258029952,-0.4075901422840198,0.0
2018-11-16,1.0,-0.0,-0.7389129460952666,-0.0,-0.3412722114379573,-0.4084913642924693,0.0
2018-11-19,1.0,-0.0,-0.7387896282287364,-0.0,-0.3411138207335888,-0.4085253570895337,0.0
2018-11-20,1.0,-0.0,-0.7298836345630106,-0.0,-0.3326070809606338,-0.41336964595196835,0.0
2018-11-21,1.0,-0.0,-0.7301669630507804,-0.0,-0.3302953961667654,-0.40940525587828486,0.0
2018-11-23,1.0,-0.0,-0.7209595024801955,-0.0,-0.33565311813627496,-0.41124355272574714,0.0
2018-11-26,1.0,-0.0,-0.7297110226682817,-0.0,-0.33357229377302056,-0.40872123204706695,0.0
2018-11-27,1.0,-0.0,-0.7303193715988279,-0.0,-0.32791608184974513,-0.40415158454605893,0.0
2018-11-28,1.0,-0.0,-0.7423041793181763,-0.0,-0.3240514453578217,-0.4022316028536868,0.0
2018-11-29,1.0,-0.0,-0.7307221542227662,-0.0,-0.3158384332925337,-0.4014198286413709,0.0
2018-11-30,1.0,-0.0,-0.7314867018016914,-0.0,-0.31550435102340973,-0.4042897413898762,0.0
2018-12-03,1.0,-0.0,-0.7326095500098252,-0.0,-0.3175967773629397,-0.406071919827078,0.0
2018-12-04,1.0,-0.0,-0.7381186174391202,-0.0,-0.31225451688923805,-0.4044579732914375,0.0
2018-12-06,1.0,-0.0,-0.7368845646115484,-0.0,-0.30726543783308075,-0.40047914731335255,0.0
