Date,IWF,IWM,MTUM,OOMA,SPY,VLUE,VXX
2018-09-24,-0.7682615047479912,-1.7859751643535426,-0.0,1.0,-1.3575602629656682,-1.1753713172632092,0.0
2018-09-25,-0.7677450801194176,-1.7879729482727107,-0.0,1.0,-1.3592274416620973,-1.1777859014196064,0.0
2018-09-26,-0.7667318026380069,-1.7896922325354179,-0.0,1.0,-1.3631533952125063,-1.186980947728383,0.0
2018-09-27,-0.7761759315821625,-1.7761759315821626,-0.0,1.0,-1.3668906536346974,-1.1894929749541845,0.0
2018-09-28,-0.773321921995354,-1.7811468394669274,-0.0,1.0,-1.367832253331703,-1.190915759872845,0.0
2018-10-01,-0.7742034313725489,-1.7881127450980392,-0.0,1.0,-1.370281862745098,-1.1947916666666665,0.0
2018-10-02,-0.7747609708261829,-1.790451090953665,-0.0,1.0,-1.36939200784506,-1.1942878156410885,0.0
2018-10-03,-0.773587216065634,-1.7814241106961366,-0.0,1.0,-1.37023204555195,-1.197330557766485,0.0
2018-10-04,-0.7792326990148687,-1.7714005996451079,-0.0,1.0,-1.3766138407881052,-1.1915804931775071,0.0
2018-10-05,-0.7502127659574468,-1.7562917933130697,-0.0,1.0,-1.378176291793313,-1.1943465045592705,0.0
2018-10-08,-0.7510494615805805,-1.7582892255277727,-0.0,1.0,-1.3790229360588917,-1.1954736265741925,0.0
2018-10-09,-0.7532412197942663,-1.7599366973035488,-0.0,1.0,-1.3792074989348106,-1.1944123196786172,0.0
2018-10-10,-0.7600585223116313,-1.760607168983175,-0.0,1.0,-1.3853328456474032,-1.1900755913191905,0.0
2018-10-11,-0.602130915940664,-1.7429950553331761,-0.0,1.0,-1.3364728043324698,-1.2049682128561336,0.0
2018-10-12,-0.5931598947676118,-1.7366267173341126,-0.0,1.0,-1.32540192926045,-1.1909967845659164,0.0
2018-10-15,-0.5464248221159453,-1.779015513822466,-0.0,1.0,-1.3161087134025429,-1.190715035576811,0.0
2018-10-16,-0.5351402088466503,-1.8164378739880325,-0.0,1.0,-1.3202510852986038,-1.1947084359967148,0.0
2018-10-17,-0.5047564469914041,-1.7515759312320918,-0.0,1.0,-1.2931805157593124,-1.1811461318051577,0.0
2018-10-18,-0.5103980644046316,-1.7665188086871362,-0.0,1.0,-1.2956391497206061,-1.1881444783685695,0.0
2018-10-19,-0.4746101559376249,-1.7466156394585022,-0.0,1.0,-1.3026218084194894,-1.1881533101045296,0.0
2018-10-22,-0.4749158153073455,-1.7366588665030533,-0.0,1.0,-1.3051195708007535,-1.1906854631584955,0.0
2018-10-23,-0.4811897014328938,-1.7376263058742936,-0.0,1.0,-1.301136039276132,-1.1887309470799794,0.0
2018-10-24,-0.47840000000000005,-1.732057142857143,-0.0,1.0,-1.3067428571428572,-1.197142857142857,0.0
2018-10-25,-0.40158346162304814,-1.6405872003518804,-0.0,1.0,-1.3224103804706402,-1.133549593138333,0.0
2018-10-26,-0.37115186928528915,-1.608775631661527,-0.0,1.0,-1.3197532868040904,-1.1106963155331926,0.0
2018-10-29,-0.3533846733803651,-1.611341483117023,-0.0,1.0,-1.3122946846895365,-1.1083526307286338,0.0
2018-10-30,-0.33067385444743935,-1.6144474393530999,-0.0,1.0,-1.3158490566037737,-1.1299191374663073,0.0
2018-10-31,-0.3348981115971408,-1.5768163874959993,-0.0,1.0,-1.3065187239944522,-1.1162914755147766,0.0
2018-11-01,-0.30496642864755413,-1.6008739209208145,-0.0,1.0,-1.305552595118832,-1.1173931578386442,0.0
