Date,DELL,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.4912116328748641,-0.8956264288123524,-0.16486152231758047,-0.6600831990405877,-0.5358842708840835,0.0
2018-09-25,1.0,-0.49269553491159734,-0.8937668564578964,-0.1675531914893617,-0.6584132454300271,-0.533413245430027,0.0
2018-09-26,1.0,-0.49389192835194484,-0.8953758525069325,-0.16990182117964475,-0.6580978790376977,-0.5300157385895227,0.0
2018-09-27,1.0,-0.49561994609164417,-0.8894129979035639,-0.17149595687331534,-0.6576445043426175,-0.5294624138963762,0.0
2018-09-28,1.0,-0.4958256897907229,-0.8890344801767062,-0.17183931713526263,-0.6575568118003818,-0.5295196735427352,0.0
2018-10-01,1.0,-0.4964993073495826,-0.8881650380021715,-0.17185218465685725,-0.6579430154629525,-0.5295593245722416,0.0
2018-10-02,1.0,-0.4966681641209943,-0.8857816711590295,-0.17299341120095835,-0.6581311769991015,-0.5300613956274333,0.0
2018-10-03,1.0,-0.4961832061068703,-0.8771142044604102,-0.17183056428678345,-0.661203412662775,-0.5355859901212394,0.0
2018-10-04,1.0,-0.4996259444901623,-0.8708386324530559,-0.17255180668811249,-0.6656691853070995,-0.5319069349891523,0.0
2018-10-05,1.0,-0.4853039910481164,-0.8639686684073107,-0.1568071615069004,-0.6782916822081313,-0.5455427079447968,0.0
2018-10-08,1.0,-0.48351402704817265,-0.8608472113557617,-0.15163369472076302,-0.6839536529935547,-0.5456950188145002,0.0
2018-10-09,1.0,-0.4864219635929573,-0.8621680095493883,-0.15666965085049242,-0.6824455386451805,-0.5424873172187408,0.0
2018-10-10,1.0,-0.48617382542821963,-0.8633802291301266,-0.1556890696719782,-0.6828376310781058,-0.5437175803261559,0.0
2018-10-11,1.0,-0.4384445330337404,-0.8623563947377958,-0.08962418004566375,-0.6733954263762548,-0.5602870293190301,0.0
2018-10-12,1.0,-0.4490109811496227,-0.8552062095360733,-0.08638265908359267,-0.6526093643810137,-0.5337124870336589,0.0
2018-10-15,1.0,-0.4508000143179296,-0.854851988402477,-0.0860149622364606,-0.6541504098507356,-0.5336650320363675,0.0
2018-10-16,1.0,-0.44861185742432386,-0.8658427368798137,-0.07830915278524091,-0.6552749417875694,-0.5342289091886083,0.0
2018-10-17,1.0,-0.43183342156343746,-0.8259749426504324,-0.05851420504676196,-0.6595376742544556,-0.5533086289041821,0.0
2018-10-18,1.0,-0.43196978787985735,-0.8263861927787385,-0.05820068471393781,-0.6595136413369569,-0.5533829809762467,0.0
2018-10-19,1.0,-0.42077785564120535,-0.8159425367904696,-0.04583041345480028,-0.6663980378416258,-0.5548703573931325,0.0
2018-10-22,1.0,-0.4214305730699173,-0.8134019896314978,-0.04452150763626173,-0.6674723273083929,-0.5560459576853019,0.0
2018-10-23,1.0,-0.4246512931940843,-0.8134155744024673,-0.05099179925702671,-0.662262563958786,-0.5532697834162754,0.0
2018-10-24,1.0,-0.4243922971693149,-0.8165140832719492,-0.05012452208074643,-0.6634396155599985,-0.5531937282963274,0.0
2018-10-25,1.0,-0.3951560854648596,-0.7708142260266994,-0.046774686640171204,-0.6640850572369986,-0.5200244573524916,0.0
2018-10-26,1.0,-0.3832828792465523,-0.7605785401950891,-0.0303397241843256,-0.6747729566094853,-0.5146316851664985,0.0
2018-10-29,1.0,-0.3780647325171893,-0.7637095421767567,-0.02418245849404662,-0.6728827771256078,-0.5151769243669293,0.0
2018-10-30,1.0,-0.38302444265377383,-0.764067955949503,-0.026994359387590653,-0.6727773301101263,-0.5106097233413913,0.0
2018-10-31,1.0,-0.3843741659994662,-0.7490659194021884,-0.02922337870296237,-0.6684013877768882,-0.5049039231385108,0.0
2018-11-01,1.0,-0.38284037480409483,-0.7506085564707059,-0.027810197072259832,-0.668378405415319,-0.5049518156657442,0.0
2018-11-02,1.0,-0.3903659992043495,-0.7240087521548866,-0.02267603766078769,-0.6773305927595809,-0.5008288025460814,0.0
2018-11-05,1.0,-0.38732767762460235,-0.7322706786850478,-0.022600742311770946,-0.6778234358430542,-0.4938693001060446,0.0
2018-11-06,1.0,-0.388018158322012,-0.7325292421882765,-0.02266476689088439,-0.6771596143013354,-0.49322376486961134,0.0
2018-11-07,1.0,-0.38600324428112687,-0.7317509186612374,-0.0258880391962128,-0.6748435793028106,-0.49197205945641737,0.0
2018-11-08,1.0,-0.3949425440940673,-0.7377739176910743,-0.02866114377338322,-0.6844601817210048,-0.49458845537145907,0.0
2018-11-09,1.0,-0.3930314986959139,-0.738781515414967,-0.029759914398448474,-0.687119641543503,-0.4951180365144119,0.0
2018-11-12,1.0,-0.3928476291955248,-0.7240942994139584,-0.029268779968034096,-0.691928609483218,-0.49167554608417696,0.0
