Date,F,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3291651237644914,-0.4106588429657903,-0.020651152191870567,-0.5096419517475147,-0.5783461987637794,0.0
2018-09-25,1.0,-0.3277014428731247,-0.4207854048937208,-0.013510800034422421,-0.5180861134218755,-0.5884225925819685,0.0
2018-09-26,1.0,-0.32749481447338097,-0.42273565337635405,-0.007893523853422447,-0.5231332104171469,-0.5996197280479373,0.0
2018-09-27,1.0,-0.3270289750612657,-0.4251693815770506,-0.007438373936860314,-0.5234827735332277,-0.599971169093268,0.0
2018-09-28,1.0,-0.3250951666858922,-0.42724074287691777,-0.008045910716345599,-0.5234456107970931,-0.60004037374553,0.0
2018-10-01,1.0,-0.3249019381633595,-0.4276938163359484,-0.008335256114443933,-0.5232752653437933,-0.5999942316566682,0.0
2018-10-02,1.0,-0.32637105847733894,-0.4157170469953553,-0.012895594726365289,-0.5264979949802383,-0.6034388252603641,0.0
2018-10-03,1.0,-0.32716085047376936,-0.42104807025652874,-0.013750866651259533,-0.5256528772821817,-0.6012248671134734,0.0
2018-10-04,1.0,-0.3312335654636345,-0.4153494957667524,-0.014419048169445487,-0.531106423555928,-0.5974802785563614,0.0
2018-10-05,1.0,-0.32033883654594175,-0.4075834845996485,-0.00195925893911891,-0.5410147808799377,-0.610337972166998,0.0
2018-10-08,1.0,-0.31869965477560414,-0.4048043728423475,-0.0,-0.543325661680092,-0.6100115074798619,0.0
2018-10-09,1.0,-0.31147730224235953,-0.40677036737756483,-0.0,-0.5490173443767856,-0.6186545842832819,0.0
2018-10-10,1.0,-0.3095731333702915,-0.4202433402386718,-0.0,-0.5542555364280921,-0.6336766550929304,0.0
2018-10-11,1.0,-0.25589676390154964,-0.4067627620783956,-0.0,-0.5384286690975387,-0.6475900182315405,0.0
2018-10-12,1.0,-0.2660216630937606,-0.39992101997066454,-0.0,-0.5230452442739479,-0.6316991989168453,0.0
2018-10-15,1.0,-0.22785384244692009,-0.4462114125350795,-0.0,-0.5213028318734587,-0.6393117328571024,0.0
2018-10-16,1.0,-0.21753394956065275,-0.47261211913728174,-0.0,-0.5226805888394386,-0.6400775989957778,0.0
2018-10-17,1.0,-0.19877736146716624,-0.4402625573992168,-0.0,-0.5235935431163197,-0.6545341859875482,0.0
2018-10-18,1.0,-0.19863090878359344,-0.4402219843371457,-0.0,-0.5236069637726068,-0.6546002591695306,0.0
2018-10-19,1.0,-0.19349305438389292,-0.43782689387548507,-0.0,-0.5239581575839379,-0.6567403408132276,0.0
2018-10-22,1.0,-0.1935737778652349,-0.43358727124504537,-0.0,-0.5258201444916089,-0.6581677114665617,0.0
2018-10-23,1.0,-0.19911653818018119,-0.434922064036914,-0.0,-0.5226773957571323,-0.6568848123347026,0.0
2018-10-24,1.0,-0.1992304645504442,-0.4312510609404176,-0.0,-0.5304136253041363,-0.6683075878458666,0.0
2018-10-25,1.0,-0.1869857473572644,-0.4137450143642094,-0.0,-0.5293001980308482,-0.6591359161018604,0.0
