Date,ILPT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.2565376569037657,-0.774814039981404,-0.0,-0.4661494653649465,-0.4080950720595072,0.0
2018-09-25,1.0,-0.26829981290926097,-0.7784144059869037,-0.0,-0.4693638914873714,-0.4072146866230122,0.0
2018-09-26,1.0,-0.2776843905747736,-0.7919726326344039,-0.0,-0.47603880975552215,-0.40340322628210795,0.0
2018-09-27,1.0,-0.28604802460373785,-0.7835344215755854,-0.0,-0.48068961438372365,-0.40690797255736927,0.0
2018-09-28,1.0,-0.2831146470343763,-0.7916641928397553,-0.0,-0.4837321142314315,-0.4100813394288429,0.0
2018-10-01,1.0,-0.28362800143352046,-0.8008003822721299,-0.0,-0.48715804563373544,-0.4149145860709592,0.0
2018-10-02,1.0,-0.28349021365605853,-0.8038846556103391,-0.0,-0.48647841027939637,-0.4143134618257881,0.0
2018-10-03,1.0,-0.28278149653358836,-0.7947645230695672,-0.0,-0.49010877360745875,-0.42063112598613434,0.0
2018-10-04,1.0,-0.3270329115521757,-0.8221261556908901,-0.0,-0.5615789971916316,-0.4447319428228835,0.0
2018-10-05,1.0,-0.3108265059484571,-0.8140440091659603,-0.0,-0.5650249552688577,-0.44913205888815644,0.0
2018-10-08,1.0,-0.3134729963482606,-0.8289128067140752,-0.0,-0.5951694535204048,-0.46569286949836636,0.0
2018-10-09,1.0,-0.30569446684949186,-0.8351992256815615,-0.0,-0.6057105984836264,-0.4796902726246169,0.0
2018-10-10,1.0,-0.3058117783654776,-0.834838418370638,-0.0,-0.6058182287299233,-0.47871379732954916,0.0
2018-10-11,1.0,-0.2385543667579,-0.8180828564319482,-0.0,-0.5773824334411546,-0.4761756655884549,0.0
2018-10-12,1.0,-0.23484661820869776,-0.8137242823703338,-0.0,-0.5678514229395096,-0.46353332512011824,0.0
2018-10-15,1.0,-0.21944180048512393,-0.8253861033498112,-0.0,-0.5637876508336148,-0.4618195216309988,0.0
2018-10-16,1.0,-0.22071380305915597,-0.8239449597641133,-0.0,-0.5643467043430186,-0.46243626758400397,0.0
2018-10-17,1.0,-0.21066513066149276,-0.8027951252046323,-0.0,-0.557418298672164,-0.4607106044988783,0.0
2018-10-18,1.0,-0.2133134382898383,-0.8108346782788757,-0.0,-0.5572946801059715,-0.4636864703553701,0.0
2018-10-19,1.0,-0.19683660840955058,-0.7999335929246281,-0.0,-0.5597512753176975,-0.46198194934951253,0.0
2018-10-22,1.0,-0.19698889693458846,-0.7952872314747766,-0.0,-0.5612780593772628,-0.46358315230509295,0.0
2018-10-23,1.0,-0.20454820370146368,-0.7982339421797507,-0.0,-0.5583041006411033,-0.4629853634934076,0.0
2018-10-24,1.0,-0.20263332729359188,-0.7956151476716797,-0.0,-0.5583137041734614,-0.4633085703931872,0.0
2018-10-25,1.0,-0.16965118992067194,-0.7513707419505367,-0.0,-0.5640457302846477,-0.43140457302846474,0.0
2018-10-26,1.0,-0.16324759121553198,-0.7423106970284425,-0.0,-0.5624547900813056,-0.42542171812158214,0.0
2018-10-29,1.0,-0.14076187183033656,-0.7547256800368832,-0.0,-0.5536537574919318,-0.43237090825265095,0.0
2018-10-30,1.0,-0.12056553040159597,-0.7591291525717755,-0.0,-0.5585046404718536,-0.45306039841558965,0.0
2018-10-31,1.0,-0.13588911308009474,-0.7426967277831388,-0.0,-0.5801093663186829,-0.4655379126823991,0.0
2018-11-01,1.0,-0.12072892938496584,-0.7543367793937269,-0.0,-0.5794930202675077,-0.4658314350797267,0.0
2018-11-02,1.0,-0.13136236282979222,-0.7190929255194957,-0.0,-0.6020021013308429,-0.46605766985757646,0.0
2018-11-05,1.0,-0.12573467060440363,-0.7382087195532033,-0.0,-0.6057487061025176,-0.4543700108190298,0.0
