Date,IWF,IWM,MTUM,SPY,TACO,VLUE,VXX
2018-09-24,-0.4466776723070574,-1.2641766405282708,-0.0,-0.7796945934791581,1.0,-0.6366075113495667,0.0
2018-09-25,-0.4498989315622293,-1.2625304236623902,-0.0,-0.7785982426467555,1.0,-0.6342147601171568,0.0
2018-09-26,-0.4488793494861105,-1.262351921409997,-0.0,-0.7793371032319313,1.0,-0.6370991043051141,0.0
2018-09-27,-0.4708979233694063,-1.257092717168763,-0.0,-0.7977687711528015,1.0,-0.6525717628379226,0.0
2018-09-28,-0.4772765386550394,-1.2576723125943317,-0.0,-0.8016099278886467,1.0,-0.6559617642126445,0.0
2018-10-01,-0.4771812080536913,-1.2590184563758389,-0.0,-0.8017197986577181,1.0,-0.6567114093959732,0.0
2018-10-02,-0.4810992238305013,-1.2451017411369834,-0.0,-0.8070065030417453,1.0,-0.6623033354310888,0.0
2018-10-03,-0.4891806055473216,-1.272115181029007,-0.0,-0.8115181029006987,1.0,-0.6618251111581622,0.0
2018-10-04,-0.4914953033764915,-1.266861301514767,-0.0,-0.8139121604468139,1.0,-0.658923584666159,0.0
2018-10-05,-0.46366137566137566,-1.2595978835978836,-0.0,-0.8308571428571428,1.0,-0.6786878306878308,0.0
2018-10-08,-0.4602035215133218,-1.2552886036397415,-0.0,-0.8308491322889836,1.0,-0.6760967782797788,0.0
2018-10-09,-0.4576507346731971,-1.2553200472893093,-0.0,-0.8316585036311435,1.0,-0.6776304678263807,0.0
2018-10-10,-0.4638656173309639,-1.256156384869256,-0.0,-0.8372683422188373,1.0,-0.6739020055851739,0.0
2018-10-11,-0.3824428414231569,-1.2337694094632596,-0.0,-0.7974895056445368,1.0,-0.6617353384684354,0.0
2018-10-12,-0.3923058369512783,-1.2290159189580319,-0.0,-0.7708634828750603,1.0,-0.6277536581443962,0.0
2018-10-15,-0.3715441942463339,-1.245292090712397,-0.0,-0.7650052087507011,1.0,-0.6249298822020996,0.0
2018-10-16,-0.36876051598429616,-1.2494591779504847,-0.0,-0.7639612210560052,1.0,-0.623948401570387,0.0
2018-10-17,-0.3366529896825081,-1.203680834959965,-0.0,-0.7793092459068638,1.0,-0.6639445484603435,0.0
2018-10-18,-0.36218574693538336,-1.2735507999168916,-0.0,-0.8115936006648661,1.0,-0.7080822771660087,0.0
2018-10-19,-0.33626891590176133,-1.2625072355908378,-0.0,-0.8228727362937237,1.0,-0.7129744480277848,0.0
2018-10-22,-0.3391449426485923,-1.2486757038581857,-0.0,-0.8472575599582899,1.0,-0.7359332638164756,0.0
2018-10-23,-0.34214586547683584,-1.2486134856761602,-0.0,-0.8447520954088654,1.0,-0.7344981443642884,0.0
2018-10-24,-0.3426928565432721,-1.248006379585327,-0.0,-0.8565852430118358,1.0,-0.7498111306975573,0.0
2018-10-25,-0.2884083480010058,-1.219847456206521,-0.0,-0.940407342217752,1.0,-0.7421004106948286,0.0
2018-10-26,-0.25978220363546023,-1.2000745310753176,-0.0,-0.9512649579727548,1.0,-0.7294936027493686,0.0
2018-10-29,-0.23949337938975243,-1.2040875071963155,-0.0,-0.9403733859692408,1.0,-0.7282260054280779,0.0
2018-10-30,-0.23167022850567154,-1.2036823935558112,-0.0,-0.9402843991451586,1.0,-0.7341772151898733,0.0
2018-10-31,-0.2353802358682391,-1.1755185034566895,-0.0,-0.9322895485969906,1.0,-0.7234648230988207,0.0
2018-11-01,-0.21487435553931716,-1.1906385742702879,-0.0,-0.9307839077660051,1.0,-0.7232980148581172,0.0
2018-11-02,-0.21825284949051513,-1.1638809456683716,-0.0,-0.9308067179507834,1.0,-0.7146481936445285,0.0
2018-11-05,-0.2098460291734198,-1.2018233387358184,-0.0,-0.9415721231766613,1.0,-0.6986223662884927,0.0
2018-11-06,-0.21299258839253168,-1.203353448625005,-0.0,-0.9387226114778665,1.0,-0.6949900773561217,0.0
2018-11-07,-0.21518060527172145,-1.2078180930686626,-0.0,-0.94500488122356,1.0,-0.6996827204685975,0.0
2018-11-08,-0.16336915811757044,-1.2318840579710144,-0.0,-0.9463849535906205,1.0,-0.7293600390815829,0.0
2018-11-09,-0.16345801619927552,-1.2313484472302496,-0.0,-0.946273759615776,1.0,-0.7291302047295373,0.0
2018-11-12,-0.1646612554553983,-1.2076926214463435,-0.0,-0.9728759636170821,1.0,-0.7335318350532284,0.0
2018-11-13,-0.14462459062790606,-1.2036550357821536,-0.0,-0.9706869364816237,1.0,-0.7242146120567663,0.0
2018-11-14,-0.14532885960302383,-1.202894449609896,-0.0,-0.9705704006144641,1.0,-0.7237336782956704,0.0
2018-11-15,-0.1448704410689627,-1.2082284136138413,-0.0,-0.9745349687271546,1.0,-0.7338152871415807,0.0
2018-11-16,-0.1472716922826706,-1.2094819874766203,-0.0,-0.9749532406277954,1.0,-0.7342847849068879,0.0
2018-11-19,-0.14656960429460328,-1.2100126072634105,-0.0,-0.9756395136036439,1.0,-0.7346374395054699,0.0
2018-11-20,-0.11005363552042585,-1.200467798524015,-0.0,-0.9760051619147478,1.0,-0.7462193007218616,0.0
2018-11-21,-0.11149645220441678,-1.1902256238539424,-0.0,-0.9679103882643705,1.0,-0.716614844933429,0.0
2018-11-23,-0.11297703848143578,-1.1767280830912492,-0.0,-0.9723825062676589,1.0,-0.7173783278284055,0.0
2018-11-26,-0.11226884072380196,-1.1794790216742892,-0.0,-0.9701332272817657,1.0,-0.7150924637104792,0.0
2018-11-27,-0.09703237053765998,-1.1890724672134394,-0.0,-0.9664408257062482,1.0,-0.7095764491461627,0.0
2018-11-28,-0.09727780639537188,-1.190553552323969,-0.0,-0.9654079327970837,1.0,-0.7092364385624282,0.0
2018-11-29,-0.0686936497404473,-1.1707973927637485,-0.0,-0.9548417313922173,1.0,-0.7087155068108192,0.0
2018-11-30,-0.06809756097560976,-1.1710829268292684,-0.0,-0.955239024390244,1.0,-0.708019512195122,0.0
2018-12-03,-0.06483829438614286,-1.1726290328872937,-0.0,-0.9557991651386883,1.0,-0.7079545897866032,0.0
2018-12-04,-0.0531761776947913,-1.1790951880810674,-0.0,-0.9517641109425448,1.0,-0.7059166763916442,0.0
2018-12-06,-0.04084014002333722,-1.1001994956148604,-0.0,-0.9566002935973198,1.0,-0.6664282756803553,0.0
2018-12-07,-0.05521472392638036,-1.105582064682269,-0.0,-0.9644020298417025,1.0,-0.661819283496175,0.0
2018-12-10,-0.025111169238817684,-1.1084787563992378,-0.0,-0.9631553379918537,1.0,-0.6400358730989125,0.0
2018-12-11,-0.023249729002354877,-1.1093709116734571,-0.0,-0.9624341195379957,1.0,-0.6428437932194521,0.0
