Date,IOVA,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.5569200779727095,-2.9796296296296294,-0.4394736842105263,-1.975730994152047,-1.794834307992203,0.0
2018-09-25,1.0,-1.5568336907779294,-2.9809904464807953,-0.438487034509651,-1.97650614154806,-1.7956716708910119,0.0
2018-09-26,1.0,-1.566106359972476,-3.003538779121203,-0.42947016612601985,-2.000688095940234,-1.8302369016022804,0.0
2018-09-27,1.0,-1.5667749237279796,-3.010530459600433,-0.4278122232063773,-2.003542958370239,-1.832792048026769,0.0
2018-09-28,1.0,-1.564935064935065,-3.0099370326643053,-0.42906336088154273,-2.0025580480125935,-1.8321526957890595,0.0
2018-10-01,1.0,-1.587241653418124,-3.0327901430842608,-0.4304451510333863,-2.0312003179650238,-1.8547297297297298,0.0
2018-10-02,1.0,-1.5881009137862534,-3.0191696464044497,-0.4357369884783472,-2.0326777910210567,-1.8567739372268572,0.0
2018-10-03,1.0,-1.5857553814105745,-3.0047614323975798,-0.43388552722944157,-2.034024402341038,-1.861323281420494,0.0
2018-10-04,1.0,-1.5974091182968466,-3.0548302872062667,-0.43844145410725044,-2.0531231170917854,-1.8983731673026714,0.0
2018-10-05,1.0,-1.5626060061857727,-3.037713259503143,-0.3971864711164322,-2.0650503841165317,-1.9145964282151051,0.0
2018-10-08,1.0,-1.559134423613881,-3.032608695652174,-0.3846230554447547,-2.078879138412445,-1.916832867969685,0.0
2018-10-09,1.0,-1.5766489308302378,-3.054412207609678,-0.3998594518622628,-2.0884449352474648,-1.9197871699628553,0.0
2018-10-10,1.0,-1.582855994372425,-3.053964425685861,-0.4050849160888353,-2.093558436338056,-1.9137775097980103,0.0
2018-10-11,1.0,-1.4203467765111601,-3.024810805632723,-0.18967334035827188,-2.0235654756202703,-1.9210652361337293,0.0
2018-10-12,1.0,-1.41938202247191,-2.989325842696629,-0.16245318352059926,-1.952434456928839,-1.839700374531835,0.0
2018-10-15,1.0,-1.5588468397067563,-3.023182088369328,-0.2916584109371904,-2.079255002972063,-1.9539330295224884,0.0
2018-10-16,1.0,-1.6000403999596,-3.043328956671043,-0.3226946773053227,-2.13018886981113,-2.003635996364004,0.0
2018-10-17,1.0,-1.5376830107104253,-2.9159870295764962,-0.2651075955586126,-2.101012086076447,-2.0062886901837476,0.0
2018-10-18,1.0,-1.539331366764995,-2.9204523107177973,-0.26293018682399216,-2.102064896755162,-2.0080629301868242,0.0
2018-10-19,1.0,-1.51285069648813,-2.9099470276633315,-0.2193447125760251,-2.1357661369433,-2.031783402001177,0.0
2018-10-22,1.0,-1.5221660220172568,-2.961420212238421,-0.24218982445700685,-2.147079242289001,-2.0449271050282656,0.0
2018-10-23,1.0,-1.5238425696440965,-2.959551898483196,-0.24734807177555268,-2.1418657678199664,-2.041241201546545,0.0
2018-10-24,1.0,-1.5269520412207689,-2.954022988505747,-0.22849782005548952,-2.1488307570352756,-2.050435988902101,0.0
2018-10-25,1.0,-1.4109769898151643,-2.7864013579781215,-0.1825726141078838,-2.1250471520181065,-1.9253112033195023,0.0
2018-10-26,1.0,-1.3680652032972123,-2.739186811151246,-0.13568583865888673,-2.12670186162823,-1.8921922756321201,0.0
2018-10-29,1.0,-1.3364237194786122,-2.747292087387553,-0.10262529832935562,-2.104461171286947,-1.8885625114742062,0.0
2018-10-30,1.0,-1.331467889908257,-2.747431192660551,-0.09844036697247706,-2.1045871559633027,-1.8923853211009176,0.0
2018-10-31,1.0,-1.3301023643445964,-2.6837575867379293,-0.09874082797354833,-2.0825255910861493,-1.8635745991484733,0.0
2018-11-01,1.0,-1.3017007418129183,-2.7213678306495384,-0.06522525782522164,-2.087751040347386,-1.8703636692599963,0.0
2018-11-02,1.0,-1.3044917680744452,-2.6579277022190406,-0.05395490336435218,-2.085003579098067,-1.8464566929133857,0.0
2018-11-05,1.0,-1.2956256722839727,-2.6977411258515596,-0.05181068483327358,-2.0923269989243454,-1.8262818214413767,0.0
2018-11-06,1.0,-1.320194384449244,-2.7251619870410364,-0.04076673866090713,-2.0939524838012957,-1.8192044636429086,0.0
2018-11-07,1.0,-1.325296803652968,-2.7685844748858446,-0.059817351598173515,-2.1248401826484016,-1.8537899543378995,0.0
2018-11-08,1.0,-1.2719084932000362,-2.7694316851301446,-0.0033324326758533726,-2.1012339007475456,-1.8607583535981267,0.0
2018-11-09,1.0,-1.274031042933648,-2.792048652083144,-0.0029953707905963508,-2.1282563311246254,-1.8795497866932922,0.0
2018-11-12,1.0,-1.2661740854207966,-2.7591457920346008,-0.0,-2.122905027932961,-1.8624076410163994,0.0
2018-11-13,1.0,-1.202484245136542,-2.8159649283039543,-0.0,-2.200292264133711,-1.9146040734313636,0.0
2018-11-14,1.0,-1.2021558417831368,-2.81684479766146,-0.0,-2.2007856033616515,-1.915136567096008,0.0
