Date,IWF,IWM,MTUM,SPY,TITN,VLUE,VXX
2018-09-24,-0.8581594252480329,-1.9993157714676704,-0.1352035579883681,-1.4251111871365034,1.0,-1.4244269586041738,0.0
2018-09-25,-0.859333104159505,-2.0123753867308354,-0.12994156067377105,-1.4362323822619458,1.0,-1.4372636644895154,0.0
2018-09-26,-0.8640897755610973,-2.024799113327792,-0.12164034358548075,-1.4526184538653368,1.0,-1.4639789415350515,0.0
2018-09-27,-0.8653659886536599,-2.0163276601632765,-0.12356441123564411,-1.4509478345094782,1.0,-1.462155804621558,0.0
2018-09-28,-0.8622049968855976,-2.0199321752370407,-0.12506055782407086,-1.4511038826216347,1.0,-1.4626617759014464,0.0
2018-10-01,-0.8663201663201663,-2.0192654192654187,-0.12529452529452528,-1.4547470547470547,1.0,-1.4644490644490644,0.0
2018-10-02,-0.8667544345898005,-2.0160060975609753,-0.12749445676274945,-1.4544761640798227,1.0,-1.4643154101995564,0.0
2018-10-03,-0.8682767714622805,-1.998056770074259,-0.12485252272885002,-1.4666527864529113,1.0,-1.4822680269276147,0.0
2018-10-04,-0.868470473673228,-2.0061208875286916,-0.12617374973916673,-1.46664811852264,1.0,-1.48814078041316,0.0
2018-10-05,-0.8413956074506533,-2.0,-0.0922991381706978,-1.4947178204058937,1.0,-1.521823742007228,0.0
2018-10-08,-0.83789225215218,-1.9950013885031936,-0.0828936406553735,-1.5040266592613163,1.0,-1.5226326020549845,0.0
2018-10-09,-0.8352548965134047,-1.9970134740936243,-0.0750104181136269,-1.5088901236282817,1.0,-1.5292401722461453,0.0
2018-10-10,-0.835254096084421,-1.9961121910580395,-0.0748403221327409,-1.5089558455984449,1.0,-1.5273535129130797,0.0
2018-10-11,-0.7005201387036543,-1.9715924246465721,-0.0,-1.4585889570552146,1.0,-1.5377433982395305,0.0
2018-10-12,-0.7060795267827801,-1.9589221163325663,-0.0,-1.4165626026947091,1.0,-1.4908314163654288,0.0
2018-10-15,-0.6514454664914586,-2.0159658344283837,-0.0,-1.4078186596583442,1.0,-1.495072273324573,0.0
2018-10-16,-0.6407702961155445,-2.047615907142386,-0.0,-1.4098133614720043,1.0,-1.4968673745301064,0.0
2018-10-17,-0.59147771696638,-1.9723090956476412,-0.0,-1.4158848058378941,1.0,-1.5358352879854054,0.0
2018-10-18,-0.5921241361324815,-1.9752901290911464,-0.0,-1.4156343721476072,1.0,-1.536771417394706,0.0
2018-10-19,-0.5528513172373617,-1.9550132694672797,-0.0,-1.423457828985695,1.0,-1.5415237232183314,0.0
2018-10-22,-0.5536628019949479,-1.9385970593950386,-0.0,-1.4338363883671223,1.0,-1.5509424185504241,0.0
2018-10-23,-0.5830821648538854,-1.963897261171537,-0.0,-1.4414886646573188,1.0,-1.5637531123050714,0.0
2018-10-24,-0.5800630003937525,-1.9717810736317103,-0.0,-1.444415277595485,1.0,-1.5663472896705606,0.0
2018-10-25,-0.49476259173304904,-1.8608793828012296,-0.0,-1.4297810951514773,1.0,-1.4868594367433985,0.0
2018-10-26,-0.4531912241336325,-1.8434305659436552,-0.0,-1.4583021690351534,1.0,-1.4778733482921964,0.0
2018-10-29,-0.41919316916223237,-1.849523573815122,-0.0,-1.4401682960029698,1.0,-1.4784680113847295,0.0
2018-10-30,-0.395106844224218,-1.8529575720037161,-0.0,-1.4441003406627437,1.0,-1.5017033137194176,0.0
2018-10-31,-0.39836949859016796,-1.8108986146867723,-0.0,-1.4337378938335172,1.0,-1.486637244084835,0.0
2018-11-01,-0.38264432485322897,-1.8189212328767126,-0.0,-1.429855675146771,1.0,-1.4840998043052838,0.0
2018-11-02,-0.3882153249272551,-1.7673375363724542,-0.0,-1.436045101842871,1.0,-1.4704776915615907,0.0
2018-11-05,-0.3800473617098792,-1.7980448114639624,-0.0,-1.4412532637075717,1.0,-1.4526079300503978,0.0
2018-11-06,-0.38714181641573575,-1.8031811559009228,-0.0,-1.4360126274890723,1.0,-1.444572608062166,0.0
2018-11-07,-0.3853338994359193,-1.8032389155091892,-0.0,-1.4333110935888882,1.0,-1.4435009401346517,0.0
2018-11-08,-0.33832245704364483,-1.7962641441657188,-0.0,-1.4098066215649883,1.0,-1.442555229599473,0.0
2018-11-09,-0.34058492149107034,-1.7977346278317152,-0.0,-1.4104638619201726,1.0,-1.4442646530025172,0.0
2018-11-12,-0.3370070296675801,-1.7682592636721075,-0.0,-1.415822709400691,1.0,-1.4362564041463124,0.0
2018-11-13,-0.28248554231086986,-1.7646052165702821,-0.0,-1.421515401864747,1.0,-1.432491443408474,0.0
