Date,DOMO,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-27,1.0,-0.43271427152646735,-2.138941304995531,-0.5927102989373324,-3.1077564802860262,-2.659350481676433,0.0
2019-02-28,1.0,-0.4328995728618258,-2.1379755637230557,-0.5937220621833714,-3.1073805503129037,-2.661468163305851,0.0
2019-03-01,1.0,-0.42959356056841896,-2.137136042929544,-0.6099572692040147,-3.1109013216734573,-2.649905594753056,0.0
2019-03-04,1.0,-0.42206568111915865,-2.1245163210635973,-0.6121639051493203,-3.10824486556206,-2.654628435360651,0.0
2019-03-05,1.0,-0.4269573835480674,-2.112388503468781,-0.6033696729435084,-3.1197224975222992,-2.648463825569871,0.0
2019-03-06,1.0,-0.4090909090909091,-2.1549678197908286,-0.5899034593724859,-3.1840305711987127,-2.7184231697506034,0.0
2019-03-07,1.0,-0.42047952047952053,-2.0934065934065935,-0.6018981018981019,-3.187912087912088,-2.686313686313686,0.0
2019-03-08,1.0,-0.39461252387174595,-2.106844909036084,-0.624585385465876,-3.2148959694441657,-2.7103226454920093,0.0
2019-03-11,1.0,-0.39215883894376136,-2.109453739165491,-0.6265873815762951,-3.2301955250957466,-2.7202176980447486,0.0
2019-03-12,1.0,-0.36353546564423367,-2.080920189688225,-0.6607809504590859,-3.2476036726869135,-2.737059832509333,0.0
2019-03-13,1.0,-0.3649480375340531,-2.0852588033498134,-0.6591665825850065,-3.243870446978105,-2.7366562405408135,0.0
2019-03-14,1.0,-0.36103555958497024,-2.0855243275914175,-0.6583056311070817,-3.237735468923139,-2.7309358315704646,0.0
2019-03-15,1.0,-0.40331368842433,-2.263871900366952,-0.728677860558212,-3.634493494940509,-3.0894028688980324,0.0
2019-03-18,1.0,-0.3718020962470416,-2.288403020398963,-0.7172320522934745,-3.7262481686013746,-3.1664600473346103,0.0
2019-03-19,1.0,-0.3676089649735331,-2.284378871494538,-0.7180988850095732,-3.7278972857303754,-3.164432931636446,0.0
2019-03-20,1.0,-0.36999887298546147,-2.277358277921785,-0.7210639017243322,-3.7313197340245687,-3.1702918967654683,0.0
2019-03-21,1.0,-0.39431716082659485,-2.2602201257861636,-0.7236073674752921,-3.729335130278527,-3.123539982030548,0.0
