Date,COUP,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.6681013868962219,-1.0957784444154601,-0.3219860006086692,-0.7005782357288814,-0.5611495152384679,0.0
2018-09-25,1.0,-0.6690713137195254,-1.0942158098300814,-0.3239754899830516,-0.6992308026595975,-0.5592108122202424,0.0
2018-09-26,1.0,-0.6743719469644103,-1.1025819958129799,-0.3307309839497557,-0.7014567341242149,-0.5523813677599442,0.0
2018-09-27,1.0,-0.6766307900126367,-1.0952111203102532,-0.33273780992635843,-0.7010762996208986,-0.5518323238485338,0.0
2018-09-28,1.0,-0.674741841314104,-1.0962921005620672,-0.33323166746546995,-0.7008844930504118,-0.5519585203259116,0.0
2018-10-01,1.0,-0.6769284437273797,-1.0951031264989315,-0.33292635067370163,-0.7027863777089783,-0.5527405921597698,0.0
2018-10-02,1.0,-0.6783628299152431,-1.1342497035703307,-0.32330595933424094,-0.7033507531509376,-0.5522814105660709,0.0
2018-10-03,1.0,-0.6839055034507168,-1.1592638471067067,-0.32618120686604146,-0.7052734029375333,-0.5493717926030791,0.0
2018-10-04,1.0,-0.6885477949307737,-1.1512805768124919,-0.326978369531561,-0.7116379882337329,-0.544919715132481,0.0
2018-10-05,1.0,-0.6859653771418477,-1.153285638579756,-0.32070305599717364,-0.7125507860801978,-0.5436760289701466,0.0
2018-10-08,1.0,-0.6882915596492782,-1.1584004959702419,-0.3219378265875476,-0.7135329023115756,-0.5461429457089717,0.0
2018-10-09,1.0,-0.6945727482678984,-1.1620625333096464,-0.3318084917392077,-0.7116272872623912,-0.541126310179428,0.0
2018-10-10,1.0,-0.6942975243344148,-1.164362860571581,-0.3303702386772745,-0.7122094315302903,-0.5434463753944621,0.0
2018-10-11,1.0,-0.6602750422975142,-1.157086460457247,-0.2882304455338163,-0.6927682096221423,-0.539846427486877,0.0
2018-10-12,1.0,-0.670051413881748,-1.1508568980291347,-0.2856898029134533,-0.6685089974293059,-0.5093830334190231,0.0
2018-10-15,1.0,-0.6673087624673602,-1.15748469671675,-0.27969693078207264,-0.6679936646547664,-0.5081974230555198,0.0
2018-10-16,1.0,-0.6666523990925822,-1.159440140392929,-0.2781320892008732,-0.6679364807601763,-0.5081111158669691,0.0
2018-10-17,1.0,-0.6611654615057422,-1.1458953636750318,-0.27562739259889407,-0.6637175669927691,-0.5071033602722246,0.0
2018-10-18,1.0,-0.6614344053088309,-1.1465458567296238,-0.2752254551641994,-0.66351880210992,-0.5071039646077931,0.0
2018-10-19,1.0,-0.6566759800186267,-1.1438912877825755,-0.26797053594107184,-0.6627719922106511,-0.501989670646008,0.0
2018-10-22,1.0,-0.6548201745052138,-1.1622047244094489,-0.281464141306661,-0.6581825920408598,-0.4995530964034901,0.0
2018-10-23,1.0,-0.6697050477255139,-1.1746925788975837,-0.2983489551982113,-0.6542265027087453,-0.5026227534611747,0.0
2018-10-24,1.0,-0.6706620268935,-1.173862611161232,-0.2939811831421575,-0.6547665077114748,-0.502813936503845,0.0
2018-10-25,1.0,-0.6475671140939597,-1.135989932885906,-0.29316275167785233,-0.647231543624161,-0.4706795302013423,0.0
2018-10-26,1.0,-0.6356911312442857,-1.1234726955365306,-0.27927853046297063,-0.6537694289751476,-0.4637187266228909,0.0
2018-10-29,1.0,-0.635374262690039,-1.1278557780177785,-0.27556700174462073,-0.653443549057074,-0.46165988203040625,0.0
2018-10-30,1.0,-0.6336337583585995,-1.1279644473979316,-0.27445279727540806,-0.6536943971425011,-0.46355442953856374,0.0
2018-10-31,1.0,-0.6336020611702128,-1.1293633643617023,-0.2741855053191489,-0.6542553191489362,-0.46417885638297873,0.0
2018-11-01,1.0,-0.6457133316637449,-1.120544285833542,-0.28424743300776356,-0.657066533099591,-0.466399532515235,0.0
