Date,IWF,IWM,MTUM,PQG,SPY,VLUE,VXX
2018-09-24,-0.31156567004805125,-0.9281567004805126,-0.017418579818473036,1.0,-0.547116924719701,-0.5326681793913508,0.0
2018-09-25,-0.31404931104660866,-0.9262002468888667,-0.021185733827111065,1.0,-0.5453241250458747,-0.5295766189570614,0.0
2018-09-26,-0.31368884736034175,-0.9260495227924983,-0.020022692384702664,1.0,-0.5458853367149437,-0.5314689981979578,0.0
2018-09-27,-0.3142075591286653,-0.9241752009874238,-0.020582446542349135,1.0,-0.545685025185976,-0.5312406178069854,0.0
2018-09-28,-0.3100951870223891,-0.9349778790722616,-0.02165169593779327,1.0,-0.5496045046252849,-0.5352929347097466,0.0
2018-10-01,-0.30955182732071407,-0.9409945197189254,-0.02252630871129341,1.0,-0.5509531654506942,-0.5380761859933428,0.0
2018-10-02,-0.31452564837610875,-0.9160567940373006,-0.03217429429024316,1.0,-0.561161512259283,-0.5486830123773229,0.0
2018-10-03,-0.31465604536555725,-0.9044757982852898,-0.03017619658408155,1.0,-0.5675082697630459,-0.5585634240194423,0.0
2018-10-04,-0.3174533553763622,-0.8991868821485206,-0.03087148689227032,1.0,-0.5709706805222848,-0.5554168494213705,0.0
2018-10-05,-0.3252717391304348,-0.9146739130434783,-0.030298913043478263,1.0,-0.5725543478260869,-0.5539741847826087,0.0
2018-10-08,-0.32543470848960104,-0.9158540743266281,-0.022059324923286737,1.0,-0.5868735083532219,-0.5592226389362427,0.0
2018-10-09,-0.32483294695213416,-0.9162007363971089,-0.02055775262511932,1.0,-0.5875153416064366,-0.5601050047729441,0.0
2018-10-10,-0.3259468587379812,-0.9326601647310198,-0.013543784677947411,1.0,-0.5957886756039563,-0.5783161594927112,0.0
2018-10-11,-0.32217630853994494,-0.9413223140495868,-0.002444903581267218,1.0,-0.5983815426997245,-0.5792355371900827,0.0
2018-10-12,-0.33697544985829886,-0.9424317956772628,-0.0,1.0,-0.5794038310513197,-0.5556731655683409,0.0
2018-10-15,-0.3204210956663941,-0.9566639411283728,-0.0,1.0,-0.5751226492232215,-0.5546811120196239,0.0
2018-10-16,-0.31044510588798796,-0.9802935440829313,-0.0,1.0,-0.5756269458414589,-0.5548941120120429,0.0
2018-10-17,-0.29891672308733924,-0.959478672985782,-0.0,1.0,-0.5706161137440758,-0.5562288422477997,0.0
