Date,EQT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5528758494944472,-1.0379578982264213,-0.07086026852312283,-0.7731228244654401,-0.7090585115199735,0.0
2018-09-25,1.0,-0.5515232229066089,-1.0466539037789246,-0.06471616447477943,-0.7805893124687865,-0.7182869985017479,0.0
2018-09-26,1.0,-0.5523599433946558,-1.0476567052359942,-0.06655290102389079,-0.7801548322650462,-0.7154332806126695,0.0
2018-09-27,1.0,-0.5530334992827609,-1.083326301577926,-0.061555986836553875,-0.7930976288920766,-0.7280820183950721,0.0
2018-09-28,1.0,-0.5534599156118144,-1.0827848101265825,-0.06202531645569621,-0.7930379746835444,-0.7281012658227848,0.0
2018-10-01,1.0,-0.5556728455009923,-1.081450829709074,-0.06185871722332474,-0.7947895114639193,-0.7286239074441582,0.0
2018-10-02,1.0,-0.5562919498501415,-1.0740005909915995,-0.06488243488538985,-0.7960234708092363,-0.7302123348389548,0.0
2018-10-03,1.0,-0.5560011820829992,-1.062101574703424,-0.06315700595263224,-0.8013678388989741,-0.7390551779457086,0.0
2018-10-04,1.0,-0.5589873417721519,-1.0559915611814346,-0.06405063291139242,-0.8050632911392406,-0.7353586497890295,0.0
2018-10-05,1.0,-0.5425599123952323,-1.0494461525502254,-0.044055089921239944,-0.821547403445226,-0.7541591205829087,0.0
2018-10-08,1.0,-0.5420588359431056,-1.0491706411176296,-0.03545350947537247,-0.8353522137340144,-0.7586206896551725,0.0
2018-10-09,1.0,-0.5385625344119267,-1.055143788911948,-0.020964804540256662,-0.8471475159883106,-0.7734530515437721,0.0
2018-10-10,1.0,-0.5440346335045201,-1.0547090530962182,-0.025508255167437714,-0.8520011884045668,-0.7680488943593226,0.0
2018-10-11,1.0,-0.4614778896763231,-1.055120394545982,-0.0,-0.835011811513117,-0.7927390277259729,0.0
2018-10-12,1.0,-0.47458461538461544,-1.0511589743589744,-0.0,-0.8121846153846154,-0.7646358974358974,0.0
