Date,IWF,IWM,MTUM,NZF,SPY,VLUE,VXX
2018-09-24,-0.10103473274896196,-0.23574770974757794,-0.0,1.0,-0.1736802214459896,-0.13720094905424107,0.0
2018-09-25,-0.10211006605280931,-0.23528636610716697,-0.0,1.0,-0.17335156237131233,-0.13645423248612232,0.0
2018-09-26,-0.10236687365144204,-0.23548498674089574,-0.0,1.0,-0.17330719944657652,-0.13591817238482698,0.0
2018-09-27,-0.1020700794409467,-0.23654283548142535,-0.0,1.0,-0.17343507927613147,-0.13608794541319183,0.0
2018-09-28,-0.10320877670543596,-0.23624515383980862,-0.0,1.0,-0.17386785449146253,-0.13643487585581127,0.0
2018-10-01,-0.10295234635580067,-0.2373930847726297,-0.0,1.0,-0.1739539645322149,-0.13688451504243584,0.0
2018-10-02,-0.10449807555709731,-0.23187472124485853,-0.0,1.0,-0.17623932471050763,-0.1392536795678676,0.0
2018-10-03,-0.10439823608106101,-0.23063074966554908,-0.0,1.0,-0.17660660313475482,-0.139990420664938,0.0
2018-10-04,-0.10888252148997135,-0.2266425956904119,-0.0,1.0,-0.18306639945674677,-0.1376683174056346,0.0
2018-10-05,-0.11138560509342928,-0.22948618042544724,-0.0,1.0,-0.18196740337903933,-0.13517815396349045,0.0
2018-10-08,-0.1151223761580085,-0.2369289531435847,-0.0,1.0,-0.1839244132477845,-0.13926256009917412,0.0
2018-10-09,-0.12306186836732974,-0.24183833577972366,-0.0,1.0,-0.18494710735435543,-0.13731841878827758,0.0
2018-10-10,-0.12348656031837038,-0.24134093285218036,-0.0,1.0,-0.18506964351961147,-0.1363866311422886,0.0
2018-10-11,-0.08937944567083639,-0.23379936227618345,-0.0,1.0,-0.17189109639440764,-0.14013572070967215,0.0
2018-10-12,-0.09206773762144918,-0.22807469829044683,-0.0,1.0,-0.16212558206983227,-0.12899795369221598,0.0
2018-10-15,-0.09234904946638121,-0.22706566006149093,-0.0,1.0,-0.1619046085990696,-0.12839045120164835,0.0
2018-10-16,-0.09492793344726405,-0.22427691613194467,-0.0,1.0,-0.16327024151162414,-0.12973591719601457,0.0
2018-10-17,-0.08979676482787226,-0.2137159812398303,-0.0,1.0,-0.16104074274957728,-0.13069903965797786,0.0
2018-10-18,-0.09012991987742203,-0.21465508985858844,-0.0,1.0,-0.16050052670220577,-0.13078175375873846,0.0
2018-10-19,-0.08697926574091688,-0.21079830067846045,-0.0,1.0,-0.15896265297064233,-0.1284477839071714,0.0
