Date,IWF,IWM,MTUM,SPY,SVM,VLUE,VXX
2018-09-24,-0.7551785914231329,-1.4552121822864181,-0.0,-1.2461090583361325,1.0,-1.1419773821520547,0.0
2018-09-25,-0.7555418719211824,-1.454769368562472,-0.0,-1.245857590685177,1.0,-1.1416815942678011,0.0
2018-09-26,-0.759991031892831,-1.4600638977635783,-0.0,-1.2475197578611064,1.0,-1.1374362423630962,0.0
2018-09-27,-0.7603329022099758,-1.4707304729235788,-0.0,-1.2511387279986503,1.0,-1.1411460383512344,0.0
2018-09-28,-0.7584078813271431,-1.4913939531196918,-0.0,-1.2610123428830258,1.0,-1.1510587702411958,0.0
2018-10-01,-0.7599045074745637,-1.5020746887966805,-0.0,-1.2652759620303529,1.0,-1.1568237367134655,0.0
2018-10-02,-0.7598427440031907,-1.5189447894706853,-0.0,-1.263745655518204,1.0,-1.1552048316335253,0.0
2018-10-03,-0.7614485315084117,-1.5230111206159112,-0.0,-1.2638152266894782,1.0,-1.1546050755631594,0.0
2018-10-04,-0.7679895084958376,-1.5131713992473486,-0.0,-1.2718097844680123,1.0,-1.1488767248260918,0.0
2018-10-05,-0.7325780981805698,-1.5052637601556242,-0.0,-1.300835335850784,1.0,-1.182801235839341,0.0
2018-10-08,-0.7309253014802538,-1.5030005143738927,-0.0,-1.3000514373892669,1.0,-1.1813453734925987,0.0
2018-10-09,-0.724745565571387,-1.5321314335562666,-0.0,-1.3356208200058157,1.0,-1.223146263448677,0.0
2018-10-10,-0.7272620515530503,-1.5529328870882508,-0.0,-1.3473078503904645,1.0,-1.2441430332922319,0.0
2018-10-11,-0.5843566021867115,-1.5040089711241937,-0.0,-1.2824782730585926,1.0,-1.2361087748808521,0.0
2018-10-12,-0.6375682438580528,-1.5482256596906279,-0.0,-1.280368516833485,1.0,-1.2208257506824387,0.0
2018-10-15,-0.5911953253531513,-1.5897770465762748,-0.0,-1.2710614398366142,1.0,-1.2210812957394903,0.0
2018-10-16,-0.5935974571461006,-1.5877511635826993,-0.0,-1.2723351118174593,1.0,-1.222329435804291,0.0
2018-10-17,-0.5466969126922651,-1.501217218103353,-0.0,-1.2544539116963593,1.0,-1.2304968462985502,0.0
2018-10-18,-0.5467525973665203,-1.502750152786266,-0.0,-1.2682926829268293,1.0,-1.2380132229568308,0.0
2018-10-19,-0.5124284046043486,-1.4933548351220598,-0.0,-1.2964466440527165,1.0,-1.2586331535338933,0.0
2018-10-22,-0.5125000000000001,-1.4833333333333334,-0.0,-1.2988333333333333,1.0,-1.260888888888889,0.0
2018-10-23,-0.5194530902623389,-1.4847710093374833,-0.0,-1.2947976878612717,1.0,-1.2590595820364607,0.0
2018-10-24,-0.5155755455605531,-1.4774279526903213,-0.0,-1.296573935254595,1.0,-1.2632017324670999,0.0
2018-10-25,-0.4389118676423799,-1.3717785555202036,-0.0,-1.3004030119843037,1.0,-1.191695832007636,0.0
2018-10-26,-0.399568489185918,-1.3545229700573593,-0.0,-1.3262116507919803,1.0,-1.1820238909645844,0.0
2018-10-29,-0.3525418377012946,-1.3880117882328176,-0.0,-1.3159667403431219,1.0,-1.2060309441111463,0.0
2018-10-30,-0.33752433058025144,-1.3882371508232942,-0.0,-1.316534273238992,1.0,-1.218317639013099,0.0
2018-10-31,-0.3626648234793705,-1.3650042535091451,-0.0,-1.3505423224159934,1.0,-1.2386750319013187,0.0
2018-11-01,-0.3108464895737917,-1.4392478042998007,-0.0,-1.3742119726278355,1.0,-1.263861199418072,0.0
2018-11-02,-0.3172653660127167,-1.4618770718982665,-0.0,-1.3797619694581815,1.0,-1.2755828487582197,0.0
2018-11-05,-0.3208122380096903,-1.4579454515760248,-0.0,-1.3818934073711144,1.0,-1.283248952038761,0.0
2018-11-06,-0.3237934599270907,-1.4589477120626801,-0.0,-1.378856303389738,1.0,-1.2794493715653734,0.0
2018-11-07,-0.32611800900999893,-1.4802219536314691,-0.0,-1.3924843423799584,1.0,-1.2950774640149434,0.0
2018-11-08,-0.2577245641138821,-1.5183182520414917,-0.0,-1.4001875965570514,1.0,-1.3413153829176783,0.0
2018-11-09,-0.2570750813703316,-1.517901472940917,-0.0,-1.401004027141833,1.0,-1.3407072323054008,0.0
2018-11-12,-0.2589745008020355,-1.4881907185131922,-0.0,-1.4361966922949276,1.0,-1.3479174733115769,0.0
2018-11-13,-0.21288988079037613,-1.469272222524631,-0.0,-1.4287191769636927,1.0,-1.3324805399814925,0.0
2018-11-14,-0.21305709732373468,-1.4887618838270045,-0.0,-1.444743639061384,1.0,-1.3487937572127273,0.0
2018-11-15,-0.22164832697058165,-1.5218953514484617,-0.0,-1.473613294408264,1.0,-1.3970918481922299,0.0
2018-11-16,-0.22064335664335666,-1.5113846153846155,-0.0,-1.4671328671328672,1.0,-1.3951888111888113,0.0
2018-11-19,-0.21517776777677766,-1.5236273627362737,-0.0,-1.481210621062106,1.0,-1.4054905490549054,0.0
2018-11-20,-0.13534756675399967,-1.5054350855677576,-0.0,-1.4892134455655277,1.0,-1.4444506382741515,0.0
2018-11-21,-0.1411932754642347,-1.485770794418196,-0.0,-1.4773651247115702,1.0,-1.3896275134600595,0.0
2018-11-23,-0.1425047958344752,-1.4704302548643464,-0.0,-1.4795834475198686,1.0,-1.3884351877226637,0.0
2018-11-26,-0.14442734666959772,-1.4702132336777312,-0.0,-1.486315673774456,1.0,-1.3947570894702133,0.0
2018-11-27,-0.12091845162711305,-1.4966136225978746,-0.0,-1.491933263586807,1.0,-1.3968393810913498,0.0
2018-11-28,-0.12389136781799151,-1.4890651682917424,-0.0,-1.4961163444058834,1.0,-1.3996584586569711,0.0
2018-11-29,-0.0860180238519238,-1.4523770978360584,-0.0,-1.4700771679887754,1.0,-1.3878905617613726,0.0
2018-11-30,-0.08518558480794129,-1.4524169184290032,-0.0,-1.4706517047906777,1.0,-1.3866529995684074,0.0
2018-12-03,-0.0820670330854618,-1.4520961310486045,-0.0,-1.469285483349499,1.0,-1.3850091604698782,0.0
2018-12-04,-0.07659231389411449,-1.4508465466272509,-0.0,-1.465520021499597,1.0,-1.381940338618651,0.0
2018-12-06,-0.05478395061728395,-1.325925925925926,-0.0,-1.4448559670781895,1.0,-1.3185185185185186,0.0
2018-12-07,-0.06020686461174291,-1.3258889517830494,-0.0,-1.4457366335614674,1.0,-1.3141048731539133,0.0
2018-12-10,-0.0,-1.3751682020494773,-0.0,-1.4928578822068108,1.0,-1.3074215919677052,0.0
2018-12-11,-0.0,-1.3747024117586173,-0.0,-1.4968947313942655,1.0,-1.3037987785943483,0.0
2018-12-12,-0.0,-1.3891209020672375,-0.0,-1.5080392566297767,1.0,-1.3231363541449155,0.0
2018-12-13,-0.0,-1.3989202788406103,-0.0,-1.511557209497353,1.0,-1.3308349494208294,0.0
2018-12-14,-0.016244141457179378,-1.3693544951001277,-0.0,-1.5812207072858968,1.0,-1.3591286749041327,0.0
2018-12-17,-0.0013240824108892537,-1.3633811768444466,-0.0,-1.567501721307134,1.0,-1.3641756262909803,0.0
2018-12-18,-0.0,-1.33237372415598,-0.0,-1.5460350693535725,1.0,-1.3558230829625753,0.0
2018-12-19,-0.0,-1.334433962264151,-0.0,-1.5481656184486372,1.0,-1.3584905660377358,0.0
2018-12-20,-0.0,-1.3200145863721608,-0.0,-1.540946030423005,1.0,-1.3484580120858514,0.0
2018-12-21,-0.0,-1.4227593372341008,-0.0,-1.6743041504894187,1.0,-1.3713020178268716,0.0
2018-12-24,-0.0,-1.3757019438444924,-0.0,-1.644816414686825,1.0,-1.3790496760259179,0.0
2018-12-26,-0.0,-1.441917405734806,-0.0,-1.6226671744926273,1.0,-1.3764078567930789,0.0
2018-12-27,-0.0,-1.3566444490731098,-0.0,-1.457300562382837,1.0,-1.3932514059570924,0.0
2018-12-28,-0.0,-1.3611631294215565,-0.0,-1.4532355389096963,1.0,-1.3874323761964213,0.0
2018-12-31,-0.0,-1.363948587188427,-0.0,-1.4528282250091065,1.0,-1.386949055523755,0.0
2019-01-02,-0.0,-1.3605110095554631,-0.0,-1.4471333610303283,1.0,-1.3855421686746987,0.0
2019-01-03,-0.0,-1.3714972814721875,-0.0,-1.4440610623170222,1.0,-1.412379757423672,0.0
2019-01-04,-0.0,-1.415653736391502,-0.0,-1.4127999154423423,1.0,-1.4563471091850755,0.0
2019-01-07,-0.0,-1.3749144691825887,-0.0,-1.441444286541397,1.0,-1.4470761619032582,0.0
2019-01-08,-0.0,-1.3460892388451442,-0.0,-1.460997375328084,1.0,-1.442257217847769,0.0
2019-01-09,-0.0,-1.3456673489739148,-0.0,-1.4606623628824855,1.0,-1.4421875820080827,0.0
2019-01-10,-0.0,-1.3401542578309458,-0.0,-1.4667611102366336,1.0,-1.4399496300960177,0.0
