Date,IWF,IWM,MOR,MTUM,SPY,VLUE,VXX
2018-12-17,-0.11150608044901777,-1.5304646086685376,1.0,-0.0,-2.0623635796694733,-1.5319613345806051,0.0
2018-12-18,-0.07542653737572112,-1.4983429483245365,1.0,-0.0,-2.0405057076224375,-1.5228918620351048,0.0
2018-12-19,-0.06357599606492867,-1.5038121003443186,1.0,-0.0,-2.05183226758485,-1.5293285784554844,0.0
2018-12-20,-0.06000243664717349,-1.4636939571150096,1.0,-0.0,-2.063840155945419,-1.5040813840155944,0.0
2018-12-21,-0.043441585828764236,-1.471530999578237,1.0,-0.0,-2.074290534433934,-1.4359221546062542,0.0
2018-12-24,-0.0,-1.4007938894569074,1.0,-0.0,-2.0730137727792144,-1.5405064052444817,0.0
2018-12-26,-0.0,-1.4370400894801907,1.0,-0.0,-1.9743333137104846,-1.4754812503679284,0.0
2018-12-27,-0.0,-1.356998767230752,1.0,-0.0,-1.6965146251260785,-1.5499831895102545,0.0
2018-12-28,-0.0,-1.3768400943926284,1.0,-0.0,-1.697831216990673,-1.5439937071581076,0.0
2018-12-31,-0.0,-1.3813726041256815,1.0,-0.0,-1.6966443707492551,-1.5428587488055758,0.0
2019-01-02,-0.0,-1.3777628183552115,1.0,-0.0,-1.6872545719735217,-1.5447660720296197,0.0
2019-01-03,-0.0,-1.3758543417366949,1.0,-0.0,-1.6978711484593838,-1.5285154061624653,0.0
2019-01-04,-0.0,-1.3834088147575387,1.0,-0.0,-1.6183033248646856,-1.5212636695018227,0.0
2019-01-07,-0.0,-1.3074764375728054,1.0,-0.0,-1.5617918034522926,-1.425659218468707,0.0
2019-01-08,-0.0,-1.3169073916737468,1.0,-0.0,-1.5611724723874256,-1.4320836873406968,0.0
2019-01-09,-0.0,-1.2980672491395289,1.0,-0.0,-1.557426528991263,-1.4397140587768071,0.0
2019-01-10,-0.0,-1.2924687962767083,1.0,-0.0,-1.5609265919187647,-1.4353712714195048,0.0
2019-01-11,-0.0,-1.2883012054590834,1.0,-0.0,-1.5732568636822262,-1.448887472784239,0.0
2019-01-14,-0.0,-1.2863295581432446,1.0,-0.0,-1.5706917637050035,-1.460094645610677,0.0
2019-01-15,-0.0,-1.2823223201954743,1.0,-0.0,-1.5696377350472748,-1.459842770636354,0.0
2019-01-16,-0.0,-1.2829265698941883,1.0,-0.0,-1.5763279629925029,-1.4579146062636252,0.0
2019-01-17,-0.0,-1.2697939406847345,1.0,-0.0,-1.5880943506735532,-1.4666950641605876,0.0
2019-01-18,-0.0,-1.264188180072541,1.0,-0.0,-1.59798378493706,-1.471730317900576,0.0
2019-01-22,-0.0,-1.2894372202089106,1.0,-0.0,-1.599925389042848,-1.4399381794926454,0.0
2019-01-23,-0.0,-1.2803857835562424,1.0,-0.0,-1.6213566366494379,-1.4267064528161133,0.0
2019-01-24,-0.0,-1.2808653487504662,1.0,-0.0,-1.620663931368892,-1.426919592902435,0.0
2019-01-25,-0.0,-1.275078830634386,1.0,-0.0,-1.6620704398482176,-1.4073005184116296,0.0
2019-01-28,-0.0,-1.2716497597437266,1.0,-0.0,-1.6627335824879872,-1.4046449546182596,0.0
2019-01-29,-0.0,-1.275470071655622,1.0,-0.0,-1.6972684661386779,-1.414848337912828,0.0
2019-01-30,-0.0,-1.2767149862585545,1.0,-0.0,-1.6981193080778143,-1.4139677749636255,0.0
2019-01-31,-0.0,-1.3784860557768923,1.0,-0.0,-1.7405671431919383,-1.7398640731192876,0.0
2019-02-01,-0.0,-1.3911961609100065,1.0,-0.0,-1.7726168611884592,-1.760649327566799,0.0
2019-02-04,-0.0,-1.3912321290858398,1.0,-0.0,-1.7720234917245061,-1.7689980423562912,0.0
2019-02-05,-0.0,-1.3738295602702382,1.0,-0.0,-1.7676899371814625,-1.7846983524949624,0.0
2019-02-06,-0.0,-1.3746889441877,1.0,-0.0,-1.7643085673658014,-1.7858751036852707,0.0
2019-02-07,-0.0,-1.3766518518518518,1.0,-0.0,-1.7678814814814812,-1.7813925925925924,0.0
2019-02-08,-0.0,-1.386068476977568,1.0,-0.0,-1.7695395513577334,-1.7475796930342387,0.0
