Date,AGX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0478356455158822,-2.157076794784323,-0.16230763399287393,-1.6758395875976044,-1.5378667273140778,0.0
2018-09-25,1.0,-1.048409090909091,-2.154318181818182,-0.16446969696969696,-1.6735606060606059,-1.535,0.0
2018-09-26,1.0,-1.048412758542314,-2.1545571634214715,-0.16417910447761194,-1.6738389271914538,-1.535419349950754,0.0
2018-09-27,1.0,-1.0503667851470924,-2.14134462678666,-0.16698177418135068,-1.671254632080466,-1.5326325342206764,0.0
2018-09-28,1.0,-1.0480151228733459,-2.142457466918714,-0.16809073724007562,-1.6704725897920605,-1.5323251417769375,0.0
2018-10-01,1.0,-1.0480907372400756,-2.1421550094517956,-0.16884688090737238,-1.6701701323251417,-1.5321739130434782,0.0
2018-10-02,1.0,-1.0483248884519398,-2.143764652499433,-0.16993118051879302,-1.6691371095817893,-1.5314981471678137,0.0
2018-10-03,1.0,-1.0467557972656545,-2.1327894856106955,-0.1692726036709721,-1.6699146461213081,-1.5347835939270338,0.0
2018-10-04,1.0,-1.0490307007618618,-2.12302934298861,-0.17055140680395264,-1.6718714641321568,-1.5287018179075207,0.0
2018-10-05,1.0,-1.0206829121540313,-2.113041516245487,-0.134852587244284,-1.6960740072202165,-1.5563327316486162,0.0
2018-10-08,1.0,-1.0143092598142045,-2.10256218160024,-0.126835480970932,-1.6968834282289484,-1.5512436320047949,0.0
2018-10-09,1.0,-1.0116191904047975,-2.105097451274363,-0.11829085457271364,-1.7025487256371814,-1.5586956521739133,0.0
2018-10-10,1.0,-1.0208349003384731,-2.108687476494923,-0.12463332079729221,-1.7120722075968406,-1.5554719819481007,0.0
2018-10-11,1.0,-0.8771581808831092,-2.1390052163691133,-0.0,-1.7061200499595914,-1.6247887737859084,0.0
2018-10-12,1.0,-0.881677736066994,-2.1174559630378287,-0.0,-1.655356627201848,-1.5646116084319954,0.0
2018-10-15,1.0,-0.8175808209226298,-2.2084271703596077,-0.0,-1.656883399927352,-1.58191064293498,0.0
2018-10-16,1.0,-0.8079924159556625,-2.2399183256763653,-0.0,-1.6597389338583826,-1.5847735725224241,0.0
2018-10-17,1.0,-0.7443326721450836,-2.129852649475772,-0.0,-1.628010767922924,-1.5819637291017286,0.0
2018-10-18,1.0,-0.7432317505315379,-2.127639971651311,-0.0,-1.6326718639262934,-1.5835577604535789,0.0
2018-10-19,1.0,-0.6992923702094864,-2.0974567364954813,-0.0,-1.6321726336439433,-1.5773138092902683,0.0
2018-10-22,1.0,-0.7000350017500875,-2.0908645432271613,-0.0,-1.6321316065803289,-1.5773888694434721,0.0
2018-10-23,1.0,-0.7119702497895032,-2.0968285152960986,-0.0,-1.6297361773786134,-1.578024136963233,0.0
2018-10-24,1.0,-0.7090181205225452,-2.091234723978087,-0.0,-1.6358336845062509,-1.587371821885096,0.0
2018-10-25,1.0,-0.619606228990876,-2.0080949440900047,-0.0,-1.6932153392330382,-1.5392741990807435,0.0
2018-10-26,1.0,-0.5729462714846393,-1.9739477601840576,-0.0,-1.703748815807281,-1.5161050209771283,0.0
2018-10-29,1.0,-0.5218503804457613,-1.9982492761430208,-0.0,-1.6841963504141135,-1.529257289071443,0.0
2018-10-30,1.0,-0.505282282484355,-1.9977121324271583,-0.0,-1.684139694502389,-1.5418881636498218,0.0
2018-10-31,1.0,-0.504739807756049,-1.9447132913490222,-0.0,-1.6629764666887636,-1.5166721909181304,0.0
2018-11-01,1.0,-0.4579551521623065,-2.0048718633208757,-0.0,-1.677122263747998,-1.5338360918312868,0.0
2018-11-02,1.0,-0.4766442326914106,-1.939828080229226,-0.0,-1.7138668621310054,-1.5332178316785499,0.0
2018-11-05,1.0,-0.4688021354688022,-1.9695028361695026,-0.0,-1.7187854521187853,-1.5163163163163162,0.0
2018-11-06,1.0,-0.47352274243030545,-1.9718554088301987,-0.0,-1.7140189409096973,-1.509937308256636,0.0
2018-11-07,1.0,-0.4712345185777067,-1.9697696098015716,-0.0,-1.710347582900519,-1.5073245438806764,0.0
2018-11-08,1.0,-0.4033701948393892,-1.9728146392838335,-0.0,-1.6882569773565033,-1.5180358083201684,0.0
2018-11-09,1.0,-0.403851244044468,-1.9837877183695076,-0.0,-1.702620434092112,-1.5270645844362096,0.0
2018-11-12,1.0,-0.39891033215176575,-1.9558881449389522,-0.0,-1.6962058553236183,-1.5132598135748982,0.0
2018-11-13,1.0,-0.34150906861163105,-1.9357774478796874,-0.0,-1.685535403085264,-1.4917059317110952,0.0
2018-11-14,1.0,-0.3444889520609898,-1.9359090321746997,-0.0,-1.6878795710040055,-1.4925054916655898,0.0
2018-11-15,1.0,-0.34089152280340124,-1.934230868332904,-0.0,-1.688675599072404,-1.4778407626900285,0.0
2018-11-16,1.0,-0.3333333333333333,-1.9123582548529692,-0.0,-1.6802485745403293,-1.4806842206419373,0.0
2018-11-19,1.0,-0.33628035107950544,-1.91152540201166,-0.0,-1.6787110000640655,-1.4800435646101608,0.0
