Date,FOE,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.28037759935499046,-0.9417475728155341,-0.0,-0.5596801827527127,-0.5776195115396244,0.0
2018-09-25,1.0,-0.2785759951546149,-0.9441771257444732,-0.0,-0.5616272418318248,-0.5805040546451765,0.0
2018-09-26,1.0,-0.28019925280199254,-0.9458113156743294,-0.0,-0.5617784658880549,-0.5779677560499479,0.0
2018-09-27,1.0,-0.28269715823104086,-0.9404069278627879,-0.0,-0.5620312762737514,-0.5779384563645535,0.0
2018-09-28,1.0,-0.2819478073715362,-0.9410478880817864,-0.0,-0.5619787463007802,-0.5779862792574657,0.0
2018-10-01,1.0,-0.2839880170991955,-0.9398835369753272,-0.0,-0.563667575482177,-0.5784442424854421,0.0
2018-10-02,1.0,-0.28613738094436775,-0.9319826338639653,-0.0,-0.5662841180628008,-0.581159761720459,0.0
2018-10-03,1.0,-0.2862960220771354,-0.9314464562159251,-0.0,-0.5663660227502187,-0.5813084741199435,0.0
2018-10-04,1.0,-0.2883379864778499,-0.9276800430556023,-0.0,-0.568569410340072,-0.5791651249621582,0.0
2018-10-05,1.0,-0.2719962474033371,-0.9215975340079073,-0.0,-0.5719024324867654,-0.5850365208068082,0.0
2018-10-08,1.0,-0.26949192226644814,-0.9188881827608122,-0.0,-0.5726996019667525,-0.5837374987456936,0.0
2018-10-09,1.0,-0.2691484380226102,-0.9191250250852899,-0.0,-0.5726804468526323,-0.5837514214997658,0.0
2018-10-10,1.0,-0.2679453352276571,-0.934645829104932,-0.0,-0.5794262905080847,-0.6007036059806508,0.0
2018-10-11,1.0,-0.23701580105340353,-0.9322288152543502,-0.0,-0.56633775585039,-0.5979731982132142,0.0
2018-10-12,1.0,-0.22868932201684053,-0.944345667415881,-0.0,-0.5748263947130061,-0.6067966050521655,0.0
2018-10-15,1.0,-0.1774237380256811,-1.0190230314559414,-0.0,-0.5779264895713024,-0.622596643793736,0.0
2018-10-16,1.0,-0.18524701873935265,-1.0120272572402045,-0.0,-0.5826916524701874,-0.6271550255536628,0.0
2018-10-17,1.0,-0.1633468811931074,-0.9754459037318196,-0.0,-0.580732928017198,-0.6394477847569784,0.0
2018-10-18,1.0,-0.16299455901121782,-0.9751796869752133,-0.0,-0.5810438637737623,-0.639450527305703,0.0
2018-10-19,1.0,-0.15292188232144052,-0.9751322042974764,-0.0,-0.580259722873017,-0.6386304304170293,0.0
2018-10-22,1.0,-0.15469446585995375,-0.9808266014145409,-0.0,-0.5789897093822277,-0.6374819830389167,0.0
2018-10-23,1.0,-0.16035552574207612,-0.9819218514170719,-0.0,-0.5756833808485661,-0.6360556766728157,0.0
