Date,IWF,IWM,MTUM,POOL,SPY,VLUE,VXX
2018-09-24,-0.3452332420942286,-0.7443946188340806,-0.027721157766000818,1.0,-0.43497757847533636,-0.3595888416516219,0.0
2018-09-25,-0.3444425005831584,-0.7465593655236762,-0.025629811056682994,1.0,-0.4369314205738279,-0.36219967343130394,0.0
2018-09-26,-0.34532038381894015,-0.7477469594890191,-0.027473969726135267,1.0,-0.4365794616035232,-0.3594073555574999,0.0
2018-09-27,-0.34471278801506877,-0.7513068364337236,-0.026779195748036094,1.0,-0.43728645270566247,-0.36019040387816487,0.0
2018-09-28,-0.3422752111276701,-0.754039917010023,-0.02743929166301394,1.0,-0.43762601911107213,-0.3608018468192046,0.0
2018-10-01,-0.34174513129422773,-0.755512018246681,-0.027837885256447748,1.0,-0.43762793145797996,-0.3614246447160653,0.0
2018-10-02,-0.34252382901584705,-0.7473539559090112,-0.030875387404245367,1.0,-0.4394479854979241,-0.3636044675749956,0.0
2018-10-03,-0.34367583721543465,-0.7543289092027776,-0.03190647798189329,1.0,-0.43872139697049606,-0.3612844628050746,0.0
2018-10-04,-0.35328230791875187,-0.7473947600824257,-0.032499264056520455,1.0,-0.4527818663526641,-0.3578451574919046,0.0
2018-10-05,-0.3565381552166603,-0.7545500132739449,-0.030205598654906938,1.0,-0.45296598920385833,-0.3555057372938852,0.0
2018-10-08,-0.3555922118471825,-0.7529529588500398,-0.028513358272703168,1.0,-0.4537983445756871,-0.35470853338831776,0.0
2018-10-09,-0.3572354848216917,-0.7535219569702328,-0.03162393162393162,1.0,-0.4524904214559387,-0.3523725316828765,0.0
2018-10-10,-0.3567562771715021,-0.7589980185135894,-0.02842102150060628,1.0,-0.45441102534528144,-0.35885606127820663,0.0
2018-10-11,-0.3196988490495284,-0.7583869385871289,-0.0,1.0,-0.44180344419765194,-0.3646984163613811,0.0
2018-10-12,-0.32420638316077693,-0.7547702575511251,-0.0,1.0,-0.42679900744416877,-0.3463962807678047,0.0
2018-10-15,-0.3140458232531663,-0.7634837057065604,-0.0,1.0,-0.4237085527252028,-0.34492671125658175,0.0
2018-10-16,-0.3151796390138359,-0.7620281273131014,-0.0,1.0,-0.4242156806923646,-0.34544212264419516,0.0
2018-10-17,-0.297908184753615,-0.731489540923768,-0.0,1.0,-0.42282746033974444,-0.3556085918854415,0.0
2018-10-18,-0.30269795386272175,-0.7459615711613671,-0.0,1.0,-0.42368077991271325,-0.3616165051295131,0.0
2018-10-19,-0.2931820740907556,-0.7398941560635064,-0.0,1.0,-0.4232068460758924,-0.3587152347708591,0.0
2018-10-22,-0.2934966216216216,-0.7396677927927928,-0.0,1.0,-0.42325450450450447,-0.3589245495495495,0.0
2018-10-23,-0.2959042927515834,-0.7397607318789584,-0.0,1.0,-0.42136523574947216,-0.35791695988740324,0.0
2018-10-24,-0.29514563106796116,-0.7405937807795132,-0.0,1.0,-0.4211059518784297,-0.3572815533980582,0.0
2018-10-25,-0.266743427365189,-0.7067467171094114,-0.0,1.0,-0.43473969898840364,-0.33322367519258717,0.0
2018-10-26,-0.26258767022350793,-0.7014982397729445,-0.0,1.0,-0.4347078568894468,-0.3302404279125618,0.0
2018-10-29,-0.2529832286824866,-0.705700073391503,-0.0,1.0,-0.4290684715539971,-0.3304520372937563,0.0
2018-10-30,-0.24484304932735426,-0.7059926620464737,-0.0,1.0,-0.42962359016170676,-0.3373284413643158,0.0
2018-10-31,-0.24689688742259122,-0.6957191919738229,-0.0,1.0,-0.42756699748505905,-0.33405446334406014,0.0
2018-11-01,-0.2479915604966323,-0.6950417917714842,-0.0,1.0,-0.4277638021044659,-0.33419892342232677,0.0
