Date,GSHD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-12-26,1.0,-0.0,-2.3892427459306442,-0.0,-4.873319179051664,-3.532672800188724,0.0
2018-12-27,1.0,-0.0,-2.0822358500050266,-0.0,-3.7647531919171606,-3.2062933547803354,0.0
2018-12-28,1.0,-0.0,-2.0823812387251954,-0.0,-3.750250551212668,-3.1894167167769094,0.0
2018-12-31,1.0,-0.0,-2.083775929451849,-0.0,-3.7486722116444535,-3.1885960517085876,0.0
2019-01-02,1.0,-0.0,-2.0906983775068024,-0.0,-3.7554167086566563,-3.231482414592361,0.0
2019-01-03,1.0,-0.0,-2.1112018788930866,-0.0,-3.928928826712958,-3.1712447666700703,0.0
2019-01-04,1.0,-0.0,-2.1504380223542445,-0.0,-3.7322525425435504,-3.186788843016816,0.0
2019-01-07,1.0,-0.0,-1.95515821007302,-0.0,-3.515352930162891,-2.8909380265867815,0.0
2019-01-08,1.0,-0.0,-1.8778440880268557,-0.0,-3.5752517717269674,-2.8717829168220814,0.0
2019-01-09,1.0,-0.0,-1.8144627714099337,-0.0,-3.5809337433603576,-2.923399496785015,0.0
2019-01-10,1.0,-0.0,-1.8003162202380951,-0.0,-3.589006696428571,-2.911365327380952,0.0
2019-01-11,1.0,-0.0,-1.8041189078371074,-0.0,-3.5974280123008104,-2.9172490914173888,0.0
2019-01-14,1.0,-0.0,-1.8223426116196524,-0.0,-3.6324490939660006,-2.885671586026527,0.0
2019-01-15,1.0,-0.0,-1.8138754196195448,-0.0,-3.6285900783289815,-2.882320029839612,0.0
2019-01-16,1.0,-0.0,-1.8059158346552207,-0.0,-3.5693757581412706,-2.9556778949332836,0.0
2019-01-17,1.0,-0.0,-1.8016228315612761,-0.0,-3.569856370080209,-2.9551389666107073,0.0
2019-01-18,1.0,-0.0,-1.7906110283159464,-0.0,-3.5723733233979136,-2.9514716840536512,0.0
2019-01-22,1.0,-0.0,-1.8161153206431344,-0.0,-3.5464793938273886,-2.87784143411569,0.0
2019-01-23,1.0,-0.0,-1.7945481156238565,-0.0,-3.5197585071350166,-2.8330589096231247,0.0
2019-01-24,1.0,-0.0,-1.7945669075276687,-0.0,-3.5195280343912927,-2.832525381871399,0.0
2019-01-25,1.0,-0.0,-1.7878621698199435,-0.0,-3.540992596654785,-2.8110775980257747,0.0
2019-01-28,1.0,-0.0,-1.7587085038653931,-0.0,-3.5442473851750793,-2.792178262846748,0.0
2019-01-29,1.0,-0.0,-1.7613243587411316,-0.0,-3.5266509004911772,-2.8079861742768784,0.0
2019-01-30,1.0,-0.0,-1.761618917689859,-0.0,-3.5253296953160524,-2.8081855388813093,0.0
2019-01-31,1.0,-0.0,-1.761676321506155,-0.0,-3.4309377262853005,-2.858797972483708,0.0
2019-02-01,1.0,-0.0,-1.7528657821102989,-0.0,-3.4141167975449047,-2.859193067966423,0.0
2019-02-04,1.0,-0.0,-1.7582467239042026,-0.0,-3.4275643922277452,-2.8516945323090828,0.0
2019-02-05,1.0,-0.0,-1.7190015374875642,-0.0,-3.424527448675047,-2.900515510536312,0.0
