Date,ABTX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.20992474981252102,-0.6927930490548473,-0.002508339582632981,-0.34064285898994084,-0.34004809805797626,0.0
2018-09-25,1.0,-0.20716817644742022,-0.7090718130497571,-0.0,-0.35386635158198765,-0.3555993173165288,0.0
2018-09-26,1.0,-0.20549531529634696,-0.70907463943573,-0.0,-0.35566901779134646,-0.361617012317086,0.0
2018-09-27,1.0,-0.2067989439590648,-0.7582265044500693,-0.0,-0.3760648866389047,-0.3806646525679758,0.0
2018-09-28,1.0,-0.21321699171202713,-0.7585546650619546,-0.0,-0.37985174649197184,-0.38368117289860226,0.0
2018-10-01,1.0,-0.21313269493844048,-0.7590150478796169,-0.0,-0.37986320109439126,-0.3839398084815322,0.0
2018-10-02,1.0,-0.21150293639196008,-0.78714604758885,-0.0,-0.37762276324133554,-0.38090380214508257,0.0
2018-10-03,1.0,-0.21089655172413796,-0.7776275862068965,-0.0,-0.38198620689655177,-0.3881103448275862,0.0
2018-10-04,1.0,-0.21536650492405754,-0.8329552958741279,-0.0,-0.3953027649372649,-0.4275172988027219,0.0
2018-10-05,1.0,-0.21285267357423726,-0.8371458913349215,-0.0,-0.393932435923194,-0.4262219798513246,0.0
2018-10-08,1.0,-0.21381134462237303,-0.8396918034672111,-0.0,-0.39412931604519447,-0.42733519247908464,0.0
2018-10-09,1.0,-0.20515717803853395,-0.8455454150369404,-0.0,-0.40480950311458785,-0.44177893669419094,0.0
2018-10-10,1.0,-0.20609957424624206,-0.8449619138645118,-0.0,-0.4052770295710603,-0.4399455498595302,0.0
2018-10-11,1.0,-0.15508156997548675,-0.8395931362880731,-0.0,-0.38220957425826263,-0.4407032768870981,0.0
2018-10-12,1.0,-0.14854029024789656,-0.8474504489242757,-0.0,-0.38401377830481676,-0.44339036648032076,0.0
2018-10-15,1.0,-0.13029150823827632,-0.8638219969018448,-0.0,-0.37941135051401215,-0.4429798619912689,0.0
2018-10-16,1.0,-0.12622562831060521,-0.8709004846162515,-0.0,-0.3784514820241181,-0.44195875126789136,0.0
2018-10-17,1.0,-0.11101854937243141,-0.8440242141508386,-0.0,-0.3743196712207042,-0.4474897256470065,0.0
2018-10-18,1.0,-0.11025021522397177,-0.8426504484989863,-0.0,-0.3762948151850926,-0.4479157988280707,0.0
2018-10-19,1.0,-0.0999475558254437,-0.8397692456319523,-0.0,-0.37442380413480914,-0.4460791078969886,0.0
