Date,IWF,IWM,MTUM,SPY,VLUE,VXX,WCN
2018-09-24,-0.2488000717714081,-0.3159511954425156,-0.11763782353205042,-0.3255730498362715,-0.2348943614587539,0.0,1.0
2018-09-25,-0.24771838331160367,-0.3189317987681518,-0.1147776828665198,-0.32817066043249565,-0.23829968979004632,0.0,1.0
2018-09-26,-0.24791512127138265,-0.31914941443567785,-0.1152246723761998,-0.3280059343178906,-0.23753006496279813,0.0,1.0
2018-09-27,-0.24766701895617368,-0.3201412156236649,-0.115018776281172,-0.3281239459422995,-0.23768298441681096,0.0,1.0
2018-09-28,-0.24827927482117956,-0.3198974312834586,-0.11505240901525035,-0.328242386072248,-0.2378649511898871,0.0,1.0
2018-10-01,-0.2480595738936759,-0.3203671623658575,-0.11518819321019597,-0.32815136448514026,-0.2380256023757565,0.0,1.0
2018-10-02,-0.24782667447412277,-0.3266294311067069,-0.11346335750641863,-0.3272149903157515,-0.23703887212287733,0.0,1.0
2018-10-03,-0.2479050279329609,-0.32737880699225086,-0.11362407641016399,-0.32701838169039465,-0.23673184357541902,0.0,1.0
2018-10-04,-0.2505631645341503,-0.3232789691836367,-0.11396197513065419,-0.3306226347089566,-0.2342313930437917,0.0,1.0
2018-10-05,-0.24903913150974352,-0.32181789575419745,-0.11168550942887324,-0.3313254366051561,-0.2337776179452024,0.0,1.0
2018-10-08,-0.24802424786708574,-0.3198248765154917,-0.10877862595419847,-0.33471037269869774,-0.23383475527615627,0.0,1.0
2018-10-09,-0.24682236694363352,-0.32027846395688303,-0.10552436559622726,-0.33664944980911743,-0.2364024253312374,0.0,1.0
2018-10-10,-0.24651225484689862,-0.321007346168535,-0.10480084469705478,-0.33675555455709566,-0.23745871992451642,0.0,1.0
2018-10-11,-0.23604066535249948,-0.31681764823141156,-0.09089902323418016,-0.33373939622140025,-0.23739174732552215,0.0,1.0
2018-10-12,-0.24096649710577092,-0.31150236800561304,-0.09072969654446589,-0.32448254692159273,-0.2249166812839853,0.0,1.0
2018-10-15,-0.23818177837139543,-0.31532044404545556,-0.0867071007860568,-0.3244509645070176,-0.22491296446322612,0.0,1.0
2018-10-16,-0.23615863823813285,-0.32705975256646486,-0.07852943757129069,-0.3260287795033781,-0.2257831008160042,0.0,1.0
2018-10-17,-0.2317954298150163,-0.31606093579978234,-0.0749075081610446,-0.3252883569096844,-0.22820457018498366,0.0,1.0
2018-10-18,-0.23240877819385178,-0.3172080466776975,-0.07430549507968301,-0.324849777932596,-0.22838108508229554,0.0,1.0
2018-10-19,-0.2271743833838165,-0.310536564257897,-0.06945045434876676,-0.3280830809173518,-0.22834270878407614,0.0,1.0
2018-10-22,-0.2278135952576695,-0.3087707152438233,-0.06769503699537016,-0.3294967764268097,-0.2296958158452685,0.0,1.0
2018-10-23,-0.2270640214848826,-0.30981980421034394,-0.06506107597678247,-0.3323226197695573,-0.23154725807848914,0.0,1.0
2018-10-24,-0.22682437150837992,-0.3198105796089386,-0.06889402932960895,-0.33497730446927376,-0.23175628491620112,0.0,1.0
2018-10-25,-0.2200142250576546,-0.3084897730456711,-0.06806474556544603,-0.3356251481776839,-0.22311787400047417,0.0,1.0
2018-10-26,-0.21315513290068322,-0.30478271113110156,-0.056137419949024395,-0.34579879629034677,-0.22195806292702777,0.0,1.0
2018-10-29,-0.2012317693853984,-0.31795047260596215,-0.04420255763226552,-0.3431418673281724,-0.2319618493648689,0.0,1.0
2018-10-30,-0.20264807169900112,-0.317875553464097,-0.04508994460011551,-0.3429445359457552,-0.23043357361339867,0.0,1.0
2018-10-31,-0.20251448562370175,-0.34559965015852195,-0.03863561823548705,-0.35572318793046903,-0.24405816114573084,0.0,1.0
2018-11-01,-0.20108850079779678,-0.3472929553452384,-0.037179515201853516,-0.3559047889663614,-0.2442788135778453,0.0,1.0
2018-11-02,-0.21409978782509786,-0.32224336680009624,-0.02648905221252488,-0.3773869676487958,-0.24715095041231924,0.0,1.0
2018-11-05,-0.21554762582368267,-0.31914008625407736,-0.026314061165962476,-0.3776133453009042,-0.25059655421528493,0.0,1.0
2018-11-06,-0.21353459229724403,-0.31796871576918023,-0.027406563554309253,-0.37900363668229414,-0.25288086579327873,0.0,1.0
2018-11-07,-0.21267324998357817,-0.31768518315780253,-0.028814783998598673,-0.3780298219876946,-0.25239210877799917,0.0,1.0
2018-11-08,-0.20682516507223953,-0.31833336965285797,-0.022990259103488852,-0.3764082895683061,-0.2546143956067903,0.0,1.0
2018-11-09,-0.20639762921642116,-0.31822539876231154,-0.023402771724919374,-0.37653621546238997,-0.25446700950056655,0.0,1.0
2018-11-12,-0.20772494831900773,-0.304994015885105,-0.021259928190621256,-0.38731367642258735,-0.2547274507670547,0.0,1.0
2018-11-13,-0.1998054474708171,-0.3035451794206658,-0.011716385646346736,-0.39277993947254647,-0.2538478166882836,0.0,1.0
2018-11-14,-0.2002896483150682,-0.3031364157101788,-0.011737241424032164,-0.3927977001059162,-0.2535935845059767,0.0,1.0
