Date,IWF,IWM,MTUM,SPY,SRRK,VLUE,VXX
2019-01-24,-0.0,-2.70666078517865,-0.0,-5.7820908689898545,1.0,-5.214968387001911,0.0
2019-01-25,-0.0,-2.7279290118814865,-0.0,-6.046473153857724,1.0,-5.265453451646865,0.0
2019-01-28,-0.0,-2.7478076806773513,-0.0,-6.074236468097974,1.0,-5.29739945570003,0.0
2019-01-29,-0.0,-2.7406513872135103,-0.0,-6.045838359469239,1.0,-5.291917973462002,0.0
2019-01-30,-0.0,-2.7487535881553105,-0.0,-6.062245052122678,1.0,-5.297023719595105,0.0
2019-01-31,-0.0,-2.749360998346113,-0.0,-5.916704254999248,1.0,-5.369418132611638,0.0
2019-02-01,-0.0,-2.7515471698113205,-0.0,-5.924830188679245,1.0,-5.417962264150943,0.0
2019-02-04,-0.0,-2.7557251908396942,-0.0,-5.991755725190839,1.0,-5.519694656488549,0.0
2019-02-05,-0.0,-2.708542713567839,-0.0,-5.973503883051621,1.0,-5.545606821988731,0.0
2019-02-06,-0.0,-2.7092846270928463,-0.0,-5.965601217656013,1.0,-5.545662100456622,0.0
2019-02-07,-0.0,-2.725370398655873,-0.0,-6.007942569115626,1.0,-5.540858408431343,0.0
2019-02-08,-0.0,-2.7338782924613994,-0.0,-5.9772933696639425,1.0,-5.426581895246747,0.0
2019-02-11,-0.0,-2.744580870092466,-0.0,-5.998332575413067,1.0,-5.415491890253145,0.0
2019-02-12,-0.0,-2.71287579714546,-0.0,-6.03355602793805,1.0,-5.437443061038566,0.0
2019-02-13,-0.0,-2.7212866029434077,-0.0,-6.03732362312244,1.0,-5.413594295251101,0.0
2019-02-14,-0.0,-2.7239393939393937,-0.0,-6.037121212121212,1.0,-5.390454545454545,0.0
2019-02-15,-0.0,-2.735,-0.0,-6.03090909090909,1.0,-5.385454545454545,0.0
2019-02-19,-0.0,-2.66496700659868,-0.0,-6.002699460107978,1.0,-5.329334133173365,0.0
2019-02-20,-0.0,-2.675871435038479,-0.0,-6.065791459182134,1.0,-5.348121321865098,0.0
2019-02-21,-0.0,-2.673506336753168,-0.0,-6.066234158117078,1.0,-5.347767048883524,0.0
2019-02-22,-0.0,-2.6675214964549703,-0.0,-6.070297179061698,1.0,-5.347262030472168,0.0
2019-02-25,-0.0,-2.654583899713034,-0.0,-6.0909228213260835,1.0,-5.357951971001359,0.0
2019-02-26,-0.0,-2.659870110255248,-0.0,-6.092584201782208,1.0,-5.35100438000302,0.0
2019-02-27,-0.0,-2.6512154612713275,-0.0,-6.0955760229503255,1.0,-5.3521062962403745,0.0
2019-02-28,-0.0,-2.65388679245283,-0.0,-6.093584905660377,1.0,-5.3468679245283015,0.0
2019-03-01,-0.0,-2.664900060569352,-0.0,-6.144609327680193,1.0,-5.332828588734101,0.0
2019-03-04,-0.0,-2.6349763467114293,-0.0,-6.1901419197314205,1.0,-5.435067907828475,0.0
2019-03-05,-0.0,-2.606176425622994,-0.0,-6.2481271976761965,1.0,-5.4338786118330535,0.0
2019-03-06,-0.0,-2.601435991445157,-0.0,-6.251145737855178,1.0,-5.423770241368775,0.0
2019-03-07,-0.0,-2.5044703742991365,-0.0,-6.2791332020003034,1.0,-5.3702076072132146,0.0
2019-03-08,-0.0,-2.4891435464414955,-0.0,-6.248039806996381,1.0,-5.341224366706875,0.0
2019-03-11,-0.0,-2.4907281772953414,-0.0,-6.245137946630484,1.0,-5.340268355193728,0.0
2019-03-12,-0.0,-2.4254044337926906,-0.0,-6.230077890952667,1.0,-5.323547034152186,0.0
2019-03-13,-0.0,-2.430988023952096,-0.0,-6.22005988023952,1.0,-5.319011976047904,0.0
2019-03-14,-0.0,-2.4168663870581186,-0.0,-6.236369083283403,1.0,-5.32594367884961,0.0
2019-03-15,-0.0,-2.4132714200119834,-0.0,-6.242810065907729,1.0,-5.3229478729778315,0.0
2019-03-18,-0.0,-2.4174641148325358,-0.0,-6.232356459330144,1.0,-5.302332535885168,0.0
2019-03-19,-0.0,-2.4079497907949796,-0.0,-6.2359533771667675,1.0,-5.299312612074119,0.0
