Date,IWF,IWM,MTUM,PBYI,SPY,VLUE,VXX
2018-09-24,-1.3101204607403498,-2.5768047129165566,-0.5383803745713532,1.0,-1.7566165479644775,-1.6108326738767256,0.0
2018-09-25,-1.3132360696080154,-2.572772016171559,-0.5440323431182984,1.0,-1.7532958340657407,-1.6055545790121286,0.0
2018-09-26,-1.3130220698144728,-2.5731996834608286,-0.542161259122483,1.0,-1.754945924558164,-1.6094258331135145,0.0
2018-09-27,-1.3155075518089216,-2.5604144713733756,-0.5448717948717949,1.0,-1.7531612223393045,-1.607218124341412,0.0
2018-09-28,-1.3125219529329117,-2.562521952932912,-0.5459255356515631,1.0,-1.752722163681068,-1.6073059360730595,0.0
2018-10-01,-1.3129335323557818,-2.5612433049433663,-0.5464044253226797,1.0,-1.7527438756695055,-1.607077004126789,0.0
2018-10-02,-1.3173110720562389,-2.5383128295254833,-0.5558875219683655,1.0,-1.7605448154657293,-1.615377855887522,0.0
2018-10-03,-1.3188737351517816,-2.519929608446986,-0.5534535855697316,1.0,-1.7729872415310164,-1.6337879454465465,0.0
2018-10-04,-1.3264982839038988,-2.5082284607938043,-0.5554871072780075,1.0,-1.782539822230045,-1.6276511484643141,0.0
2018-10-05,-1.3064671392316445,-2.501793996674543,-0.5297978472039905,1.0,-1.7841078148245384,-1.6290364925177214,0.0
2018-10-08,-1.3090030742204655,-2.5067193675889325,-0.5187527448397014,1.0,-1.8085199824330258,-1.6404918752744837,0.0
2018-10-09,-1.3061691454721465,-2.513332746633812,-0.505412303088973,1.0,-1.820205931532166,-1.6554607057995248,0.0
2018-10-10,-1.3071359266119784,-2.522625033077534,-0.5018964452677075,1.0,-1.824997794831084,-1.66402046396754,0.0
2018-10-11,-1.1761807679238871,-2.5202174651715934,-0.32050628610261633,1.0,-1.7872918790349983,-1.6905368671423715,0.0
2018-10-12,-1.2230252529546806,-2.545106708613213,-0.3120482952129921,1.0,-1.7662613723322846,-1.6563217413485247,0.0
2018-10-15,-1.1875582676498009,-2.6008136282735825,-0.25942876514958896,1.0,-1.764641071277227,-1.6628527841342489,0.0
2018-10-16,-1.192206469139995,-2.596655064097122,-0.2660667289243569,1.0,-1.7683164954580184,-1.6665251719161218,0.0
