Date,BLD,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.5077509421034601,-1.256723192874272,-0.0,-0.7958633093525179,-0.7219510106200753,0.0
2018-09-25,1.0,-0.5101018748394829,-1.2553719715777758,-0.0,-0.7949233798476157,-0.7201010187483948,0.0
2018-09-26,1.0,-0.5112366765121356,-1.2564530627969692,-0.0,-0.7949146012585078,-0.7181199434955695,0.0
2018-09-27,1.0,-0.5118390754659599,-1.2925663639918321,-0.0,-0.8085762697136898,-0.731633140722075,0.0
2018-09-28,1.0,-0.508893237660361,-1.2972385301152425,-0.0,-0.8096107849532508,-0.7330289193302891,0.0
2018-10-01,1.0,-0.5116461317427837,-1.296051199442727,-0.0,-0.8120074883538683,-0.7339457529713962,0.0
2018-10-02,1.0,-0.5136017410228508,-1.288487486398259,-0.0,-0.8141458106637649,-0.7363656147986942,0.0
2018-10-03,1.0,-0.5147462426486604,-1.2925724243084293,-0.0,-0.8138967545197124,-0.7351339577434111,0.0
2018-10-04,1.0,-0.5203450379018908,-1.2845691382765532,-0.0,-0.8209462403067004,-0.7306787488019518,0.0
2018-10-05,1.0,-0.4974390138032815,-1.2758920045142808,-0.0,-0.8275457939057209,-0.7397777584859797,0.0
2018-10-08,1.0,-0.4946916843610521,-1.2729124236252547,-0.0,-0.8277505741647527,-0.737920873597088,0.0
2018-10-09,1.0,-0.48520374809326655,-1.2790586184353891,-0.0,-0.8395728916975377,-0.7543691436042711,0.0
2018-10-10,1.0,-0.48426926794973196,-1.2936110378767904,-0.0,-0.8459442833289392,-0.7702346427629845,0.0
2018-10-11,1.0,-0.37548353821026387,-1.3014269749849565,-0.0,-0.8224447691910942,-0.79880512335597,0.0
2018-10-12,1.0,-0.38538657604078164,-1.298895497026338,-0.0,-0.7962616822429907,-0.7675446049277825,0.0
2018-10-15,1.0,-0.3405840286054827,-1.35097054316363,-0.0,-0.791801464328282,-0.7734122254384471,0.0
2018-10-16,1.0,-0.34167837527142675,-1.3497253799974456,-0.0,-0.7923106399284711,-0.773960063013582,0.0
2018-10-17,1.0,-0.320574563423929,-1.3109007914904307,-0.0,-0.781774781188492,-0.774529921688513,0.0
2018-10-18,1.0,-0.3287056632523491,-1.3330229408279015,-0.0,-0.7857868450012698,-0.7850672987386778,0.0
2018-10-19,1.0,-0.3501960784313725,-1.3856644880174291,-0.0,-0.8106753812636165,-0.8107625272331155,0.0
2018-10-22,1.0,-0.35173315892740353,-1.38809679529104,-0.0,-0.8099847394811424,-0.8102899498582952,0.0
2018-10-23,1.0,-0.36300441568661745,-1.392646351593582,-0.0,-0.806365583876186,-0.8099505967734885,0.0
2018-10-24,1.0,-0.3639202920863942,-1.3907535301104121,-0.0,-0.8181498262437865,-0.8260678309066116,0.0
2018-10-25,1.0,-0.31480377968843104,-1.3328509406657016,-0.0,-0.8254022303566868,-0.7833915042138417,0.0
2018-10-26,1.0,-0.29441966164464267,-1.3144095614847235,-0.0,-0.8286339533709284,-0.770978873832169,0.0
