Date,IWF,IWM,MTUM,SBAC,SPY,VLUE,VXX
2018-09-24,-0.35592199598508745,-0.5612560940636651,-0.0,1.0,-0.5455979351878405,-0.4050473186119874,0.0
2018-09-25,-0.35588505219685673,-0.5612882872547895,-0.0,1.0,-0.5456292302397614,-0.40512791097854767,0.0
2018-09-26,-0.35542998106821183,-0.5610406746600884,-0.0,1.0,-0.5458091905226321,-0.40617291033216685,0.0
2018-09-27,-0.35752156593012924,-0.5563580087696672,-0.0,1.0,-0.545926116986215,-0.40609864442724897,0.0
2018-09-28,-0.3566904536726564,-0.557160461983779,-0.0,1.0,-0.5458401398561316,-0.40621328060069356,0.0
2018-10-01,-0.3564037709818349,-0.5622269487238446,-0.0,1.0,-0.547022303977926,-0.40857093584732124,0.0
2018-10-02,-0.3547081442076961,-0.5858220821648501,-0.0,1.0,-0.5446529243401081,-0.40593830408511383,0.0
2018-10-03,-0.35451891673169744,-0.5839475129338998,-0.0,1.0,-0.544957946761467,-0.4068325674152432,0.0
2018-10-04,-0.3607620591811917,-0.5777404597834269,-0.0,1.0,-0.5535352365510452,-0.40332387515200646,0.0
2018-10-05,-0.35044385519944665,-0.5708727230804703,-0.0,1.0,-0.5557701175928061,-0.4050899239105373,0.0
2018-10-08,-0.3479261347293332,-0.5675084853017316,-0.0,1.0,-0.5572685957544727,-0.4036990162802738,0.0
2018-10-09,-0.34145285578227363,-0.5697711333660423,-0.0,1.0,-0.562902248261133,-0.41195994112384193,0.0
2018-10-10,-0.3443536511419744,-0.5690237634625934,-0.0,1.0,-0.5650968729246671,-0.40894522565183494,0.0
2018-10-11,-0.29430557112431344,-0.5538336509359938,-0.0,1.0,-0.5461271157941935,-0.4081100773455891,0.0
2018-10-12,-0.2901485996797663,-0.5574594791988539,-0.0,1.0,-0.5513076210005899,-0.41015197056097086,0.0
2018-10-15,-0.27683299246350823,-0.5676463172050542,-0.0,1.0,-0.5482307455243325,-0.408931723307091,0.0
2018-10-16,-0.2701670644391408,-0.581580794609013,-0.0,1.0,-0.5477186578688754,-0.4083672609855398,0.0
2018-10-17,-0.2602279976700968,-0.5616453554489224,-0.0,1.0,-0.5429783929215322,-0.40884253737553045,0.0
2018-10-18,-0.2600676725094298,-0.5614599511870424,-0.0,1.0,-0.5431273574439761,-0.4088085200798758,0.0
2018-10-19,-0.2444830630034205,-0.5509764978483945,-0.0,1.0,-0.5513075140681893,-0.4117014233697451,0.0
2018-10-22,-0.244313790438335,-0.5421221154907806,-0.0,1.0,-0.5568620956166501,-0.4170255051341504,0.0
2018-10-23,-0.2443622512351983,-0.5421071517292776,-0.0,1.0,-0.5567915206050402,-0.41698639211681254,0.0
2018-10-24,-0.2430159124127851,-0.5379057389481813,-0.0,1.0,-0.5579824053390696,-0.41887978820220073,0.0
2018-10-25,-0.2114264236045856,-0.5001745106988482,-0.0,1.0,-0.5778451955862217,-0.39533385239079655,0.0
2018-10-26,-0.20008508601664496,-0.4904145284373421,-0.0,1.0,-0.5798080246749449,-0.3886303810258183,0.0
2018-10-29,-0.20239524152463256,-0.4908911472086634,-0.0,1.0,-0.5857405777386572,-0.38827985383158625,0.0
2018-10-30,-0.17485133062454591,-0.5005516239270241,-0.0,1.0,-0.5955654817964103,-0.4198530796760218,0.0
