Date,CXW,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.3892324888226527,-0.9448211624441131,-0.0,-0.7347988077496274,-0.6568926974664678,0.0
2018-09-25,1.0,-0.38721734255279383,-0.9497663988039619,-0.0,-0.7386282937768641,-0.6620444776677257,0.0
2018-09-26,1.0,-0.38626079802550395,-0.9494409333981527,-0.0,-0.7392393702554131,-0.6646348304102315,0.0
2018-09-27,1.0,-0.38638743455497376,-0.9494390426327598,-0.0,-0.7392296185489903,-0.6646970830216903,0.0
2018-09-28,1.0,-0.3864248317127898,-0.9494390426327598,-0.0,-0.7391174270755422,-0.6647344801795062,0.0
2018-10-01,1.0,-0.38754090960388216,-0.9604258360606401,-0.0,-0.7432945867659781,-0.6705413234021743,0.0
2018-10-02,1.0,-0.38765757290686736,-0.9626716839134526,-0.0,-0.742615239887112,-0.6699905926622767,0.0
2018-10-03,1.0,-0.38683468121120934,-0.9532819258980628,-0.0,-0.7456836561971038,-0.6757193906338161,0.0
2018-10-04,1.0,-0.39245126815684506,-0.9461127417776775,-0.0,-0.7528787536689998,-0.6715962971325355,0.0
2018-10-05,1.0,-0.38149161948329524,-0.942142562525779,-0.0,-0.7537215493644306,-0.6723161723349207,0.0
2018-10-08,1.0,-0.3781144781144781,-0.9379723157500935,-0.0,-0.7546576879910214,-0.6703703703703704,0.0
2018-10-09,1.0,-0.3698949824970828,-0.9439530244288026,-0.0,-0.7653103474234952,-0.6848722098844431,0.0
2018-10-10,1.0,-0.37370046707849935,-0.9433855657676662,-0.0,-0.7683817990055748,-0.6812942594545729,0.0
2018-10-11,1.0,-0.2891733216642964,-0.9290012033694345,-0.0,-0.7402909966086862,-0.6880720563031033,0.0
2018-10-12,1.0,-0.2905092176662953,-0.9193229597153842,-0.0,-0.7199123153771517,-0.663887591188414,0.0
2018-10-15,1.0,-0.23360188353014752,-1.0203435971011292,-0.0,-0.7331788250009197,-0.6916455137402052,0.0
2018-10-16,1.0,-0.23041271242551314,-1.025343927021261,-0.0,-0.7320679761642022,-0.6905392481424263,0.0
2018-10-17,1.0,-0.20825664898415788,-0.984049655371513,-0.0,-0.7228176536393489,-0.6935512973187542,0.0
2018-10-18,1.0,-0.20726511157651475,-0.9823066368166389,-0.0,-0.7266194843648442,-0.6946992128258829,0.0
2018-10-19,1.0,-0.1861214551704383,-0.9697436264680609,-0.0,-0.7301632769979949,-0.6946075623030651,0.0
2018-10-22,1.0,-0.18686251975290905,-0.9565795144375806,-0.0,-0.7422065795144376,-0.7057893980749892,0.0
2018-10-23,1.0,-0.18999569089342142,-0.9566934788853777,-0.0,-0.7397658718758977,-0.7044671071531169,0.0
2018-10-24,1.0,-0.18876962973634923,-0.9530327042212938,-0.0,-0.7462181241895981,-0.7137660279498632,0.0
