Date,IWF,IWM,MTUM,SPY,VIPS,VLUE,VXX
2018-09-24,-1.0930568600534643,-1.7917780507188785,-0.39101221010042625,-1.512896467018279,1.0,-1.43616790694314,0.0
2018-09-25,-1.1023702942687312,-1.8340794011888164,-0.380201071402363,-1.5477361121303295,1.0,-1.473985470022749,0.0
2018-09-26,-1.103258476442096,-1.8350946719506827,-0.382137090855717,-1.5472625862322031,1.0,-1.4711580801409072,0.0
2018-09-27,-1.1367629541393687,-1.8353186420488385,-0.3964413341274568,-1.5783948779035142,1.0,-1.497989874925551,0.0
2018-09-28,-1.1338494751730812,-1.8374153204794164,-0.3975284746519765,-1.5777562718677882,1.0,-1.4978783592644977,0.0
2018-10-01,-1.1345939105188714,-1.836224223926152,-0.3979006923248716,-1.5779796024715251,1.0,-1.4976550286607608,0.0
2018-10-02,-1.13506474177705,-1.828397082899241,-0.4011757702038994,-1.5785087066527757,1.0,-1.4985860991218931,0.0
2018-10-03,-1.1367260263765742,-1.835407197675285,-0.4025035392295656,-1.5788689367409285,1.0,-1.4975784218761643,0.0
2018-10-04,-1.1380824772964122,-1.828867053744231,-0.4036027988685425,-1.5797975286586274,1.0,-1.4934494566026502,0.0
2018-10-05,-1.1177471876850207,-1.8158673771462406,-0.3787744227353464,-1.586515689757253,1.0,-1.5019982238010658,0.0
2018-10-08,-1.1135139124658646,-1.809284818067754,-0.3735331020739538,-1.5859473023839397,1.0,-1.4983393608384383,0.0
2018-10-09,-1.1112423414778179,-1.8104377352919465,-0.36723997933121727,-1.589577028124308,1.0,-1.5032110430353582,0.0
2018-10-10,-1.111234212275648,-1.8130585715340866,-0.36516729448260576,-1.5909594504764015,1.0,-1.505650343452249,0.0
2018-10-11,-1.003262179987235,-1.7879583008297286,-0.22147365435075528,-1.5544287639174528,1.0,-1.5246436422948726,0.0
2018-10-12,-1.0444444444444443,-1.8008492569002124,-0.21146496815286622,-1.5306440198159943,1.0,-1.489738145789101,0.0
2018-10-15,-1.0512420156139106,-1.802696948190206,-0.21022001419446418,-1.5383960255500355,1.0,-1.4946770759403833,0.0
2018-10-16,-1.0495246204058464,-1.8073648361004682,-0.20625798212005106,-1.5379594153540512,1.0,-1.4941109692067545,0.0
2018-10-17,-1.0116906474820144,-1.7235058107360266,-0.17944106253458772,-1.513835085777532,1.0,-1.4891394576646375,0.0
2018-10-18,-1.014688560936742,-1.7302016212845561,-0.17674773089447793,-1.514792489433936,1.0,-1.4920667913808632,0.0
2018-10-19,-0.993897003360077,-1.7074675992594117,-0.1523006240142632,-1.515600356579579,1.0,-1.4880340122059934,0.0
2018-10-22,-0.9952035082910786,-1.7001507468822805,-0.14828011511580103,-1.5182266684939016,1.0,-1.4903384952720298,0.0
2018-10-23,-1.0080567414956618,-1.7091998347335078,-0.16512877014185376,-1.5130835973006476,1.0,-1.4906348987742737,0.0
2018-10-24,-1.0079239302694136,-1.7134982429545924,-0.15978777647626263,-1.5162957348584027,1.0,-1.4928684627575275,0.0
2018-10-25,-0.93478117367483,-1.601821902435804,-0.13763284705261072,-1.510792791603406,1.0,-1.416067067133144,0.0
2018-10-26,-0.9085643628790838,-1.5745151633476506,-0.10731485096967332,-1.5192633086034102,1.0,-1.3981517636339973,0.0
2018-10-29,-0.8801658245886773,-1.5970980696981476,-0.07688819795310274,-1.5091980826531934,1.0,-1.4141728203135122,0.0
2018-10-30,-0.8866982294571634,-1.5988066670990337,-0.08009598547246903,-1.5102795252610417,1.0,-1.409689344315455,0.0
2018-10-31,-0.893562286963792,-1.5536047334233714,-0.08225609363946235,-1.5044697408193455,1.0,-1.397388899607692,0.0
2018-11-01,-0.9118104118104119,-1.5486272986272986,-0.09485884485884487,-1.5142450142450143,1.0,-1.4054649054649055,0.0
2018-11-02,-0.9345558661122094,-1.699775035789761,-0.11889017656281957,-1.5712045810893722,1.0,-1.4926716204240236,0.0
2018-11-05,-0.9260095824777549,-1.7466803559206021,-0.11574264202600959,-1.583093771389459,1.0,-1.473100616016427,0.0
2018-11-06,-0.9428061994239473,-1.7629954738718967,-0.1078727197915238,-1.5800987518858867,1.0,-1.4639281305719378,0.0
2018-11-07,-0.9374185136897002,-1.7652508062855965,-0.11891854799972554,-1.576682906745351,1.0,-1.4637343031633843,0.0
2018-11-08,-0.9127512221618685,-1.7586230309614341,-0.09573601303639327,-1.5613117870722433,1.0,-1.4612982074959262,0.0
2018-11-09,-0.9375476009139375,-1.8024648618708026,-0.08266980544208266,-1.5985598559855985,1.0,-1.5025271757945025,0.0
2018-11-12,-0.9346432264736296,-1.7857980006894172,-0.08038607376766632,-1.5978628059289899,1.0,-1.4954843157531885,0.0
2018-11-13,-0.9017432646592708,-1.8070695238751462,-0.022738234686143458,-1.6403913732515676,1.0,-1.5184317508440708,0.0
2018-11-14,-0.9101605758582504,-1.8134689922480622,-0.020764119601328904,-1.6513704318936877,1.0,-1.5256090808416392,0.0
2018-11-15,-0.9166203446359089,-1.831295163979989,-0.011534185658699278,-1.6757226236798222,1.0,-1.5132017787659813,0.0
2018-11-16,-0.9154000971614963,-1.8271219376778403,-0.011936983829550975,-1.6732597682004304,1.0,-1.512388090776598,0.0
2018-11-19,-0.9152105812739297,-1.8380090497737556,-0.0,-1.6863209189001045,1.0,-1.5218238774799862,0.0
2018-11-20,-0.8296342390928576,-1.820922353591924,-0.0,-1.6968125561778329,1.0,-1.5667565511996127,0.0
2018-11-21,-0.8351896139391869,-1.8017765630338227,-0.0,-1.6837034506320463,1.0,-1.5122651178681241,0.0
2018-11-23,-0.8361639724438988,-1.784393970397654,-0.0,-1.6880158242957508,1.0,-1.5121751585839984,0.0
2018-11-26,-0.8373650403170698,-1.7837228372283722,-0.0,-1.6943419434194342,1.0,-1.5179718463851306,0.0
2018-11-27,-0.8171692474870959,-1.7874218962238522,-0.0,-1.6820836729149686,1.0,-1.5049578918772073,0.0
2018-11-28,-0.825796330400382,-1.7703430871018349,-0.0,-1.7037719118750427,1.0,-1.5209058045153812,0.0
2018-11-29,-0.7515028706518069,-1.7508949679162447,-0.0,-1.7082066869300914,1.0,-1.5438027693346845,0.0
2018-11-30,-0.7510297791883315,-1.7508947261800258,-0.0,-1.7087581875886286,1.0,-1.5419001958268619,0.0
2018-12-03,-0.753012048192771,-1.7550426424800325,-0.0,-1.714024637877352,1.0,-1.5465682956545281,0.0
2018-12-04,-0.7310382291030081,-1.7837305629116587,-0.0,-1.71901948801521,1.0,-1.5564609221158416,0.0
2018-12-06,-0.7173783119729066,-1.6531642207317883,-0.0,-1.7539013214688892,1.0,-1.5161033269141377,0.0
2018-12-07,-0.7039978642461457,-1.6658212640993126,-0.0,-1.7676700260295,1.0,-1.5366748982179805,0.0
2018-12-10,-0.6406912076271186,-1.6876324152542372,-0.0,-1.7829051906779658,1.0,-1.5096001059322033,0.0
2018-12-11,-0.6576068942658269,-1.6842558833278092,-0.0,-1.7902552204176334,1.0,-1.496983758700696,0.0
2018-12-12,-0.6593078758949881,-1.6839034738796075,-0.0,-1.790639087775126,1.0,-1.4956907981967649,0.0
2018-12-13,-0.6615425567312172,-1.6950156385173356,-0.0,-1.793970852465562,1.0,-1.5041591801424106,0.0
2018-12-14,-0.6705475350941388,-1.6704810059210964,-0.0,-1.8073315148692704,1.0,-1.5046237775264453,0.0
2018-12-17,-0.6501224273707895,-1.664482827079611,-0.0,-1.7906161074713784,1.0,-1.5125405333862751,0.0
2018-12-18,-0.6223009778827853,-1.6393647043381243,-0.0,-1.7842094900570977,1.0,-1.5170965413139068,0.0
2018-12-19,-0.630607553366174,-1.6385550082101807,-0.0,-1.7821346469622332,1.0,-1.5168472906403943,0.0
2018-12-20,-0.6252285191956125,-1.6087751371115175,-0.0,-1.7906111256202664,1.0,-1.504439801514756,0.0
2018-12-21,-0.6159311648523565,-1.6210807639658433,-0.0,-1.810703343980184,1.0,-1.4708298024900595,0.0
