Date,IWF,IWM,MTUM,SEB,SPY,VLUE,VXX
2018-09-24,-0.26962855521220913,-0.7865296083748503,-0.0,1.0,-0.5916314561392445,-0.5054234722835341,0.0
2018-09-25,-0.27782871233916095,-0.787518573551263,-0.0,1.0,-0.5926148398722773,-0.5034617938098701,0.0
2018-09-26,-0.27655393197882655,-0.7882658721354084,-0.0,1.0,-0.594979238644648,-0.5098735300643443,0.0
2018-09-27,-0.2816620182555781,-0.7801724137931033,-0.0,1.0,-0.5966341277890466,-0.5109026369168357,0.0
2018-09-28,-0.28176602960286523,-0.780133751703591,-0.0,1.0,-0.5965896485055942,-0.5109822192640486,0.0
2018-10-01,-0.28291955990995277,-0.7792574273122166,-0.0,1.0,-0.5973556549034529,-0.5111449316718982,0.0
2018-10-02,-0.28669775705085504,-0.7667269439421338,-0.0,1.0,-0.6025189556168904,-0.5165128009898163,0.0
2018-10-03,-0.2875450285313526,-0.7546622461665975,-0.0,1.0,-0.6135037776148426,-0.5321495744206063,0.0
2018-10-04,-0.29639348459150694,-0.7487599603187302,-0.0,1.0,-0.6259080290569299,-0.5290729303337707,0.0
2018-10-05,-0.2730999583640265,-0.7411203279633604,-0.0,1.0,-0.6413861576402011,-0.5471927745572174,0.0
2018-10-08,-0.27133220371495254,-0.7387384507177339,-0.0,1.0,-0.641133028549506,-0.5458294702516064,0.0
2018-10-09,-0.26507956878850103,-0.7416581108829569,-0.0,1.0,-0.6472343429158111,-0.5544147843942505,0.0
2018-10-10,-0.26460867053877996,-0.7421300901710361,-0.0,1.0,-0.6473381895196225,-0.554888810448288,0.0
2018-10-11,-0.17900102570478352,-0.7330059366549592,-0.0,1.0,-0.6250271967177446,-0.5711310726385478,0.0
2018-10-12,-0.17757209188660802,-0.7205828445747801,-0.0,1.0,-0.6066715542521994,-0.5499755620723363,0.0
2018-10-15,-0.1361521156276002,-0.776418379611082,-0.0,1.0,-0.6083700576288946,-0.560818515208481,0.0
