Date,AXGN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.193157853628056,-2.3230492853237523,-0.3524955088651098,-1.5955635397953603,-1.3464031867531048,0.0
2018-09-25,1.0,-1.2039777621172971,-2.3235455328478585,-0.3646542948868531,-1.5957246887479446,-1.3423381097799703,0.0
2018-09-26,1.0,-1.208486940152169,-2.330065103145345,-0.3708526158914425,-1.5973801866813084,-1.3369676053023767,0.0
2018-09-27,1.0,-1.2098182676421996,-2.342380615215168,-0.3701518369915821,-1.6025489733301863,-1.3423019431988041,0.0
2018-09-28,1.0,-1.2108907774630153,-2.3414384639597103,-0.37110481586402266,-1.6027699087189173,-1.3427762039660056,0.0
2018-10-01,1.0,-1.2106712835445033,-2.3415440308491386,-0.37192098843157323,-1.6025025576453924,-1.3430392696938698,0.0
2018-10-02,1.0,-1.2108410038549287,-2.3359295098733384,-0.37455746990795374,-1.602391629297459,-1.3435606954606245,0.0
2018-10-03,1.0,-1.2092109399559887,-2.321518390443257,-0.3729173215969821,-1.605312794718642,-1.3501257466205596,0.0
2018-10-04,1.0,-1.2092566399497091,-2.3198176960553196,-0.37419456231337417,-1.6048247681911045,-1.3498349834983496,0.0
2018-10-05,1.0,-1.183812051201998,-2.3072119887605367,-0.34452076178582575,-1.612238526381517,-1.3573993131439275,0.0
2018-10-08,1.0,-1.1814704964096159,-2.304011863877615,-0.33359350608804245,-1.6258195441773338,-1.360209178894786,0.0
2018-10-09,1.0,-1.194239522837859,-2.317140166378904,-0.34766912572594566,-1.6299638989169676,-1.3591272955579972,0.0
2018-10-10,1.0,-1.194318003453147,-2.3180819337623606,-0.34657039711191334,-1.6304347826086956,-1.358656411866269,0.0
2018-10-11,1.0,-1.0707245504476712,-2.310360394251749,-0.1765104205853585,-1.590399518471146,-1.375893461741028,0.0
2018-10-12,1.0,-1.0865284974093266,-2.297113249444856,-0.16054774241302738,-1.5426350851221318,-1.3150259067357515,0.0
2018-10-15,1.0,-1.0723033790762875,-2.3151099306477794,-0.13818798878559835,-1.539693079533717,-1.3125276671093404,0.0
2018-10-16,1.0,-1.0686723832052039,-2.3413660555884093,-0.1218214074512123,-1.5440567711413364,-1.3161590774689533,0.0
2018-10-17,1.0,-1.027884406460491,-2.2532773230969796,-0.07662779749402478,-1.5421887448395741,-1.3427247048598536,0.0
2018-10-18,1.0,-1.0261689017760058,-2.2507430228343606,-0.07886915549111999,-1.5483146067415732,-1.344907575208409,0.0
2018-10-19,1.0,-1.0005034522439586,-2.23424913693901,-0.0451668584579977,-1.5632192174913693,-1.349036248561565,0.0
2018-10-22,1.0,-1.002241828174718,-2.2558576800694246,-0.06081862886896154,-1.5623372866647385,-1.3504483656349437,0.0
2018-10-23,1.0,-1.0089065894279508,-2.257422157856626,-0.0722664735698769,-1.555322230267922,-1.347212165097755,0.0
2018-10-24,1.0,-1.0081741898148147,-2.2579571759259256,-0.06344039351851852,-1.556785300925926,-1.347511574074074,0.0
2018-10-25,1.0,-0.9241774951617362,-2.1388581697539397,-0.036701686480508706,-1.5543959082112249,-1.257602985899917,0.0
2018-10-26,1.0,-0.8960228043979911,-2.0992941495859916,-0.015067191529795033,-1.5468304601601737,-1.2298086059454323,0.0
2018-10-29,1.0,-0.8638016974269163,-2.1127576451569445,-0.0,-1.528223090394719,-1.2309713054021285,0.0
2018-10-30,1.0,-0.855815831987076,-2.111873990306947,-0.0,-1.5275309639203016,-1.236066235864297,0.0
2018-10-31,1.0,-0.8605531886116183,-2.121863799283154,-0.0,-1.534523567998918,-1.2456887806857375,0.0
2018-11-01,1.0,-0.8535152292834469,-2.124468156952793,-0.0,-1.5319781184574863,-1.2435334639022082,0.0
2018-11-02,1.0,-0.8611594590976034,-2.0633953675190786,-0.0,-1.541437943499799,-1.228343821127326,0.0
2018-11-05,1.0,-0.8655665123767358,-2.058361843429261,-0.0,-1.5451130341450325,-1.2392164754813175,0.0
2018-11-06,1.0,-0.8828082929456111,-2.078082929456112,-0.0,-1.541532040926225,-1.2288637587506732,0.0
2018-11-07,1.0,-0.8808579304780474,-2.0774557923754453,-0.0,-1.5381563907752303,-1.2271229745175822,0.0
2018-11-08,1.0,-0.8267878466233249,-2.0715138649329967,-0.0,-1.5106806421653176,-1.2249568793949848,0.0
2018-11-09,1.0,-0.8257264163460262,-2.071182167971341,-0.0,-1.5122064481889346,-1.2248242006103223,0.0
2018-11-12,1.0,-0.8217345459338341,-2.0421115065243174,-0.0,-1.5129827336233028,-1.2133254250691972,0.0
2018-11-13,1.0,-0.7918596308133846,-2.0340486595786316,-0.0,-1.5030330702498207,-1.1937903594025177,0.0
2018-11-14,1.0,-0.7918460534898891,-2.034246575342466,-0.0,-1.5031311154598825,-1.1938682322243965,0.0
