Date,IWF,IWM,MTUM,SPY,USLM,VLUE,VXX
2018-09-24,-0.2890653703756041,-0.7207415990730013,-0.016589887799225617,-0.3985247152587401,1.0,-0.4012661447587825,0.0
2018-09-25,-0.29295957910219783,-0.7192034622238564,-0.02163889910332928,-0.396967725511272,1.0,-0.3978445959324527,0.0
2018-09-26,-0.29425417492216244,-0.7210585904330596,-0.024002264364562695,-0.3967449759411265,1.0,-0.39439569770733085,0.0
2018-09-27,-0.29563643562116454,-0.716523853963406,-0.02528209043861882,-0.39651027968666047,1.0,-0.39402166228330654,0.0
2018-09-28,-0.2939013351436977,-0.7181206155238742,-0.025797691785471824,-0.39658293731613486,1.0,-0.3942634080108622,0.0
2018-10-01,-0.2934231760142691,-0.7198833555108858,-0.026216698281475607,-0.3967045100648339,1.0,-0.394977492143484,0.0
2018-10-02,-0.2933223740150785,-0.726432741908055,-0.02463012300889972,-0.39592426733178393,1.0,-0.39399693894903914,0.0
2018-10-03,-0.29296277409484955,-0.7202391070315599,-0.02382571250495779,-0.39812453963397354,1.0,-0.39786956768088844,0.0
2018-10-04,-0.2939060995639123,-0.7178456136376508,-0.024296313076966645,-0.399218440278643,1.0,-0.3964999716826188,0.0
2018-10-05,-0.28376854097343635,-0.7132987423157183,-0.01362021318594552,-0.40508149568552254,1.0,-0.40417912131295475,0.0
2018-10-08,-0.28233274226688054,-0.710884066537195,-0.011005094429902334,-0.4069351797123476,1.0,-0.40347321906048583,0.0
2018-10-09,-0.28162116521249647,-0.7112299465240641,-0.009175344779059949,-0.40779622853926256,1.0,-0.4046721080776808,0.0
2018-10-10,-0.2838397206656717,-0.7101906344155661,-0.011263480978796498,-0.40939937487680567,1.0,-0.40117703376228425,0.0
2018-10-11,-0.23324213406292751,-0.7050341997264021,-0.0,-0.3897948016415869,1.0,-0.4079069767441861,0.0
2018-10-12,-0.24078126266310074,-0.701191344517384,-0.0,-0.3715860280411703,1.0,-0.387875840829889,0.0
2018-10-15,-0.22109320252277506,-0.7195838499272276,-0.0,-0.366907444342623,1.0,-0.38768799525632036,0.0
2018-10-16,-0.21941951653326866,-0.7220740022098256,-0.0,-0.3663459724580268,1.0,-0.3870967741935483,0.0
2018-10-17,-0.204723364733979,-0.694599973464243,-0.0,-0.362000796072708,1.0,-0.3922780947326522,0.0
2018-10-18,-0.20457982858810733,-0.6945365775997028,-0.0,-0.36206118820813543,1.0,-0.3922572770451349,0.0
2018-10-19,-0.19209708840098982,-0.6864371084083609,-0.0,-0.3625809508766388,1.0,-0.3914073606065393,0.0
2018-10-22,-0.1929838433357054,-0.6899923565535964,-0.0,-0.3618776521441185,1.0,-0.3908173216309533,0.0
2018-10-23,-0.19655190594189909,-0.6904623820319502,-0.0,-0.3594664417145569,1.0,-0.38967680708599145,0.0
2018-10-24,-0.19520223298925637,-0.6873025068464294,-0.0,-0.3595428691805351,1.0,-0.39116810617231934,0.0
2018-10-25,-0.17448770491803278,-0.6584016393442622,-0.0,-0.3590676229508196,1.0,-0.3695184426229508,0.0
2018-10-26,-0.16488929514523662,-0.6495023359739996,-0.0,-0.3610857200893764,1.0,-0.36362482226284787,0.0
2018-10-29,-0.15694953838371065,-0.6524345516630834,-0.0,-0.3561654230428734,1.0,-0.3638548121917289,0.0
2018-10-30,-0.15417488494411574,-0.6523289333940221,-0.0,-0.35616750113791534,1.0,-0.36602943407677135,0.0
2018-10-31,-0.15714357505402282,-0.6391024674606764,-0.0,-0.3541383989145183,1.0,-0.3623297653148399,0.0
2018-11-01,-0.13470446077937773,-0.6601802436814017,-0.0,-0.3567364817238949,1.0,-0.36574866579397847,0.0
2018-11-02,-0.14268494801868314,-0.6311586560192858,-0.0,-0.3728090000502235,1.0,-0.36452212344934964,0.0
2018-11-05,-0.14160202826518062,-0.6338830735246128,-0.0,-0.3728694429801441,1.0,-0.36189974144639403,0.0
2018-11-06,-0.14567957021639805,-0.6371441482150927,-0.0,-0.37008585630366014,1.0,-0.3575086609429131,0.0
2018-11-07,-0.14530858003010536,-0.6370546914199698,-0.0,-0.36924234821876567,1.0,-0.35717511289513293,0.0
2018-11-08,-0.13345789735924266,-0.6364723467862481,-0.0,-0.3633532635774789,1.0,-0.3580219232685601,0.0
2018-11-09,-0.13413934937055963,-0.6367942166271968,-0.0,-0.36333042502804436,1.0,-0.35856911379783124,0.0
2018-11-12,-0.13434358514979597,-0.6212799840748482,-0.0,-0.37448989748183537,1.0,-0.35819149995023386,0.0
2018-11-13,-0.11876156408042433,-0.6196126803996547,-0.0,-0.37419514000246706,1.0,-0.35443443937338104,0.0
2018-11-14,-0.12126385589865399,-0.6203236342042755,-0.0,-0.37710312747426755,1.0,-0.3556017418844022,0.0
2018-11-15,-0.12076360480971862,-0.6216437337300112,-0.0,-0.3773645717119128,1.0,-0.3594644849386389,0.0
2018-11-16,-0.12146773513285533,-0.6223236658644901,-0.0,-0.3777507628947826,1.0,-0.35941647852730296,0.0
2018-11-19,-0.1295233341652109,-0.6249064137758922,-0.0,-0.37881207886199153,1.0,-0.3624157723983029,0.0
2018-11-20,-0.09670613349219351,-0.6202248864397945,-0.0,-0.3839203713356666,1.0,-0.38133889343957106,0.0
2018-11-21,-0.10263669711218887,-0.6169772766439351,-0.0,-0.3825795809842685,1.0,-0.35970851079544053,0.0
2018-11-23,-0.10278003496589593,-0.6173696781660141,-0.0,-0.38245795474132627,1.0,-0.35977937012139566,0.0
2018-11-26,-0.10252307692307693,-0.6184123076923077,-0.0,-0.38166153846153844,1.0,-0.3589661538461538,0.0
