Date,IWF,IWM,MTUM,SIX,SPY,VLUE,VXX
2018-09-24,-0.34057191300661904,-0.8309041703348657,-0.0,1.0,-0.5707391828882584,-0.5184062082232873,0.0
2018-09-25,-0.34508397195499757,-0.829838578183597,-0.0,1.0,-0.5700962008804827,-0.5160280450024458,0.0
2018-09-26,-0.3508605457758,-0.8370852692886591,-0.0,1.0,-0.5728028270401152,-0.5112230874942739,0.0
2018-09-27,-0.35522485690923955,-0.829533932951758,-0.0,1.0,-0.5739983646770236,-0.5118887980376124,0.0
2018-09-28,-0.352789053293178,-0.8331805682859763,-0.0,1.0,-0.5747021081576535,-0.5128649993452927,0.0
2018-10-01,-0.3534341648661036,-0.8324166830354219,-0.0,1.0,-0.5750343743861717,-0.5128658416813985,0.0
2018-10-02,-0.3520099842354178,-0.849678139779296,-0.0,1.0,-0.5725170782974252,-0.5101156069364162,0.0
2018-10-03,-0.3557140027728263,-0.8649567571136199,-0.0,1.0,-0.5730177592922691,-0.507328183798772,0.0
2018-10-04,-0.35792286628616676,-0.8607436244267759,-0.0,1.0,-0.575566625977368,-0.5048992115073736,0.0
2018-10-05,-0.33812594591037703,-0.8526024873330262,-0.0,1.0,-0.5837665328683294,-0.5155951832598539,0.0
2018-10-08,-0.3354349325189636,-0.8493744458674022,-0.0,1.0,-0.5848684858634616,-0.5140708632975404,0.0
2018-10-09,-0.3329830553001445,-0.8493366609746485,-0.0,1.0,-0.5857414948115066,-0.5157953500591094,0.0
2018-10-10,-0.3325560773752833,-0.849781602023055,-0.0,1.0,-0.5857335216263261,-0.5160760616112188,0.0
2018-10-11,-0.25782824244362706,-0.8466975851591237,-0.0,1.0,-0.5644970414201184,-0.5294418679034064,0.0
2018-10-12,-0.2631445984779108,-0.8416332459658319,-0.0,1.0,-0.5457732023873433,-0.5073104493636909,0.0
2018-10-15,-0.2532144207739821,-0.849048279339468,-0.0,1.0,-0.5430480272280348,-0.5060821883272407,0.0
