Date,IWF,IWM,KMI,MTUM,SPY,VLUE,VXX
2018-09-24,-0.24945289265473317,-0.5893328096066438,1.0,-0.018264968295830762,-0.4888053420122328,-0.45982268110655966,0.0
2018-09-25,-0.24899643488757264,-0.5902647166156697,1.0,-0.017264127108890324,-0.4896555596103641,-0.4609943014344665,0.0
2018-09-26,-0.24912280701754383,-0.5904280701754385,1.0,-0.0176,-0.4895157894736842,-0.46035087719298246,0.0
2018-09-27,-0.2484045992521998,-0.594697928087487,1.0,-0.016727109161957774,-0.49025891878215394,-0.4611621826768997,0.0
2018-09-28,-0.2468931001518304,-0.5961311364786593,1.0,-0.01726367879435416,-0.4901591407524041,-0.46125513130517914,0.0
2018-10-01,-0.24627726952850104,-0.5985643912737508,1.0,-0.017733990147783252,-0.4902181562280084,-0.4620971147079521,0.0
2018-10-02,-0.2540295119182747,-0.5697786606129398,1.0,-0.0297105561861521,-0.5060158910329172,-0.47814982973893305,0.0
2018-10-03,-0.25394348615524287,-0.5681740807989105,1.0,-0.029675442578302316,-0.5063266000907852,-0.47892078983204717,0.0
2018-10-04,-0.2539371754490508,-0.56848557078403,1.0,-0.029993473510967338,-0.5060299083453931,-0.4791294231151216,0.0
2018-10-05,-0.24263083451202264,-0.5626308345120227,1.0,-0.0185007072135785,-0.5152192362093352,-0.4898444130127299,0.0
2018-10-08,-0.24202849389416553,-0.5619063772048847,1.0,-0.01755427408412483,-0.5156603346901854,-0.4896257349615558,0.0
2018-10-09,-0.23986983588002264,-0.5634408602150538,1.0,-0.010979060554612338,-0.5200339558573854,-0.4953310696095077,0.0
2018-10-10,-0.24633806422253193,-0.564862481868085,1.0,-0.015358798600642794,-0.5266645809038937,-0.49099803748684545,0.0
2018-10-11,-0.21606849047658883,-0.5584650994171616,1.0,-0.0,-0.518586686745308,-0.4955520232019855,0.0
2018-10-12,-0.21223820898838955,-0.5570523859785568,1.0,-0.0,-0.5162768735070274,-0.49202822065440804,0.0
2018-10-15,-0.19792128603104212,-0.5686529933481153,1.0,-0.0,-0.5132483370288249,-0.49179600886917957,0.0
2018-10-16,-0.19490562377006013,-0.5735746556168408,1.0,-0.0,-0.512347903212395,-0.4908949804595471,0.0
2018-10-17,-0.18414848119311328,-0.5537613773440071,1.0,-0.0,-0.5093486127864898,-0.4942976203531089,0.0
2018-10-18,-0.1835352815395581,-0.5526070508251549,1.0,-0.0,-0.5107462031909644,-0.4945172432699161,0.0
2018-10-19,-0.16936406735327775,-0.5429404392131219,1.0,-0.0,-0.5156394746880278,-0.4967031769385864,0.0
2018-10-22,-0.16936362645744796,-0.5367222403835676,1.0,-0.0,-0.5186335403726707,-0.4994824016563147,0.0
2018-10-23,-0.16226321722156545,-0.5445247848678966,1.0,-0.0,-0.5327303219420999,-0.5097737332636846,0.0
2018-10-24,-0.16195259251083088,-0.5518088247468198,1.0,-0.0,-0.535252076492177,-0.5104721432710615,0.0
2018-10-25,-0.1429073223453121,-0.5269656849500135,1.0,-0.0,-0.5380707916779249,-0.49402864090786275,0.0
2018-10-26,-0.1289103337354242,-0.5183755528749497,1.0,-0.0,-0.5449135504624045,-0.4883795737836751,0.0
2018-10-29,-0.11043452714793152,-0.5272547605693989,1.0,-0.0,-0.538124616083113,-0.49491226664530086,0.0
