Date,IWF,IWM,MTB,MTUM,SPY,VLUE,VXX
2018-09-24,-0.16584973885094415,-0.4445962233828847,1.0,-0.15628766572920852,-0.4327038971474488,-0.4790143297174233,0.0
2018-09-25,-0.16459844211657265,-0.4488853075476766,1.0,-0.15243083534783777,-0.43639538006983614,-0.4837228041901692,0.0
2018-09-26,-0.16409925531628894,-0.4487458666021453,1.0,-0.15022716885770357,-0.43769658843455117,-0.4876199693523671,0.0
2018-09-27,-0.16440896629575874,-0.44775036284470243,1.0,-0.15051335806052787,-0.4375907111756169,-0.4874751384185346,0.0
2018-09-28,-0.16153866860480767,-0.4523674930684541,1.0,-0.15104040485611994,-0.43847748257019037,-0.4884653691889419,0.0
2018-10-01,-0.16293662977027282,-0.4514556569981956,1.0,-0.1507635129676012,-0.4394441302415772,-0.4885944359160809,0.0
2018-10-02,-0.16361922714420357,-0.44680220815941835,1.0,-0.1524707149589336,-0.4403662313181635,-0.48961895785646964,0.0
2018-10-03,-0.16343617078554892,-0.4408280837775265,1.0,-0.15156409842244117,-0.44268561890916924,-0.49359284983578317,0.0
2018-10-04,-0.16254112063851586,-0.4449387909184058,1.0,-0.1514587715040716,-0.4412986032465081,-0.49619802620935116,0.0
2018-10-05,-0.1481261795632246,-0.4389592882178485,1.0,-0.13823132919924508,-0.4563494203289296,-0.5144782960366675,0.0
2018-10-08,-0.14680702132242085,-0.4369211716562567,1.0,-0.1362804221408572,-0.4580012922679302,-0.5142149472323929,0.0
2018-10-09,-0.144248145650708,-0.4392987188132164,1.0,-0.12795684423465947,-0.4638705327039784,-0.5218341200269724,0.0
2018-10-10,-0.144190060135372,-0.4389882156244101,1.0,-0.12806407248604482,-0.46398619313432027,-0.5214249116845995,0.0
2018-10-11,-0.1132947671500647,-0.4356922101592836,1.0,-0.09522677444065826,-0.46060173811976646,-0.5367039120902343,0.0
2018-10-12,-0.10921160076916997,-0.43473908805942624,1.0,-0.09214234912941548,-0.46055369702078336,-0.537497036588257,0.0
2018-10-15,-0.0906403420788682,-0.4722324869344877,1.0,-0.06392862798923085,-0.4653697935913002,-0.5473261890935965,0.0
2018-10-16,-0.08905086357154175,-0.4801404954312576,1.0,-0.05823165900808113,-0.4660117255585486,-0.5474568214229124,0.0
2018-10-17,-0.07771682340647858,-0.45425809822361546,1.0,-0.04391327063740857,-0.4718913270637409,-0.5645506792058517,0.0
2018-10-18,-0.07616172223680756,-0.4534260960882121,1.0,-0.0457600420057758,-0.4812811761617222,-0.5687056970333421,0.0
