Date,BEN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.22773768434264202,-0.5387197991841858,-0.03514276749294007,-0.6142767492940069,-0.7219014747411359,0.0
2018-09-25,1.0,-0.22701005025125626,-0.5405464824120603,-0.03332286432160804,-0.615860552763819,-0.7239949748743718,0.0
2018-09-26,1.0,-0.2266981875492514,-0.5421907013396375,-0.027801418439716313,-0.6205831363278173,-0.7348463356973995,0.0
2018-09-27,1.0,-0.22744171392564588,-0.5397920604914934,-0.02851291745431632,-0.6203528670447385,-0.7345305608065532,0.0
2018-09-28,1.0,-0.22594366374692795,-0.5413069506585166,-0.02908185771000063,-0.6201398953935345,-0.7343562921419119,0.0
2018-10-01,1.0,-0.2308300395256917,-0.5416284584980238,-0.02814229249011858,-0.6249169960474309,-0.7365375494071147,0.0
2018-10-02,1.0,-0.2319074267286351,-0.5333712731986467,-0.031363621992475256,-0.6266401087609471,-0.7383413955547123,0.0
2018-10-03,1.0,-0.23165413058593012,-0.5273370836230328,-0.030655457935655144,-0.6287213197648696,-0.742020099867265,0.0
2018-10-04,1.0,-0.23548743877389794,-0.5215989887817981,-0.03131616369094644,-0.6334650023700427,-0.7381892874071733,0.0
2018-10-05,1.0,-0.21974170324291892,-0.5140673845085099,-0.01512520130095677,-0.6500363131137704,-0.7586914648394328,0.0
2018-10-08,1.0,-0.21803562982815705,-0.5112407378212203,-0.011666403909821852,-0.6534132114141573,-0.7587576856377108,0.0
2018-10-09,1.0,-0.2151366724601043,-0.5143940590930637,-0.0015800284405119293,-0.6607678938220888,-0.7681782272080897,0.0
2018-10-10,1.0,-0.21459281740010117,-0.5153641881638846,-0.0004425897824987354,-0.6611026808295397,-0.7698849266565504,0.0
2018-10-11,1.0,-0.16520259820600064,-0.5003093102381689,-0.0,-0.6474172595112898,-0.7801732137333747,0.0
2018-10-12,1.0,-0.16017089813733323,-0.4941599557386119,-0.0,-0.6424048687526894,-0.7770025204401549,0.0
2018-10-15,1.0,-0.1380273048013499,-0.5128700720969473,-0.0,-0.6385335174106458,-0.7785549930971007,0.0
2018-10-16,1.0,-0.1290213342363698,-0.5332943385771018,-0.0,-0.6383031123972539,-0.7779146014838532,0.0
2018-10-17,1.0,-0.11632721405303377,-0.5105184643955308,-0.0,-0.6350351630285871,-0.7825372180107772,0.0
2018-10-18,1.0,-0.11527324819409308,-0.5085190039318479,-0.0,-0.6399768356243714,-0.784175073912646,0.0
2018-10-19,1.0,-0.10461940026708753,-0.5020638582008013,-0.0,-0.6414653393225689,-0.7869369916231638,0.0
2018-10-22,1.0,-0.10526636596367182,-0.488236011215409,-0.0,-0.6551261733512129,-0.7990674143605997,0.0
2018-10-23,1.0,-0.10044042084658675,-0.49143626131636897,-0.0,-0.6624969415218988,-0.8040738928309275,0.0
2018-10-24,1.0,-0.09811770457740024,-0.4886328912791053,-0.0,-0.6630507853083175,-0.8059035629163356,0.0
2018-10-25,1.0,-0.06680180045905744,-0.45097922317941996,-0.0,-0.6763048856827735,-0.7868065698870242,0.0
2018-10-26,1.0,-0.0667400946625785,-0.44961747983210787,-0.0,-0.6756467121126425,-0.784776590361087,0.0
2018-10-29,1.0,-0.04496781656927595,-0.45863613442885537,-0.0,-0.6683771838756564,-0.79423367840299,0.0
