Date,IWF,IWM,MTUM,PBW,SPY,VLUE,VXX
2018-09-24,-0.2325875179165756,-0.4928698102665015,-0.12907222505648275,1.0,-0.2833369773826009,-0.2914753540801205,0.0
2018-09-25,-0.2320482279157956,-0.49387427682434726,-0.1278866255043998,1.0,-0.28428703388594484,-0.29277067431571785,0.0
2018-09-26,-0.23173114497850722,-0.49557932786244624,-0.12221570926143024,1.0,-0.2891021883548261,-0.30373192653380227,0.0
2018-09-27,-0.23136699086066176,-0.4971409022041934,-0.12186598895459655,1.0,-0.28933092224231466,-0.30396852548751285,0.0
2018-09-28,-0.22986679701820847,-0.49849688378345347,-0.12220457045093487,1.0,-0.2893804228278138,-0.3041182940241965,0.0
2018-10-01,-0.23056051235669411,-0.49778777286171744,-0.12210027133393629,1.0,-0.28983842186315967,-0.3041384536410081,0.0
2018-10-02,-0.23151950718685832,-0.4894152732961768,-0.12503666764447052,1.0,-0.292021120563215,-0.30654150777354067,0.0
2018-10-03,-0.23156915999902128,-0.4799970637891801,-0.12317404389635177,1.0,-0.2973647507891067,-0.3147373314737331,0.0
2018-10-04,-0.23290854389354987,-0.4773622287992564,-0.12344984467871731,1.0,-0.2991218844018296,-0.3131374899102316,0.0
2018-10-05,-0.24061261172530965,-0.4880703223105902,-0.1260187624652205,1.0,-0.2977371777509664,-0.30982690271587915,0.0
2018-10-08,-0.24147797345962213,-0.49030634897143704,-0.12678210251097627,1.0,-0.29737062799072567,-0.3106408169305905,0.0
2018-10-09,-0.24000690880378997,-0.4909938807737861,-0.12272996446900909,1.0,-0.29976806158705094,-0.3139311093564943,0.0
2018-10-10,-0.23930018780270831,-0.4934763269743995,-0.12091034891766335,1.0,-0.30018780270831275,-0.3172136008698231,0.0
2018-10-11,-0.22607783847054233,-0.4934159188451034,-0.1046137339055794,1.0,-0.29452789699570814,-0.3199375731564573,0.0
2018-10-12,-0.22988227900118446,-0.49058473736372643,-0.10406342913776015,1.0,-0.2839082404699171,-0.3088302835456502,0.0
2018-10-15,-0.2304754538203089,-0.4900050760194339,-0.10434845664837687,1.0,-0.28379782939740394,-0.30854946701795943,0.0
2018-10-16,-0.22770306355294462,-0.510608341020537,-0.09054716706316454,1.0,-0.287638976549983,-0.3110161674030199,0.0
2018-10-17,-0.22611495811340857,-0.5073362064791052,-0.08924507287782674,1.0,-0.2869836811776669,-0.31151033848239795,0.0
2018-10-18,-0.2277201318851823,-0.5104489914662529,-0.08773758727695888,1.0,-0.28617145073700545,-0.3122818076027929,0.0
2018-10-19,-0.224387769888422,-0.5085736366710139,-0.08445635898179009,1.0,-0.2859971984736512,-0.3116939573974787,0.0
2018-10-22,-0.2241066898601145,-0.5097001763668431,-0.08603319562223673,1.0,-0.2851586093595226,-0.3110096397767631,0.0
2018-10-23,-0.22315489005539563,-0.5110428409008443,-0.08270640315440625,1.0,-0.2887587991968843,-0.3133602651249425,0.0
2018-10-24,-0.22291545753530664,-0.511559295801896,-0.08193074095569743,1.0,-0.2885954730121881,-0.3132617527568195,0.0
2018-10-25,-0.2126295722625998,-0.4975574883831765,-0.080757774335756,1.0,-0.2894554986298105,-0.3025378291433337,0.0
2018-10-26,-0.20754359363153904,-0.4930344958301744,-0.07351686884003032,1.0,-0.2948730098559515,-0.3002985216072782,0.0
2018-10-29,-0.2000802871446113,-0.4991971285538868,-0.06725229054500802,1.0,-0.2908519882875224,-0.3040049116841409,0.0
2018-10-30,-0.19461565710237336,-0.5002243476207344,-0.06345495335931044,1.0,-0.2924548352816153,-0.3108041091037903,0.0
2018-10-31,-0.19401214651736573,-0.5076390206870374,-0.062013664832036436,1.0,-0.29495634845321694,-0.31374549250332134,0.0
2018-11-01,-0.19711686892915667,-0.5043341962144061,-0.0650248177262688,1.0,-0.29482033866103025,-0.31358206473982947,0.0
2018-11-02,-0.19716436696986248,-0.5042154511126417,-0.06509606478732752,1.0,-0.29484408768138315,-0.31358206473982947,0.0
