Date,IWF,IWM,MTUM,SPY,TRTX,VLUE,VXX
2018-09-24,-0.14893121199923734,-0.4375145647522403,-0.0,-0.2769527360549118,1.0,-0.25511090396796815,0.0
2018-09-25,-0.15032084542239355,-0.4368580444312671,-0.0,-0.2764988669815117,1.0,-0.25413498803447765,0.0
2018-09-26,-0.14993751720924323,-0.4366170334441785,-0.0,-0.27659754728570524,1.0,-0.254929786287675,0.0
2018-09-27,-0.14905988710156612,-0.44032511353507914,-0.0,-0.27719536522218924,1.0,-0.25559186791732097,0.0
2018-09-28,-0.15458988752054295,-0.4409322775489296,-0.0,-0.2805369986980556,1.0,-0.25829722749877276,0.0
2018-10-01,-0.15427509293680297,-0.44257146519676965,-0.0,-0.2806905097637055,1.0,-0.25894116138956547,0.0
2018-10-02,-0.15349882302589343,-0.44962550823881875,-0.0,-0.2793280547827948,1.0,-0.2575005349882303,0.0
2018-10-03,-0.15298874673740961,-0.44409738564888107,-0.0,-0.2812887766890591,1.0,-0.2610286252192888,0.0
2018-10-04,-0.15468349016253208,-0.44123182207014544,-0.0,-0.28331907613344737,1.0,-0.25934559452523526,0.0
2018-10-05,-0.14897242040251304,-0.4384836545628793,-0.0,-0.2829091683526781,1.0,-0.2593547013097647,0.0
2018-10-08,-0.1471025891756303,-0.43618468602525406,-0.0,-0.28402278814676246,1.0,-0.258449895837762,0.0
2018-10-09,-0.1438507678563832,-0.4362955715318841,-0.0,-0.28561705024035394,1.0,-0.26124133236908154,0.0
2018-10-10,-0.1447281695830587,-0.4356515637956328,-0.0,-0.2860757340590649,1.0,-0.2597112665575234,0.0
2018-10-11,-0.11508331260880378,-0.427464146563873,-0.0,-0.27192655226726353,1.0,-0.25799966840752714,0.0
2018-10-12,-0.11424935342173324,-0.4241963955827415,-0.0,-0.26450182684018225,1.0,-0.24968184244016584,0.0
2018-10-15,-0.09654352859221013,-0.4411457372917819,-0.0,-0.2610691089392915,1.0,-0.25012805540188904,0.0
2018-10-16,-0.089296749474725,-0.4583899806369217,-0.0,-0.26173114159766,1.0,-0.25046347793845014,0.0
2018-10-17,-0.08269618936938039,-0.4457561114849022,-0.0,-0.2588945297367831,1.0,-0.25153424266519864,0.0
2018-10-18,-0.08206215841422627,-0.44457133534546045,-0.0,-0.26076759931478916,1.0,-0.2519373521494412,0.0
2018-10-19,-0.07492001781881504,-0.4399019965172316,-0.0,-0.2599724618312882,1.0,-0.2500708702871259,0.0
2018-10-22,-0.07489067055393586,-0.4355563654033041,-0.0,-0.2621072238419177,1.0,-0.2520448655652737,0.0
2018-10-23,-0.07576616331322618,-0.4355086838589531,-0.0,-0.2613456945062953,1.0,-0.2516092465892069,0.0
2018-10-24,-0.07470230273133452,-0.4345066008935972,-0.0,-0.2610031740897236,1.0,-0.25152133918282354,0.0
2018-10-25,-0.05849082632087184,-0.41290424294976646,-0.0,-0.2633663756577262,1.0,-0.23593402045602346,0.0
2018-10-26,-0.05200446087926278,-0.40719218954823816,-0.0,-0.2651484024965272,1.0,-0.23220050478370607,0.0
2018-10-29,-0.048261191990944925,-0.4081417587135553,-0.0,-0.2633972132235276,1.0,-0.2317239764255884,0.0
2018-10-30,-0.039880534082923406,-0.40878035449363637,-0.0,-0.2642890606699462,1.0,-0.23912703990005468,0.0
2018-10-31,-0.0419004718171757,-0.40001553307574317,-0.0,-0.26299438867638775,1.0,-0.2367046579810885,0.0
2018-11-01,-0.03187196896217265,-0.407972841901067,-0.0,-0.262890397672163,1.0,-0.2371096023278371,0.0
2018-11-02,-0.03620809516452959,-0.3897342808589526,-0.0,-0.27025722230804883,1.0,-0.23487949945929246,0.0
2018-11-05,-0.03432498696886041,-0.39496901484584646,-0.0,-0.27071951195969035,1.0,-0.2305256858240507,0.0
2018-11-06,-0.032910756386967104,-0.3940207938777876,-0.0,-0.27256213040621496,1.0,-0.2330421675105322,0.0
2018-11-07,-0.03231854643858123,-0.39514835217937566,-0.0,-0.2720208756161206,1.0,-0.233439644341355,0.0
