Date,IWF,IWM,MTUM,PDM,SPY,VLUE,VXX
2018-09-24,-0.2554808535515931,-0.5687597991018044,-0.0,1.0,-0.45390768249581465,-0.37923520501714014,0.0
2018-09-25,-0.25306057130664394,-0.5730936441469074,-0.0,1.0,-0.4572053449977329,-0.38380497692902676,0.0
2018-09-26,-0.25334720221902174,-0.5733717394783165,-0.0,1.0,-0.4571664799701286,-0.3831813090094415,0.0
2018-09-27,-0.2521662387676509,-0.5794287548138639,-0.0,1.0,-0.45830658964484383,-0.3844405220367993,0.0
2018-09-28,-0.25314356038311303,-0.5790304457167318,-0.0,1.0,-0.45853175664829576,-0.3846915297768741,0.0
2018-10-01,-0.2528165236051502,-0.5834227467811158,-0.0,1.0,-0.4594688841201716,-0.3866684549356223,0.0
2018-10-02,-0.25172701126253255,-0.5940649947584872,-0.0,1.0,-0.4575168669193344,-0.38464639948391255,0.0
2018-10-03,-0.2511419205760653,-0.5879681874361867,-0.0,1.0,-0.4594282336503842,-0.3883067333010909,0.0
2018-10-04,-0.25529512955596173,-0.5825717664767229,-0.0,1.0,-0.46486936888506614,-0.3851467584130739,0.0
2018-10-05,-0.2486069438491213,-0.5797524646378054,-0.0,1.0,-0.46536112301757393,-0.38523360480068586,0.0
2018-10-08,-0.24588716796404783,-0.5766257389722601,-0.0,1.0,-0.46807372335018593,-0.384399325896798,0.0
2018-10-09,-0.23875702266068116,-0.5799037660277949,-0.0,1.0,-0.47506787451950216,-0.39437111905593936,0.0
2018-10-10,-0.23985596818401678,-0.5790831407534798,-0.0,1.0,-0.4757349384640189,-0.39248669855430746,0.0
2018-10-11,-0.1913731842407775,-0.5686330860068973,-0.0,1.0,-0.458198348834779,-0.3943985787438604,0.0
2018-10-12,-0.18779086394717,-0.5675584327795543,-0.0,1.0,-0.4551647037412578,-0.3893872032862751,0.0
2018-10-15,-0.16558938815772395,-0.588817070321626,-0.0,1.0,-0.4513667159878514,-0.3900786543104119,0.0
2018-10-16,-0.1607732079295383,-0.5977811842344566,-0.0,1.0,-0.45046636701395204,-0.3891501467951882,0.0
2018-10-17,-0.1532820420451329,-0.5834598461261354,-0.0,1.0,-0.4469032241463603,-0.3895221676144405,0.0
2018-10-18,-0.15311977357519618,-0.5834040910845234,-0.0,1.0,-0.44698314679017115,-0.38950212273253565,0.0
2018-10-19,-0.1413468168237187,-0.5753466636022371,-0.0,1.0,-0.44863249827625834,-0.3883653821599121,0.0
2018-10-22,-0.14129962977147964,-0.5692837993106089,-0.0,1.0,-0.45155112983531215,-0.391165581514107,0.0
2018-10-23,-0.14181771764105183,-0.5692111309675773,-0.0,1.0,-0.4510850140413582,-0.3908603523104417,0.0
2018-10-24,-0.14026722423377022,-0.5664235810087206,-0.0,1.0,-0.45139986740782295,-0.3917588862257127,0.0
2018-10-25,-0.11056676033921066,-0.5339335007833678,-0.0,1.0,-0.470816443261794,-0.3715649946532043,0.0
2018-10-26,-0.10210876803551609,-0.5259834751510668,-0.0,1.0,-0.47211740041928724,-0.3661857195708472,0.0
2018-10-29,-0.1056100703736743,-0.5271335117454654,-0.0,1.0,-0.4790117950242839,-0.3661909009812667,0.0
2018-10-30,-0.08791591084163705,-0.5304773500981537,-0.0,1.0,-0.48274234028278207,-0.38376860572024946,0.0
