Date,IQI,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.09616132167152576,-0.22003563330093945,-0.0,-0.16148364107547783,-0.14203109815354714,0.0
2018-09-25,1.0,-0.09582604186920733,-0.22034804588761422,-0.0,-0.16172467431460236,-0.14242659926113163,0.0
2018-09-26,1.0,-0.09523269196479227,-0.2200158856235107,-0.0,-0.16193610088991914,-0.1437973124118591,0.0
2018-09-27,1.0,-0.09571727188760877,-0.21893280184077912,-0.0,-0.16197559671382042,-0.14377845834751188,0.0
2018-09-28,1.0,-0.09486294152928398,-0.22005543938141323,-0.0,-0.16211966477005624,-0.14401270891082688,0.0
2018-10-01,1.0,-0.09471447801618581,-0.22069770836374253,-0.0,-0.16214988890510712,-0.14426117841677616,0.0
2018-10-02,1.0,-0.09592485642905811,-0.21639466597449794,-0.0,-0.16389799162908406,-0.14605301580091495,0.0
2018-10-03,1.0,-0.09562114823224131,-0.213509568602011,-0.0,-0.16483944210184884,-0.14782679208563085,0.0
2018-10-04,1.0,-0.09813084112149532,-0.2102803738317757,-0.0,-0.16825674974039462,-0.14584955867082036,0.0
2018-10-05,1.0,-0.10119792597890219,-0.21362742389025238,-0.0,-0.1670919818604424,-0.1434747980430083,0.0
2018-10-08,1.0,-0.10019471036832713,-0.21216939802044457,-0.0,-0.16740223916923577,-0.1428200551679377,0.0
2018-10-09,1.0,-0.10234468872795767,-0.21287305556457636,-0.0,-0.16698600331244115,-0.14154190887539375,0.0
2018-10-10,1.0,-0.10195995648149651,-0.21309452283909522,-0.0,-0.16683175551694462,-0.14193852199470633,0.0
2018-10-11,1.0,-0.08578089317432123,-0.20467520933773156,-0.0,-0.15681299162649073,-0.13862281146917027,0.0
2018-10-12,1.0,-0.08704161838850093,-0.19955845050574642,-0.0,-0.14907775655278238,-0.1300848651864842,0.0
2018-10-15,1.0,-0.08475264852026626,-0.20045938935591737,-0.0,-0.14800462514453577,-0.12934779211850372,0.0
2018-10-16,1.0,-0.08495077355836848,-0.2002656665103922,-0.0,-0.1481012658227848,-0.12944210032817627,0.0
2018-10-17,1.0,-0.0791018944896004,-0.18855270884198164,-0.0,-0.1462125660598943,-0.13139351608616373,0.0
2018-10-18,1.0,-0.0788245836294534,-0.187930661557952,-0.0,-0.14680344838241202,-0.1314309551030498,0.0
2018-10-19,1.0,-0.07446678107379259,-0.1825968374601618,-0.0,-0.1456698945820054,-0.12950478058347634,0.0
2018-10-22,1.0,-0.07437826573297988,-0.18018418350929344,-0.0,-0.1469943764269625,-0.13073658080630085,0.0
2018-10-23,1.0,-0.07368743772514755,-0.18034797271403388,-0.0,-0.14771211772821338,-0.13117191691576607,0.0
2018-10-24,1.0,-0.07318268862504787,-0.17711221754117196,-0.0,-0.14854078896974338,-0.13314438912294138,0.0
2018-10-25,1.0,-0.06447792519301401,-0.16285136046773105,-0.0,-0.14859455812907577,-0.12321415186267895,0.0
2018-10-26,1.0,-0.05904168962897868,-0.15902828460358362,-0.0,-0.15071716885863656,-0.12067501750100536,0.0
2018-10-29,1.0,-0.05401280303479344,-0.15977120502637662,-0.0,-0.1471904451425523,-0.1208582775176338,0.0
2018-10-30,1.0,-0.04988517667975405,-0.15990814134380324,-0.0,-0.14746277502037186,-0.12433513593599524,0.0
2018-10-31,1.0,-0.051863642392890305,-0.1524959101560773,-0.0,-0.14682171228132232,-0.12263636497619787,0.0
2018-11-01,1.0,-0.05254544650360475,-0.15212231117401623,-0.0,-0.14694738083654,-0.12272398897194331,0.0
2018-11-02,1.0,-0.054913761467889906,-0.14141651376146788,-0.0,-0.1505467889908257,-0.12101284403669724,0.0
2018-11-05,1.0,-0.056157316911861974,-0.1386663923222763,-0.0,-0.15074734351346983,-0.12413103863846799,0.0
2018-11-06,1.0,-0.056791792821658485,-0.13917222728475265,-0.0,-0.1503130603486287,-0.12348981451541785,0.0
2018-11-07,1.0,-0.056635373969765083,-0.1391716984735628,-0.0,-0.14995519120866205,-0.12336374454581515,0.0
2018-11-08,1.0,-0.05366760332513757,-0.1384059243648285,-0.0,-0.1482115677321157,-0.12325840065566093,0.0
2018-11-09,1.0,-0.052285084496693605,-0.14057310800881703,-0.0,-0.1519911829537105,-0.12465833945628214,0.0
