Date,HASI,IWF,IWM,MTUM,SDY,SPY,USMV,VLUE,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-01-02,1.0,-0.0,-0.3507376523412444,-0.0,-0.02023733162283515,-0.0,-0.455516356638871,-0.0,-0.11834509300833868,-0.10679923027581784,-0.0,-0.0,-0.0,-0.0,-0.34515715202052594,-0.1811417575368826,-0.6292174470814624,-0.0,-0.0
2019-01-03,1.0,-0.0,-0.3989118461897927,-0.0,-0.0,-0.0,-0.29633832904970125,-0.0,-0.14399679562068157,-0.1919289695917754,-0.053740111485697115,-0.0,-0.0,-0.0,-0.47818685536900424,-0.044026836676791616,-0.7307653793517808,-0.0,-0.0
2019-01-04,1.0,-0.0,-0.4294093575228482,-0.0,-0.0,-0.0,-0.18520665666348382,-0.0,-0.04003546583003683,-0.21763743009139272,-0.11314963852134771,-0.0,-0.0,-0.0,-0.5090710680671122,-0.13514527349611238,-0.7805210748874641,-0.0,-0.0
2019-01-07,1.0,-0.0,-0.3908226810881678,-0.0,-0.0,-0.0,-0.24051130776794497,-0.0,-0.0,-0.16922320550639136,-0.12336938708620125,-0.0,-0.0,-0.0,-0.46060308095706326,-0.20527695837430354,-0.6878072763028515,-0.0,-0.0
2019-01-08,1.0,-0.0,-0.4159324039978959,-0.0,-0.0,-0.0,-0.22396107311941085,-0.0,-0.0,-0.1587322461862178,-0.13358100999473962,-0.0,-0.0,-0.0,-0.4466728037874803,-0.23060231457127828,-0.6782614413466597,-0.0,-0.0
2019-01-09,1.0,-0.0,-0.4009264696287597,-0.0,-0.0,-0.0,-0.24766751484308738,-0.0,-0.0,-0.14702812031056306,-0.1380896457232335,-0.0,-0.0,-0.0,-0.4534807855418543,-0.2168721863378352,-0.658152280289685,-0.0,-0.0
2019-01-10,1.0,-0.0,-0.3894802549444773,-0.0,-0.0,-0.0,-0.25619291674880085,-0.0,-0.0,-0.16042446941323346,-0.12214994414876142,-0.0,-0.0,-0.0,-0.4824232866811223,-0.20842368092515934,-0.6663052762993626,-0.0,-0.0
2019-01-11,1.0,-0.0,-0.3823106110166165,-0.0,-0.0,-0.0,-0.24937851628941515,-0.0,-0.0,-0.1685856339133848,-0.12311919403375639,-0.0,-0.0,-0.0,-0.5044158053120503,-0.18703388721706138,-0.6561232500327097,-0.0,-0.0
2019-01-14,1.0,-0.0,-0.38424547744446985,-0.0,-0.0,-0.0,-0.2518564558866826,-0.0,-0.0,-0.16546174228793875,-0.12185547450031076,-0.0,-0.0,-0.0,-0.5077365958978048,-0.18829533187215805,-0.6518368281592463,-0.0,-0.0
2019-01-15,1.0,-0.0,-0.36542577339645893,-0.0,-0.0,-0.0,-0.25072961930086257,-0.0,-0.0,-0.1636941435890784,-0.13022893832284843,-0.0,-0.0,-0.0,-0.5154679291782865,-0.21123289448083535,-0.6059731500097283,-0.0,-0.0
2019-01-16,1.0,-0.0,-0.3632671480144404,-0.0,-0.0,-0.0,-0.24310211449200617,-0.0,-0.03365136668385765,-0.12706291903042805,-0.1414066529138731,-0.0,-0.0,-0.0,-0.5109914904589995,-0.2196686436307375,-0.584192882929345,-0.0,-0.0
2019-01-17,1.0,-0.0,-0.3549801696062941,-0.0,-0.0,-0.0,-0.2469287073162867,-0.0,-0.03169638538677329,-0.1320736465353239,-0.14197272111695095,-0.0,-0.0,-0.0,-0.5193306032953923,-0.21636088092090414,-0.5810789023957695,-0.0,-0.0
