Date,IWF,IWM,MTUM,ROKU,SPY,VLUE,VXX
2018-09-24,-1.473948641607741,-2.705991812430219,-0.6508187569780424,1.0,-1.87430219575735,-1.5989951618905842,0.0
2018-09-25,-1.4786531485443215,-2.701330108827086,-0.6586364059157288,1.0,-1.8704306576132452,-1.592503022974607,0.0
2018-09-26,-1.4786976744186047,-2.7015813953488372,-0.6584186046511628,1.0,-1.8706976744186048,-1.5929302325581396,0.0
2018-09-27,-1.4852203011712215,-2.683305447109128,-0.66359918200409,1.0,-1.8709797360104108,-1.5923963562000372,0.0
2018-09-28,-1.4850822567153081,-2.682405428013756,-0.664281067013663,1.0,-1.870527000650618,-1.5922483502184217,0.0
2018-10-01,-1.492962997483456,-2.685618417373474,-0.6645540124895144,1.0,-1.879205890576941,-1.598098611240563,0.0
2018-10-02,-1.5119774542038515,-2.6515735086895256,-0.6863316110850164,1.0,-1.9127289807421326,-1.6313762329732269,0.0
2018-10-03,-1.5212585034013604,-2.6818783068783065,-0.6902872260015117,1.0,-1.9203514739229024,-1.6343537414965985,0.0
2018-10-04,-1.524865527979617,-2.6691516466924603,-0.6916108332546947,1.0,-1.9242238369349818,-1.6267811644805132,0.0
2018-10-05,-1.5126469205453692,-2.670145745181006,-0.6705218617771509,1.0,-1.9257169722614011,-1.6239774330042314,0.0
2018-10-08,-1.5081228284345947,-2.6629730491125927,-0.6588412057470185,1.0,-1.9367076720818857,-1.6239083482017092,0.0
2018-10-09,-1.509111403343979,-2.6647567161375165,-0.6593086605297764,1.0,-1.9369716325380426,-1.6231448431335713,0.0
2018-10-10,-1.5090157776108188,-2.665007513148009,-0.6584335086401202,1.0,-1.9371712997746056,-1.6218069120961682,0.0
2018-10-11,-1.3763880252287464,-2.5658701252553966,-0.541529714844097,1.0,-1.8316603002576175,-1.5680021320067512,0.0
2018-10-12,-1.4022988505747125,-2.5563744845134684,-0.5298762832324295,1.0,-1.7821356497323857,-1.5035535667280864,0.0
2018-10-15,-1.3942181340341657,-2.5710030661410426,-0.5123959702146299,1.0,-1.7818659658344282,-1.5010074463425316,0.0
2018-10-16,-1.3903381642512076,-2.6058849363197187,-0.4916117698726394,1.0,-1.7886693017127797,-1.5069828722002634,0.0
2018-10-17,-1.3432039252819146,-2.505466127227339,-0.43944219678058016,1.0,-1.7850563828871482,-1.5349057415856073,0.0
2018-10-18,-1.3511971648370644,-2.523813639899732,-0.43409110554066904,1.0,-1.7906474198288531,-1.544040107182989,0.0
2018-10-19,-1.3244812569379216,-2.4980787293997095,-0.4063700794125181,1.0,-1.7831098966783365,-1.5268550935018357,0.0
2018-10-22,-1.3247497647360766,-2.507571220805886,-0.41526221233638466,1.0,-1.781161776028745,-1.5263067841560443,0.0
2018-10-23,-1.3258936206601675,-2.505985975714041,-0.41910381392166923,1.0,-1.7770651616213442,-1.5233453052847614,0.0
2018-10-24,-1.3303968525487513,-2.5017105713308245,-0.4013000342114267,1.0,-1.7856654122476907,-1.5337837837837838,0.0
2018-10-25,-1.2345356618247103,-2.3605353354006855,-0.37163375224416517,1.0,-1.768973396441978,-1.424922474294108,0.0
2018-10-26,-1.2006608107019099,-2.332742364412926,-0.3234748972519945,1.0,-1.7920058022403094,-1.4097832218551052,0.0
2018-10-29,-1.1640819606267576,-2.3725190839694656,-0.2831659300924066,1.0,-1.7819204499799117,-1.4337484933708315,0.0
