Date,BCEL,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-02-18,1.0,-6.63527321190582,-5.991559306974678,-13.574411372723235,-11.268325188804976,-5.955131052865394,0.0
2020-02-19,1.0,-6.705329153605016,-6.052395879982087,-13.715181370353784,-11.368562472010748,-5.94088669950739,0.0
2020-02-20,1.0,-6.688819039066008,-6.0673551863493485,-13.789402784014367,-11.398293668612483,-5.95958688819039,0.0
2020-02-21,1.0,-6.7142857142857135,-6.319246669728984,-14.140560404226,-11.664676159853007,-6.096463022508038,0.0
2020-02-24,1.0,-6.257015590200446,-6.168819599109131,-13.837861915367482,-11.3456570155902,-5.934521158129175,0.0
2020-02-25,1.0,-5.1039525691699605,-5.844268774703557,-12.886166007905137,-9.736363636363636,-4.95494071146245,0.0
2020-02-26,1.0,-4.817555313746826,-5.110264780558578,-12.093579978237214,-9.055132390279288,-4.194776931447225,0.0
2020-02-27,1.0,-5.039056742815033,-5.0814296241709656,-12.2689756816507,-9.289240972733971,-4.167280766396463,0.0
2020-02-28,1.0,-4.201575837163493,-5.345370978332238,-10.773145108338804,-7.847997373604728,-3.6621799080761654,0.0
2020-03-02,1.0,-4.569486918110771,-5.233775059463133,-11.11111111111111,-8.263676520557254,-3.800883452259599,0.0
2020-03-03,1.0,-4.270904146838885,-6.2695445275322905,-10.473147518694764,-8.126104690686608,-3.8507817811012917,0.0
2020-03-04,1.0,-3.8183930942895086,-6.584993359893757,-10.7101593625498,-7.7300796812749,-3.3569057104913678,0.0
2020-03-05,1.0,-2.951095670764297,-5.931320149652592,-8.314537680384822,-6.033404596472474,-2.493319080705505,0.0
2020-03-06,1.0,-2.6765208893232346,-5.415831908135842,-7.7752259956022485,-5.396530662106034,-2.1678475445883216,0.0
2020-03-09,1.0,-2.687333494792928,-5.295713247759748,-7.772826350205861,-5.34657302010172,-2.11673528699443,0.0
2020-03-10,1.0,-2.9961639058413256,-2.6224934612031388,-5.94768962510898,-3.9145597210113343,-0.9557105492589364,0.0
2020-03-11,1.0,-2.640952210488634,-3.522104886343297,-6.376051548236978,-3.7316985860032217,-0.6280651512439592,0.0
2020-03-12,1.0,-2.5918958031837915,-2.7329152596880526,-5.748351825052259,-3.498954815886798,-0.5076378839041646,0.0
2020-03-13,1.0,-2.3312048192771084,-1.6740963855421684,-4.224819277108434,-2.650722891566265,-0.1672289156626506,0.0
2020-03-16,1.0,-1.8055009823182708,-1.795470995760521,-3.601178781925344,-2.1380415675731568,-0.0,0.0
2020-03-17,1.0,-1.5598597428619136,-1.2347637335114376,-2.341292369343797,-1.8656703957254968,-0.3469694439806312,0.0
2020-03-18,1.0,-1.5318500206015657,-1.3356407086938606,-2.1322620519159456,-1.8761433868974042,-0.3647301194890812,0.0
2020-03-19,1.0,-1.5683812283667393,-1.0912018031071402,-2.088062464783064,-1.8703211784593095,-0.4316187716332609,0.0
2020-03-20,1.0,-1.5853321408244572,-1.194649971542402,-2.0800065045938694,-1.8873079112122937,-0.3835271160256931,0.0
2020-03-23,1.0,-1.7488400595290206,-1.595815460036768,-1.9820537512037117,-2.06775803204062,-0.3597128600192594,0.0
2020-03-24,1.0,-1.7441191845269213,-1.5959226346053321,-1.9467677295696115,-2.0399895452169368,-0.38543300226520305,0.0
2020-03-25,1.0,-1.671386289096872,-1.5223582113430925,-1.5986721062315012,-1.9321654267658586,-0.2746980241580674,0.0
2020-03-26,1.0,-1.7236334405144695,-1.534967845659164,-1.5642282958199358,-1.9430064308681674,-0.27274919614147913,0.0
2020-03-27,1.0,-1.7242684754318163,-1.498304282672135,-1.4813471093934851,-1.948418645003549,-0.23463995583247887,0.0
2020-03-30,1.0,-1.694376911614775,-1.4751784173790288,-1.5307034742373145,-1.947847227668418,-0.1944161242255509,0.0
2020-03-31,1.0,-1.6623143080531664,-1.5114933541829552,-1.5189992181391712,-1.923064894448788,-0.20273651290070366,0.0
2020-04-01,1.0,-1.6972896312637882,-1.5858020800504253,-1.4580050425464859,-1.9574535140245823,-0.1804286164513079,0.0
2020-04-02,1.0,-1.7055375597717106,-1.486580286904211,-1.4284281968224588,-1.9579669905907757,-0.13396575659416937,0.0
2020-04-03,1.0,-1.7001544401544402,-1.5128185328185328,-1.4365250965250964,-1.9256370656370656,-0.14679536679536678,0.0
