Date,HOLX,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.29040418726373946,-0.6167490549578366,-0.0,-0.5027042744984007,-0.4979354463506834,0.0
2018-09-25,1.0,-0.28860545703386625,-0.6187938615648932,-0.0,-0.5042369179697738,-0.5003348766780233,0.0
2018-09-26,1.0,-0.2933757627069162,-0.6244416547455697,-0.0,-0.506057863544799,-0.4955770297492191,0.0
2018-09-27,1.0,-0.29490022172949004,-0.6209884467265725,-0.0,-0.5061267359085074,-0.49547788540086357,0.0
2018-09-28,1.0,-0.29259248445210073,-0.6243101988379223,-0.0,-0.5066717276416829,-0.4962188677041665,0.0
2018-10-01,1.0,-0.29235307863068116,-0.6253651127468163,-0.0,-0.5066012384624372,-0.49655333567005494,0.0
2018-10-02,1.0,-0.2943513055669139,-0.6178807173316198,-0.0,-0.5092295110695718,-0.4992406098487061,0.0
2018-10-03,1.0,-0.2938634903952823,-0.6130962807263385,-0.0,-0.5105097214923804,-0.5018683949319788,0.0
2018-10-04,1.0,-0.29674595067853493,-0.6085801838610827,-0.0,-0.5140230555960893,-0.49908069458631255,0.0
2018-10-05,1.0,-0.2863208095847389,-0.6030882866116086,-0.0,-0.516110271024776,-0.5024717924857508,0.0
2018-10-08,1.0,-0.2836652923755879,-0.599936124499158,-0.0,-0.5182625863770977,-0.5015678532024853,0.0
2018-10-09,1.0,-0.28042865855429383,-0.5998605988441321,-0.0,-0.5197049342200796,-0.5041965556297737,0.0
2018-10-10,1.0,-0.2874344023323615,-0.6011953352769679,-0.0,-0.5262099125364431,-0.5006122448979592,0.0
2018-10-11,1.0,-0.2381033697632058,-0.5917008196721312,-0.0,-0.5097336065573771,-0.5065175318761383,0.0
2018-10-12,1.0,-0.235355707736714,-0.5891957665968646,-0.0,-0.5046691946346709,-0.5005942611353217,0.0
2018-10-15,1.0,-0.23426227189135662,-0.5893620031121799,-0.0,-0.5049653416324799,-0.5006365822605744,0.0
2018-10-16,1.0,-0.23085846867749418,-0.5949861354762039,-0.0,-0.5039895874596797,-0.49966046064172936,0.0
2018-10-17,1.0,-0.22246523104531177,-0.5792676087931807,-0.0,-0.5008411843876177,-0.5013458950201883,0.0
2018-10-18,1.0,-0.22152697887146106,-0.5774572799461265,-0.0,-0.5045034933640113,-0.5024271163612896,0.0
