Date,FIVN,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-1.0543172756389307,-1.8105104908817573,-0.4638211647820119,-1.1917772403425062,-1.0158833910713119,0.0
2018-09-25,1.0,-1.0576357576945696,-1.8072926877082924,-0.46925439456315754,-1.1891132457688034,-1.0113049728811345,0.0
2018-09-26,1.0,-1.062078449348438,-1.8139611027437623,-0.47508349158535784,-1.1908846833868114,-1.0062864252504746,0.0
2018-09-27,1.0,-1.062724834848584,-1.8073124468572177,-0.4764209562430506,-1.1894172280724704,-1.0047746746026556,0.0
2018-09-28,1.0,-1.059208802724653,-1.8139900445375947,-0.4778621954414461,-1.191315168980875,-1.0072701074141996,0.0
2018-10-01,1.0,-1.0598637673565625,-1.8127456117369662,-0.4780586848310191,-1.19164265129683,-1.0073356038773904,0.0
2018-10-02,1.0,-1.0616861765092727,-1.8406550046034462,-0.47316848612389845,-1.1926870971984742,-1.008154675785874,0.0
2018-10-03,1.0,-1.0616163608864337,-1.8396790951535476,-0.47386072203590446,-1.1924771486815282,-1.0082856579206942,0.0
2018-10-04,1.0,-1.063723558008146,-1.8321508343187494,-0.4746419655761398,-1.1949809486269873,-1.0039416633819473,0.0
2018-10-05,1.0,-1.0470250146953173,-1.8235255698517407,-0.45522826725883353,-1.1981581869244335,-1.0073150022859383,0.0
2018-10-08,1.0,-1.0447868381536856,-1.8201997780244172,-0.44662792975125676,-1.2082653261082459,-1.0088790233074363,0.0
2018-10-09,1.0,-1.0481077194587882,-1.8225374207464544,-0.4514674161709917,-1.207660631413818,-1.0065363749264657,0.0
2018-10-10,1.0,-1.0481391850349926,-1.8250376087383087,-0.4501275426777422,-1.2085813329844988,-1.0087644711884363,0.0
2018-10-11,1.0,-0.9574922970508708,-1.8173929447274098,-0.326793686725775,-1.1715399610136452,-1.014839967301767,0.0
2018-10-12,1.0,-0.9710782188641852,-1.8065894593422929,-0.3173964203876881,-1.1320988418901343,-0.9659998761379823,0.0
2018-10-15,1.0,-0.9567283950617282,-1.8278395061728394,-0.29487654320987655,-1.1290123456790124,-0.9643827160493827,0.0
2018-10-16,1.0,-0.9540095067596767,-1.8384468177047968,-0.28699302426075685,-1.129390703129823,-0.9644422495215755,0.0
2018-10-17,1.0,-0.9218495013599274,-1.7691145361136293,-0.25457842248413415,-1.121547295255364,-0.9770323360531881,0.0
2018-10-18,1.0,-0.9204497370489029,-1.766729130145681,-0.2558786193556187,-1.124342622257148,-0.9774526990267788,0.0
2018-10-19,1.0,-0.9021543985637342,-1.750628366247756,-0.235607420706164,-1.1248354278874924,-0.971214841412328,0.0
2018-10-22,1.0,-0.9022953971878379,-1.7650522773705082,-0.24792693185915152,-1.122701598365581,-0.9709169570965027,0.0
2018-10-23,1.0,-0.9116458597189553,-1.7705807852361135,-0.26096134129425247,-1.1176647970568723,-0.9701465532838791,0.0
2018-10-24,1.0,-0.911801915778059,-1.7696849207783603,-0.2544731610337972,-1.1181396469666847,-0.9703596602204951,0.0
2018-10-25,1.0,-0.8512858955137816,-1.6768538807519318,-0.24039903125360396,-1.1009687463960327,-0.8968400415177027,0.0
2018-10-26,1.0,-0.8285681740517142,-1.6566237612484338,-0.20981888597790177,-1.1149333637088505,-0.8854083608611458,0.0
2018-10-29,1.0,-0.8030767484105359,-1.6844913714804721,-0.1818801089918256,-1.1063237965485921,-0.9008855585831063,0.0
2018-10-30,1.0,-0.7908032926483112,-1.6871416406471758,-0.17263695713880214,-1.1100198694294636,-0.9163780868577917,0.0
2018-10-31,1.0,-0.793859649122807,-1.6504161043634729,-0.17465137201979308,-1.1012145748987854,-0.9027777777777778,0.0
2018-11-01,1.0,-0.8047775016941496,-1.6467133498983513,-0.18223401852270163,-1.1065055342218209,-0.9069347187711769,0.0
