Date,GUT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.27846344186607924,-0.726726817345122,-0.0,-0.5478741060382026,-0.4645281994025166,0.0
2018-09-25,1.0,-0.2788571773366319,-0.726331985759971,-0.0,-0.547607554456043,-0.4641585711699753,0.0
2018-09-26,1.0,-0.27866280473087135,-0.7262551291334781,-0.0,-0.5476707699734491,-0.46454863625392223,0.0
2018-09-27,1.0,-0.28189052326983366,-0.7195563057632023,-0.0,-0.5481070653484447,-0.4646431155051845,0.0
2018-09-28,1.0,-0.2850498338870432,-0.7195107218363032,-0.0,-0.5496828752642706,-0.4659921473874962,0.0
2018-10-01,1.0,-0.2856107285248279,-0.7188896943336958,-0.0,-0.5499275099673795,-0.46599009302887523,0.0
2018-10-02,1.0,-0.29108023850600806,-0.703411120191289,-0.0,-0.5580374708677623,-0.4741971609310209,0.0
2018-10-03,1.0,-0.2908037961250417,-0.6927018586458871,-0.0,-0.564415875807283,-0.48412722476577424,0.0
2018-10-04,1.0,-0.2931285220868933,-0.6882082045688662,-0.0,-0.5670181179179543,-0.4814276192207477,0.0
2018-10-05,1.0,-0.27795507918347684,-0.6788101403022822,-0.0,-0.5691876919371349,-0.48482567591979286,0.0
2018-10-08,1.0,-0.2745327804819422,-0.6746589748212246,-0.0,-0.57196081966228,-0.48350459707950244,0.0
2018-10-09,1.0,-0.2736285525446133,-0.6746079432794568,-0.0,-0.572162470708406,-0.48386709126960287,0.0
2018-10-10,1.0,-0.2764652840396754,-0.673970544033664,-0.0,-0.5744214006612564,-0.48088367899008116,0.0
2018-10-11,1.0,-0.20067277578007192,-0.6600162394153811,-0.0,-0.5494142210880408,-0.48976336851873337,0.0
2018-10-12,1.0,-0.20190226677298098,-0.6479097847135209,-0.0,-0.5302711014921972,-0.46762159699282374,0.0
2018-10-15,1.0,-0.17601409932061743,-0.6723613519429205,-0.0,-0.5258250660905655,-0.46840444583416246,0.0
2018-10-16,1.0,-0.1679301959662423,-0.6948934344156773,-0.0,-0.5279073093977972,-0.4700901158632527,0.0
2018-10-17,1.0,-0.14778421656728533,-0.6558047087147616,-0.0,-0.5207301027406848,-0.47515467092186664,0.0
2018-10-18,1.0,-0.14822804314329738,-0.6574590278750525,-0.0,-0.5202969603585936,-0.47552878554419387,0.0
2018-10-19,1.0,-0.12998136766873383,-0.6460135153925304,-0.0,-0.5268500236380322,-0.4781000583998442,0.0
2018-10-22,1.0,-0.12999582811848143,-0.6382700597969685,-0.0,-0.5309970796829371,-0.48199137811152837,0.0
2018-10-23,1.0,-0.13087724176282498,-0.6380925900180731,-0.0,-0.530070902266092,-0.48141248435979417,0.0
2018-10-24,1.0,-0.12887556554806118,-0.6349682182807339,-0.0,-0.5299913953423822,-0.4818608266022706,0.0
2018-10-25,1.0,-0.09104393085407621,-0.5936463417922926,-0.0,-0.5551630214934873,-0.45694560556619296,0.0
2018-10-26,1.0,-0.07543906333155934,-0.5799627461415646,-0.0,-0.558169238956892,-0.44744544970729105,0.0
2018-10-29,1.0,-0.06190199291642438,-0.5822011946926045,-0.0,-0.5510916107205159,-0.4479568641962256,0.0
2018-10-30,1.0,-0.048144619130803035,-0.5842199989412948,-0.0,-0.553411677518395,-0.4609867132496956,0.0
2018-10-31,1.0,-0.05261777358094639,-0.56418529010597,-0.0,-0.5506242786696044,-0.4555660476340363,0.0
2018-11-01,1.0,-0.050853233374400376,-0.5651524286350887,-0.0,-0.5500799496710268,-0.45521507772156544,0.0
2018-11-02,1.0,-0.055189991937371584,-0.5412884600379724,-0.0,-0.5546568181227081,-0.4496865978308929,0.0
2018-11-05,1.0,-0.05248927596516314,-0.5486546210841025,-0.0,-0.5551800337969582,-0.4434680878720915,0.0
2018-11-06,1.0,-0.05011466694464714,-0.5478995100594184,-0.0,-0.5592880225164182,-0.44879078494735747,0.0
2018-11-07,1.0,-0.05079389950903583,-0.5492008774678784,-0.0,-0.5613444061422752,-0.4501723597618302,0.0
2018-11-08,1.0,-0.024443237370994023,-0.5513825301983911,-0.0,-0.5537363234267091,-0.4570238741884587,0.0
2018-11-09,1.0,-0.023348622664489883,-0.5530591619373396,-0.0,-0.5569462800279872,-0.4580579958019125,0.0
2018-11-12,1.0,-0.022914946325350953,-0.5367722956234517,-0.0,-0.5649772914946326,-0.45584744013212225,0.0
