Date,HCCO,IWF,IWM,MTUM,SPY,VLUE,VXX
2020-09-25,1.0,-0.009025317437740826,-0.044997284646616155,-0.10942874136905532,-0.12956114717215342,-0.0,0.0
2020-09-28,1.0,-0.009827405383709038,-0.044890137635466704,-0.11082050418862403,-0.12924527080393097,-0.0,0.0
2020-09-29,1.0,-0.009944064636420136,-0.04472239486223327,-0.11088667909674746,-0.12924694427180444,-0.0,0.0
2020-09-30,1.0,-0.010048819652176166,-0.04481825362910014,-0.11141758284448934,-0.1286663299794103,-0.0,0.0
2020-10-01,1.0,-0.01079379065488377,-0.046051779096586934,-0.11041283333765257,-0.1285147847720735,-0.0,0.0
2020-10-02,1.0,-0.010598875327165773,-0.0454015392987639,-0.11005727020653554,-0.12966130244370158,-0.0,0.0
2020-10-05,1.0,-0.009557852202968373,-0.046416452974849115,-0.10915119019866862,-0.12996347812572848,-0.0,0.0
2020-10-06,1.0,-0.01075435803859145,-0.043315085866625254,-0.10714239494765178,-0.13292179472247026,-0.0,0.0
2020-10-07,1.0,-0.010050576258909052,-0.04430273318759782,-0.10692157446092951,-0.13223557412461678,-0.0,0.0
2020-10-08,1.0,-0.009979317476732162,-0.04365305067218201,-0.10673474663908998,-0.13230351602895554,-0.0,0.0
2020-10-09,1.0,-0.009942079950354244,-0.043763251797072966,-0.10666080570926205,-0.13249211356466878,-0.0,0.0
2020-10-12,1.0,-0.009281522273068072,-0.04414540189767057,-0.10659531011660074,-0.1326688900954006,-0.0,0.0
2020-10-13,1.0,-0.007687437822194086,-0.045504463881962304,-0.10665512474321374,-0.13215933022390472,-0.0,0.0
2020-10-14,1.0,-0.007777275369808152,-0.04543634132162005,-0.1070085911762806,-0.13168399974161876,-0.0,0.0
2020-10-15,1.0,-0.007959376170971534,-0.04549507061362138,-0.10699934102567416,-0.13165273345134573,-0.0,0.0
2020-10-16,1.0,-0.0076105074102308995,-0.04620572920031527,-0.10667631439535874,-0.1316268913209205,-0.0,0.0
2020-10-19,1.0,-0.00687480616148041,-0.04615941279851132,-0.1068050242944278,-0.13240463144836143,-0.0,0.0
2020-10-20,1.0,-0.006158732618042375,-0.04641644394520407,-0.10669971982285574,-0.13186401724961588,-0.0,0.0
2020-10-21,1.0,-0.006107796802768523,-0.04647348983755585,-0.10729320007231218,-0.13140156504222517,-0.0,0.0
2020-10-22,1.0,-0.00634096573812199,-0.04633683313316028,-0.10712486924179614,-0.13163638242093165,-0.0,0.0
2020-10-23,1.0,-0.006742095474271543,-0.046006406282289726,-0.10726648067782599,-0.1315741888820004,-0.0,0.0
2020-10-26,1.0,-0.00678128108087162,-0.04598354409124375,-0.10731215851405985,-0.13160851987238273,-0.0,0.0
2020-10-27,1.0,-0.005379048798421114,-0.04565096809978974,-0.10769707054680547,-0.13119977297060226,-0.0,0.0
2020-10-28,1.0,-0.007316034631811202,-0.044734906646365855,-0.10780506057986348,-0.13046283273764211,-0.0,0.0
