Date,EVER,IWF,IWM,MTUM,SPY,VLUE,VXX
2019-02-25,1.0,-1.1602983362019506,-2.3062535857716577,-1.1414802065404475,-2.831669535283993,-3.0347676419965572,0.0
2019-02-26,1.0,-1.162379421221865,-2.307877813504823,-1.1413642627468994,-2.8338309600367477,-3.0381258612769866,0.0
2019-02-27,1.0,-1.217539585870889,-2.4265529841656517,-1.1986601705237514,-3.06504263093788,-3.272472594397077,0.0
2019-02-28,1.0,-1.2260677466863035,-2.4560628375061366,-1.2011536573392243,-3.097447226313206,-3.292218949435444,0.0
2019-03-01,1.0,-1.2284026581343837,-2.461358602018213,-1.2167117893182378,-3.107679054885552,-3.292025596849619,0.0
2019-03-04,1.0,-1.2267671774592188,-2.459713297083539,-1.2262728620860108,-3.1244438952051405,-3.3204399406821548,0.0
2019-03-05,1.0,-1.2424053784860558,-2.468625498007968,-1.2280876494023905,-3.165338645418327,-3.34574203187251,0.0
2019-03-06,1.0,-1.2444914726752148,-2.4655794846259185,-1.230424498941865,-3.165816008963027,-3.342337856342587,0.0
2019-03-07,1.0,-1.2481426448736999,-2.4148093115403664,-1.2352649826646855,-3.165676077265973,-3.3184744923229323,0.0
2019-03-08,1.0,-1.2392569659442725,-2.415108359133127,-1.2456965944272445,-3.165325077399381,-3.318513931888545,0.0
2019-03-11,1.0,-1.2392273402674592,-2.4156760772659736,-1.2449232293214463,-3.1643140168400197,-3.318226844972759,0.0
2019-03-12,1.0,-1.21601673022512,-2.3828269159798254,-1.250338294993234,-3.1499569442735886,-3.3026202484930494,0.0
2019-03-13,1.0,-1.2174342511421161,-2.39770342017533,-1.2495369798740583,-3.1636004444993207,-3.3190517347820716,0.0
2019-03-14,1.0,-1.2129652452551145,-2.3947498151343356,-1.2463643086024154,-3.1571358146413604,-3.3131624352970177,0.0
2019-03-15,1.0,-1.2149901380670611,-2.3926282051282053,-1.2493836291913214,-3.1584072978303745,-3.3120069033530575,0.0
2019-03-18,1.0,-1.2159497103414274,-2.3964008381609765,-1.2475040059164304,-3.158017995809195,-3.30802415875755,0.0
2019-03-19,1.0,-1.2149981529368303,-2.391084841768255,-1.250092353158478,-3.154537618519887,-3.303041497352542,0.0
2019-03-20,1.0,-1.2179645145391818,-2.3881222276983736,-1.2533267619517006,-3.1561113849186793,-3.3058156727451946,0.0
2019-03-21,1.0,-1.241604938271605,-2.384197530864198,-1.2620987654320988,-3.1718518518518515,-3.285925925925926,0.0
2019-03-22,1.0,-1.2263339070567987,-2.3704204573395624,-1.2694861076960906,-3.1676911728546844,-3.2601426112613727,0.0
2019-03-25,1.0,-1.2089588673257659,-2.2095691443915535,-1.3725131209569144,-3.1738069083363842,-3.2408153301598923,0.0
2019-03-26,1.0,-1.2086691086691086,-2.208669108669109,-1.372039072039072,-3.176190476190476,-3.2444444444444445,0.0
2019-03-27,1.0,-1.2260198456449836,-2.201886561313243,-1.3795173343133653,-3.1912287149332355,-3.251745681734657,0.0
2019-03-28,1.0,-1.2258618574408047,-2.2095448411237886,-1.3819163292847505,-3.194454668138879,-3.256655625076678,0.0
2019-03-29,1.0,-1.2248128604736777,-2.199656399558228,-1.387286783654436,-3.1970793962449378,-3.2627316235120873,0.0
2019-04-01,1.0,-1.2181014368168979,-2.2126980228417046,-1.3896598305292889,-3.2031192435220435,-3.2569077735478325,0.0
2019-04-02,1.0,-1.2015588844233345,-2.192424796005359,-1.3976373157958835,-3.1757398611618557,-3.211545487760321,0.0
2019-04-03,1.0,-1.210295193949744,-2.1945596486948036,-1.3979019272993414,-3.18406928519151,-3.211271041717492,0.0
2019-04-04,1.0,-1.2100501283775522,-2.2013693605575253,-1.3957696539919304,-3.1940335004279254,-3.2252109059787264,0.0
2019-04-05,1.0,-1.2142944560029372,-2.198506914698323,-1.4052135601517561,-3.198017378533839,-3.2223718027169252,0.0
2019-04-08,1.0,-1.2152115431645878,-2.1873318659819025,-1.4076791391538273,-3.197725605282465,-3.2199804353142576,0.0
2019-04-09,1.0,-1.2143119266055045,-2.1893577981651373,-1.4075840978593273,-3.199755351681957,-3.221651376146789,0.0
2019-04-10,1.0,-1.2116886285993167,-2.1698389458272325,-1.4150805270863835,-3.1979014153245484,-3.206564177647633,0.0
2019-04-11,1.0,-1.2081607795371496,-2.158221680876979,-1.412911084043849,-3.1976857490864794,-3.2032886723507916,0.0
2019-04-12,1.0,-1.2085261875761266,-2.158343483556638,-1.4127892813641898,-3.197442143727162,-3.2032886723507916,0.0
2019-04-15,1.0,-1.2050127752767976,-2.1562233848400045,-1.411850590096119,-3.1922374984791335,-3.2014843654945855,0.0
2019-04-16,1.0,-1.205986129699477,-2.1546416839031513,-1.4148923226669912,-3.191629151964959,-3.1997809952548972,0.0
2019-04-17,1.0,-1.20669099756691,-2.1538929440389296,-1.417639902676399,-3.190754257907543,-3.19647201946472,0.0
2019-04-18,1.0,-1.2128333130403022,-2.145257518568124,-1.4094727870449288,-3.197370023134056,-3.21100694021673,0.0
2019-04-22,1.0,-1.212615684364345,-2.147588894301023,-1.409279103750609,-3.1971505114466634,-3.2106673161227475,0.0
2019-04-23,1.0,-1.2138073785462073,-2.146596858638744,-1.4093510288566908,-3.197004748569342,-3.2089370510166813,0.0
2019-04-24,1.0,-1.2052682689973295,-2.119567856275795,-1.413207089099296,-3.1902160718621024,-3.210609371206604,0.0
2019-04-25,1.0,-1.203888213851762,-2.1292831105710817,-1.419805589307412,-3.191008505467801,-3.2066828675577157,0.0
2019-04-26,1.0,-1.2071185617103983,-2.120262390670554,-1.4317298347910592,-3.1936345966958215,-3.1950923226433425,0.0
2019-04-29,1.0,-1.2049259888376609,-2.1115020626061636,-1.4264741567580685,-3.1918223732103863,-3.1983741810240236,0.0
