Date,CVS,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.30414257483715146,-0.7093976432701457,-0.0,-0.7725975261655567,-0.8733806631047355,0.0
2018-09-25,1.0,-0.30410277055960183,-0.709548731837646,-0.0,-0.7727189547267871,-0.8735497566153059,0.0
2018-09-26,1.0,-0.30254718709913875,-0.709400769653656,-0.0,-0.7742349276159062,-0.8787978742899029,0.0
2018-09-27,1.0,-0.3102689217448729,-0.699820229665774,-0.0,-0.777598415086033,-0.881058076824302,0.0
2018-09-28,1.0,-0.3104042849805562,-0.6999779881135814,-0.0,-0.777459828307286,-0.8808423215202877,0.0
2018-10-01,1.0,-0.3109659903877903,-0.6995267270792824,-0.0,-0.777598415086033,-0.8806911985911877,0.0
2018-10-02,1.0,-0.3153721920422845,-0.6854353252092203,-0.0,-0.7833651446189986,-0.8863602995154896,0.0
2018-10-03,1.0,-0.3149900946511116,-0.6813045711350796,-0.0,-0.7841734536649791,-0.8881796169931764,0.0
2018-10-04,1.0,-0.3161098683486743,-0.6794895302357989,-0.0,-0.7848105907807401,-0.8867578569071106,0.0
2018-10-05,1.0,-0.29830966375816875,-0.6685772699061735,-0.0,-0.7890182906794203,-0.8948924829323501,0.0
2018-10-08,1.0,-0.29538001894629456,-0.6647963273336734,-0.0,-0.7897690009473148,-0.893609269110253,0.0
2018-10-09,1.0,-0.2891403540792115,-0.6661434568351889,-0.0,-0.7943055302062418,-0.9007118087242196,0.0
2018-10-10,1.0,-0.2896551724137931,-0.6651705893085204,-0.0,-0.7947819740923189,-0.8993614303959131,0.0
2018-10-11,1.0,-0.2027952183320918,-0.6492142882480224,-0.0,-0.7731900251853429,-0.9220318541378454,0.0
2018-10-12,1.0,-0.1943764400921659,-0.6658986175115208,-0.0,-0.7945348502304147,-0.9454565092165899,0.0
2018-10-15,1.0,-0.18410838783871197,-0.6705958456120175,-0.0,-0.7928196650614533,-0.9462373319916624,0.0
2018-10-16,1.0,-0.19030468918821578,-0.665202045667363,-0.0,-0.7964056760066267,-0.9496146366059209,0.0
2018-10-17,1.0,-0.16624149659863946,-0.6226261337868481,-0.0,-0.7928004535147392,-0.9614512471655329,0.0
2018-10-18,1.0,-0.16526024677350729,-0.6206921004112891,-0.0,-0.7968727840022691,-0.9627712381222522,0.0
2018-10-19,1.0,-0.14285714285714288,-0.6048969526158182,-0.0,-0.805073101990488,-0.9701602959309495,0.0
2018-10-22,1.0,-0.14348607051033704,-0.6024372204416581,-0.0,-0.8056563237417673,-0.9704152431937448,0.0
2018-10-23,1.0,-0.1407203584153526,-0.6040850883691397,-0.0,-0.8097153137898191,-0.9731894027586694,0.0
2018-10-24,1.0,-0.13787270035948404,-0.5985761612744062,-0.0,-0.8110594205963206,-0.9768449989426942,0.0
2018-10-25,1.0,-0.10469449858105105,-0.5521591958149553,-0.0,-0.811536225937703,-0.9507983724826478,0.0
2018-10-26,1.0,-0.08832487309644671,-0.5392554991539763,-0.0,-0.8156345177664975,-0.9408798646362099,0.0
2018-10-29,1.0,-0.06667340135367208,-0.5447014849984846,-0.0,-0.8076573391251641,-0.9483112772333905,0.0
2018-10-30,1.0,-0.05502239283429303,-0.5454086271340539,-0.0,-0.8086001953059232,-0.9583459608714685,0.0
2018-10-31,1.0,-0.05642864323291895,-0.5343966759374058,-0.0,-0.8055825486713803,-0.9544281741111821,0.0
2018-11-01,1.0,-0.039461793352746265,-0.5478126987314658,-0.0,-0.8049670314957995,-0.9547812698731467,0.0
2018-11-02,1.0,-0.04091849676256592,-0.539149589480008,-0.0,-0.8054535745277351,-0.9520392497163074,0.0
