Date,IWF,IWM,MTUM,SPY,STK,VLUE,VXX
2018-09-24,-0.3399191971849342,-0.4111299361397107,-0.20041704678743646,-0.3317867848299231,1.0,-0.32328945653590513,0.0
2018-09-25,-0.3406905537459283,-0.41031921824104234,-0.20174592833876223,-0.3310228013029316,1.0,-0.3221107491856678,0.0
2018-09-26,-0.34037950268466877,-0.41007663034978886,-0.20067247041651462,-0.33149142469895215,1.0,-0.3238544544648908,0.0
2018-09-27,-0.3404660133444537,-0.4097164303586322,-0.20079232693911592,-0.3315002085070892,1.0,-0.3238375729774812,0.0
2018-09-28,-0.33879881132370576,-0.4112924247953704,-0.20113654136906314,-0.3315259892602054,1.0,-0.3240185600333663,0.0
2018-10-01,-0.3383744882793147,-0.4121144168339808,-0.2013246069202889,-0.3314124794659852,1.0,-0.3242418711376496,0.0
2018-10-02,-0.3398283642434202,-0.3997443722774343,-0.20564989435793096,-0.3350288233299424,1.0,-0.3281686099590474,0.0
2018-10-03,-0.3396703697908517,-0.39782506649976523,-0.20544515725238616,-0.33562822719449226,1.0,-0.3292911907369738,0.0
2018-10-04,-0.34186719503610813,-0.3939307036525276,-0.2057512318481633,-0.33866047918241776,1.0,-0.32687645019162076,0.0
2018-10-05,-0.34592377817830366,-0.39798343912441553,-0.2066452472376773,-0.3372254003082308,1.0,-0.32432150040487945,0.0
2018-10-08,-0.34772923818758356,-0.40189732435336356,-0.20812914384548864,-0.3368798972719411,1.0,-0.32597814408134385,0.0
2018-10-09,-0.3483502371779752,-0.40189218229944695,-0.20937180595958801,-0.33618995204025476,1.0,-0.32494692979007783,0.0
2018-10-10,-0.3503814192465987,-0.4005819592628516,-0.21152384197971008,-0.33745772931029966,1.0,-0.3214931711536949,0.0
2018-10-11,-0.33620110577171497,-0.3975611016379889,-0.1918823954942386,-0.3317573502816101,1.0,-0.326202655918979,0.0
2018-10-12,-0.33846628448032084,-0.3948687626931283,-0.19095606570863002,-0.32625517365484974,1.0,-0.3202138872464588,0.0
2018-10-15,-0.3416516593774119,-0.39086699253923335,-0.19397993311036787,-0.32655003859017234,1.0,-0.319655261126833,0.0
2018-10-16,-0.3413084304494353,-0.39211751691492375,-0.19302307632939725,-0.32656736384451135,1.0,-0.31959558539785443,0.0
2018-10-17,-0.336320923344058,-0.3792451866605383,-0.18849905520657778,-0.32600480057198306,1.0,-0.3234002349216077,0.0
2018-10-18,-0.33551220508630375,-0.37794913696251664,-0.1892043713614544,-0.32721376774588906,1.0,-0.32348585435604127,0.0
2018-10-19,-0.33191002668699965,-0.3724742661075105,-0.18576693353666285,-0.32817384674037364,1.0,-0.32329393823865804,0.0
2018-10-22,-0.33502899582867024,-0.3659578797436158,-0.17692542476345507,-0.33584291382643194,1.0,-0.329738528843219,0.0
2018-10-23,-0.336283185840708,-0.3655274132845082,-0.17989014342386328,-0.33310446546638184,1.0,-0.3281710914454277,0.0
2018-10-24,-0.3376702581825574,-0.36287863386867253,-0.17574710306972963,-0.33451921122179307,1.0,-0.3303771091685302,0.0
2018-10-25,-0.3203088033868759,-0.3371933756692815,-0.1729298966504794,-0.34523720582741874,1.0,-0.3146557091271323,0.0
2018-10-26,-0.31077762619372445,-0.3355822894704204,-0.15232543718219024,-0.365645541361776,1.0,-0.31611062879821406,0.0
2018-10-29,-0.31141036133224215,-0.33519331398953456,-0.15142722515685839,-0.3662921905612182,1.0,-0.31562631748629816,0.0
2018-10-30,-0.32922201138519924,-0.338559872166184,-0.15994207530210727,-0.3678467991610906,1.0,-0.3011584939578548,0.0
2018-10-31,-0.331610081025998,-0.32750907192921414,-0.16113237560272406,-0.36670477705423277,1.0,-0.29850375304468857,0.0
2018-11-01,-0.34598913070700493,-0.3160860527436199,-0.17305717648826666,-0.36903002830023296,1.0,-0.3002579578752285,0.0
2018-11-02,-0.3461769565870512,-0.3151820139201843,-0.1729758149316509,-0.36923539131741023,1.0,-0.300085123428972,0.0
2018-11-05,-0.341312412271907,-0.33166232203729695,-0.17209745337878485,-0.37224283136154,1.0,-0.28922699017445364,0.0
2018-11-06,-0.3407871647029331,-0.33138631235898725,-0.17242416645775882,-0.3725244422160943,1.0,-0.28977187264978693,0.0
2018-11-07,-0.3443122059230556,-0.3342727021110636,-0.16677150693203835,-0.37777721862969577,1.0,-0.2930578969881489,0.0
2018-11-08,-0.3356030641365844,-0.3364792469834276,-0.15748760827116606,-0.3758574075001252,1.0,-0.29795223551794925,0.0
2018-11-09,-0.33398457068430015,-0.33694018635407275,-0.1583258190562068,-0.3775673780182347,1.0,-0.2979661356577497,0.0
2018-11-12,-0.33429568448271535,-0.341977757136043,-0.15758290864358698,-0.3771495995782391,1.0,-0.29947530941681516,0.0
2018-11-13,-0.32782465425133556,-0.3400818812721554,-0.14958310449847723,-0.38064806031254683,1.0,-0.29824254830495783,0.0
2018-11-14,-0.3266540164452878,-0.3556989247311828,-0.14317520556609742,-0.39334598355471223,1.0,-0.31117014547754585,0.0
2018-11-15,-0.3267274107820805,-0.3558086560364465,-0.14287522146292078,-0.3933181473044799,1.0,-0.3123006833712984,0.0
2018-11-16,-0.32667628521527836,-0.3558609866605918,-0.14306325461310654,-0.3932467663958286,1.0,-0.31234971017794316,0.0
2018-11-19,-0.32689679607227823,-0.35465910816419494,-0.14668218859138532,-0.3911778103963153,1.0,-0.31133269221035587,0.0
2018-11-20,-0.32361486571840026,-0.3536040019201132,-0.14206311108865366,-0.3929410575781309,1.0,-0.31426694626209545,0.0
2018-11-21,-0.3344605678233439,-0.3549022082018928,-0.1484416403785489,-0.40045425867507883,1.0,-0.2854006309148265,0.0
2018-11-23,-0.334039868786273,-0.3407267221801666,-0.15256119101690638,-0.4079737572546051,1.0,-0.2880393641180924,0.0
2018-11-26,-0.33522092432706957,-0.3601828339258507,-0.1453021838496699,-0.4103859827323515,1.0,-0.28829355002539364,0.0
2018-11-27,-0.33345154263133897,-0.3668878869243629,-0.13379603829981254,-0.41141901818734483,1.0,-0.287476569228431,0.0
2018-11-28,-0.33410184950595384,-0.3618951102102863,-0.13503927033189764,-0.4136052698251837,1.0,-0.2889282999746643,0.0
2018-11-29,-0.3139279493070107,-0.3634091540228724,-0.10767211128221958,-0.4298048521875237,1.0,-0.30971194870111834,0.0
2018-11-30,-0.3158213933742703,-0.3653248426957774,-0.1051727187729007,-0.43345210118009747,1.0,-0.3071791372905769,0.0
2018-12-03,-0.31579080343607885,-0.3654623547246084,-0.1045477513895907,-0.4335270338554826,1.0,-0.3071753410813542,0.0
2018-12-04,-0.31112904039130657,-0.3669003075992134,-0.10649992436084918,-0.4310423074983612,1.0,-0.3057334476324946,0.0
2018-12-06,-0.30074685923434563,-0.32903848056187557,-0.1317143139776437,-0.4259076070827975,1.0,-0.2856612919180928,0.0
2018-12-07,-0.2968161079150962,-0.33277127554056735,-0.1259174766911327,-0.4305693314818488,1.0,-0.29356774449513984,0.0
2018-12-10,-0.2777955862409074,-0.3437800517815312,-0.11796325977068178,-0.4419676981876464,1.0,-0.28428060658365184,0.0
2018-12-11,-0.28738640853417624,-0.3396631766100356,-0.12455551165547214,-0.44569834057684715,1.0,-0.2720762544448835,0.0
2018-12-12,-0.28675180949087226,-0.3403077987203873,-0.12383587361972283,-0.44578938267335294,1.0,-0.27360984165410934,0.0
2018-12-13,-0.28445762293056587,-0.33602668643439587,-0.12609340252038548,-0.4525574499629355,1.0,-0.2718556955769706,0.0
2018-12-14,-0.2875916035275121,-0.309104459073407,-0.13891442056887343,-0.4736802881629611,1.0,-0.27487268662277975,0.0
2018-12-17,-0.2919722596417702,-0.3109314972808462,-0.14024846579853315,-0.4817891533203612,1.0,-0.26967020905054134,0.0
2018-12-18,-0.29831815529793765,-0.328479744298724,-0.13850485781689964,-0.4965881129347302,1.0,-0.2748281372872327,0.0
2018-12-19,-0.2938518556125298,-0.33020256891912475,-0.13875209422754733,-0.49936538559171445,1.0,-0.27628572879118646,0.0
2018-12-20,-0.2888686546778967,-0.32255861597996816,-0.14735564155095227,-0.49841920226623165,1.0,-0.2720742595543415,0.0
2018-12-21,-0.2900543325765885,-0.32670969058490423,-0.1437645078182792,-0.5044511899599521,1.0,-0.2858199627579522,0.0
2018-12-24,-0.2825633988921075,-0.3184174416831834,-0.1474818315800173,-0.5020836509630533,1.0,-0.2904914367027494,0.0
2018-12-26,-0.28765809204049175,-0.32618079923257515,-0.14235225809708935,-0.48693610683361527,1.0,-0.28129654406381743,0.0
2018-12-27,-0.26934310182664223,-0.3131775654670561,-0.14576011088559973,-0.4601999900995001,1.0,-0.2866442255333894,0.0
2018-12-28,-0.2693497685700849,-0.31313581346996366,-0.145738966857256,-0.46026088463156856,1.0,-0.2866760723744462,0.0
2018-12-31,-0.2557639257965733,-0.3521625794042467,-0.13749905094525855,-0.4827778199579886,1.0,-0.3026092678359021,0.0
2019-01-02,-0.2553968696887446,-0.35686562999416555,-0.12528855178711854,-0.48750665888739503,1.0,-0.3116612972781005,0.0
2019-01-03,-0.25417217869136055,-0.36221634272921543,-0.11445507275872598,-0.4878396255215224,1.0,-0.32532817747023507,0.0
2019-01-04,-0.24398285525881966,-0.36546704202490554,-0.11387557381622665,-0.48471936899236606,1.0,-0.3281848385705952,0.0
2019-01-07,-0.2303989168317328,-0.3512022666298924,-0.12860115838828573,-0.47960283830203343,1.0,-0.317528771657097,0.0
2019-01-08,-0.22762586250958344,-0.39074878609762337,-0.11339125990288781,-0.4848453871709686,1.0,-0.33897265525172504,0.0
2019-01-09,-0.22349056845230478,-0.37810652402037315,-0.10949297432878605,-0.49230887358910697,1.0,-0.35601853036779196,0.0
2019-01-10,-0.22515368852459017,-0.37448770491803274,-0.10893954918032786,-0.497873975409836,1.0,-0.35499487704918026,0.0
2019-01-11,-0.22510445236203316,-0.37072257965293626,-0.11021967036628816,-0.4987824571296748,1.0,-0.3584446210237613,0.0
2019-01-14,-0.22701982000461524,-0.37088792595061665,-0.11161252275582677,-0.498192354042204,1.0,-0.3563241968154663,0.0
2019-01-15,-0.22613400343598555,-0.36900946178107136,-0.11256698889715121,-0.49793584450883355,1.0,-0.3585220133849586,0.0
2019-01-16,-0.2277789181976804,-0.36980396181874164,-0.11236272195422355,-0.49964076773067845,1.0,-0.356332751719183,0.0
2019-01-17,-0.22778704297626684,-0.3695445798588839,-0.11245670301475305,-0.49967928159076336,1.0,-0.3562796664528544,0.0
2019-01-18,-0.22884585672348973,-0.3728691352938147,-0.11353453159602409,-0.4989442241334912,1.0,-0.3608693412988618,0.0
2019-01-22,-0.17173370751481135,-0.3927606277933687,-0.024451720195405882,-0.6805425631431244,1.0,-0.3289938675813325,0.0
2019-01-23,-0.17026210202699182,-0.3861184930436142,-0.02334427596269084,-0.6874576624459382,1.0,-0.33820540878536814,0.0
2019-01-24,-0.1775937068583783,-0.381782188533771,-0.02029121408663489,-0.6897970878591337,1.0,-0.3352869162043187,0.0
2019-01-25,-0.11372663242069588,-0.3773235185087115,-0.0,-0.8248159720383413,1.0,-0.332018217444262,0.0
2019-01-28,-0.11511859016827877,-0.37002782562607656,-0.0,-0.8343712733536505,1.0,-0.3305419371935868,0.0
