Date,BXMT,IWF,IWM,MTUM,SPY,VLUE,VXX
2018-09-24,1.0,-0.14907568487258405,-0.3214360817450152,-0.0,-0.24026458162075354,-0.20094056472117605,0.0
2018-09-25,1.0,-0.14768158670597695,-0.3228357008844814,-0.0,-0.24131791553394338,-0.2026266416510319,0.0
2018-09-26,1.0,-0.1474220290632,-0.3226627864678065,-0.0,-0.2413700675843847,-0.20309777718213318,0.0
2018-09-27,1.0,-0.1469979692708533,-0.3240162458331737,-0.0,-0.2414843480593126,-0.203264492892448,0.0
2018-09-28,1.0,-0.1476484342059872,-0.32375713902410974,-0.0,-0.24165357047031316,-0.20343823067193068,0.0
2018-10-01,1.0,-0.14747215245691062,-0.32441189439981594,-0.0,-0.2416457370731801,-0.20368488659675224,0.0
2018-10-02,1.0,-0.14684093351758024,-0.32922616305849844,-0.0,-0.24055734684477204,-0.20259481037924154,0.0
2018-10-03,1.0,-0.1467168131404229,-0.3277238362052423,-0.0,-0.2409717158537053,-0.20343861534328586,0.0
2018-10-04,1.0,-0.14769413750767343,-0.3260627685696747,-0.0,-0.24213474524248008,-0.20246316758747698,0.0
2018-10-05,1.0,-0.1433867792917614,-0.3234467865537868,-0.0,-0.24190188621552927,-0.2023047375160051,0.0
2018-10-08,1.0,-0.14347701424065756,-0.32386504826531587,-0.0,-0.2417662238363758,-0.20237025709643508,0.0
2018-10-09,1.0,-0.13872765932992356,-0.3246365151428079,-0.0,-0.24489014041338622,-0.20732524950673334,0.0
2018-10-10,1.0,-0.13911494935181817,-0.32422495835168413,-0.0,-0.24506443521053944,-0.20646075483982154,0.0
2018-10-11,1.0,-0.11766360925102694,-0.31774614071614804,-0.0,-0.23519591844390675,-0.20510944797704125,0.0
2018-10-12,1.0,-0.11539252144338759,-0.3170631435352157,-0.0,-0.23356941303982212,-0.20267972268420759,0.0
2018-10-15,1.0,-0.10704498424712439,-0.32372625417124956,-0.0,-0.23137152551220147,-0.2021028690740292,0.0
2018-10-16,1.0,-0.10235823515133409,-0.33267360008962416,-0.0,-0.23074481393655358,-0.2013742367944433,0.0
2018-10-17,1.0,-0.10163390159286753,-0.33194687954638713,-0.0,-0.23044354086619168,-0.20116014473831464,0.0
2018-10-18,1.0,-0.1020922376304149,-0.3333022266186379,-0.0,-0.2296982026540249,-0.20131021482297168,0.0
2018-10-19,1.0,-0.09545345022519601,-0.32791503716197434,-0.0,-0.2299779437658703,-0.2001000871128575,0.0
2018-10-22,1.0,-0.09590235396687011,-0.3299078076016992,-0.0,-0.22944220816561242,-0.1997254632807138,0.0
2018-10-23,1.0,-0.0973329871286027,-0.32994547275492414,-0.0,-0.2282911087206499,-0.1991171779368671,0.0
2018-10-24,1.0,-0.09739897298504131,-0.3348775768400685,-0.0,-0.22936667410880407,-0.1988725161866488,0.0
2018-10-25,1.0,-0.07092436348736288,-0.3213573969566594,-0.0,-0.2742731556499227,-0.195954629267475,0.0
2018-10-26,1.0,-0.06312052803816073,-0.31586148242646106,-0.0,-0.2774418991624605,-0.19243071348013388,0.0
2018-10-29,1.0,-0.06703433420607952,-0.3157298572038698,-0.0,-0.2825655023861252,-0.19157707091526935,0.0
2018-10-30,1.0,-0.06271233639654693,-0.3158080386150562,-0.0,-0.2827995915715214,-0.19517311798013554,0.0
2018-10-31,1.0,-0.06243030257973386,-0.317281243030258,-0.0,-0.28321314400416325,-0.19569177012861497,0.0
2018-11-01,1.0,-0.05774872804248524,-0.32064470605711737,-0.0,-0.282838786348275,-0.19562149515356334,0.0
2018-11-02,1.0,-0.060380846736919944,-0.3083934183767794,-0.0,-0.286522462562396,-0.19349232760214458,0.0
2018-11-05,1.0,-0.05649863936762991,-0.3206649512208668,-0.0,-0.2887132305299987,-0.18530517040300637,0.0
2018-11-06,1.0,-0.05373211867079801,-0.3192571015084328,-0.0,-0.292279718722749,-0.19012189917806188,0.0
2018-11-07,1.0,-0.05375366460088322,-0.3192748728986529,-0.0,-0.2923145433628976,-0.19015103722121202,0.0
2018-11-08,1.0,-0.04404498525073747,-0.3192662241887905,-0.0,-0.28869837758112094,-0.19164823008849557,0.0
2018-11-09,1.0,-0.04397042827381501,-0.31920502940580003,-0.0,-0.2888405449752033,-0.19162626057779172,0.0
2018-11-12,1.0,-0.04390898397294516,-0.3092376121158653,-0.0,-0.2943684752242317,-0.1904499338332598,0.0
2018-11-13,1.0,-0.03308903959746226,-0.30689856340698607,-0.0,-0.2956683439072413,-0.18744986509151898,0.0
2018-11-14,1.0,-0.03308903959746226,-0.30689856340698607,-0.0,-0.2956683439072413,-0.18744986509151898,0.0
2018-11-15,1.0,-0.032685335325304724,-0.3068668354983876,-0.0,-0.2958806274709858,-0.1865104669593893,0.0
